name,family,parent_solvent,design_strategy,named_in_doi,in_local_v03,in_local_observations,reason_it_is_a_coverage_candidate
"1,2-dimethoxypropane (1,2-DMP)",glyme,DME,increase_steric_hindrance_methylation,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"1,2-diethoxyethane (DEE)",glyme,DME,increase_steric_hindrance_bulkier_alkyl,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
dipropyl ether (DPE),ether,DE,increase_steric_hindrance_bulkier_alkyl,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
tetrahydropyran (THP),cyclic_ether,THF,increase_steric_hindrance_ring_size,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"2,2,4,4,5,5-hexamethyl-1,3-dioxolane (HMD)",cyclic_ether,DOL,increase_steric_hindrance_methylation,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"4-methyl-1,3-dioxolane (MDOL)",cyclic_ether,DOL,increase_steric_hindrance_methylation,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"4-(trifluoromethyl)-1,3-dioxolane (TFDOL)",cyclic_ether,DOL,fluorination_substitution,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"1,1,1-trifluoro-2,3-dimethoxypropane (TFDMP)",glyme,"1,2-DMP",fluorination_substitution,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"1,2-bis(2-fluoroethoxy)ethane (FDEE)",glyme,DEE,fluorination_substitution,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
fluoro(methyl)ethylene carbonate (FEMC),carbonate,EMC,fluorination_substitution,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"fluorinated 1,4-dimethoxybutane (FDMB)",glyme,DMB,fluorination_substitution,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
tetramethoxysilane (TMOS),siloxane,none,named_low_solvating_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"3,3,3-trifluoropropyltrimethoxysilane (TFTMS)",siloxane,TMOS,named_low_solvating_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"dimethylmethoxy(3,3,3-trifluoropropyl)silane (TFMDS)",siloxane,TMOS,named_low_solvating_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"dimethoxy(methyl)(3,3,3-trifluoropropyl)silane (DMOTFS)",siloxane,TMOS,named_low_solvating_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
tetraethyl orthosilicate (TEOS),silicate,none,named_high_temperature_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
2-fluoropyridine (FPy),additive,pyridine,named_additive,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
meta-fluorotoluene (mFT),diluent,toluene,named_diluent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
"1,3-dimethyl-2-imidazolidinone (DMI)",amide,none,named_moderate_dn_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
tetramethylurea (TMU),amide,none,named_moderate_dn_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
cyclopentyl methyl ether (CPME),ether,none,named_weakly_coordinating_solvent,10.1021/acsenergylett.5c02291,no,no,"named by the review as a design target for solvating power; absent from both local tables, so it is a coverage candidate for AL Round 4"
"1,4-dioxane (1,4-DX)",cyclic_ether,none,named_low_solvating_solvent,10.1021/acsenergylett.5c02291,yes,yes,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
trimethyl phosphate (TMP),phosphate,none,named_moderate_dn_solvent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
triethyl phosphate (TEP),phosphate,none,named_moderate_dn_solvent,10.1021/acsenergylett.5c02291,yes,no,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
furan,heteroaromatic,none,named_additive,10.1021/acsenergylett.5c02291,yes,yes,"already in the local v03 roster and in the observation table - reconciliation row, NOT a new compound"
