source_id,source_page,section,formula,compound_name,dielectric,t_C,T_K,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,source_quality,eligibility_status,notes,raw_line
nbs514:p13:001,13,C. ORGANIC LIQUIDS,CCl2O,Phosgene,4.34,22,295.15,,,,52,,two_or_less,candidate_near_room,,CCl2O Phosgene | e=4.34 | t=22 C | alpha=- | range=- | refs=52
nbs514:p15:002,15,C. ORGANIC LIQUIDS,C2H3Cl3,"1,1,1-Trichloroethane",7.52,20,293.15,,,,156,,two_or_less,candidate_near_room,,"C2H3Cl3 1,1,1-Trichloroethane | e=7.52 | t=20 C | alpha=- | range=- | refs=156"
nbs514:p15:003,15,C. ORGANIC LIQUIDS,C2H3N,Acetonitrile,37.5,20,293.15,16000,a,"15,25","13,26,41,123",,three_figures,candidate_near_room,,"C2H3N Acetonitrile | e=37.5 | t=20 C | alpha=16. | range=15,25 | refs=13,26,41,123"
nbs514:p15:004,15,C. ORGANIC LIQUIDS,C2H3NO,Glycolonitrile,68.,20,293.15,,,,17,f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C2H3NO Glycolonitrile | e=68. | t=20 C | alpha=- | range=- | refs=17
nbs514:p15:005,15,C. ORGANIC LIQUIDS,C2H3NS,Methyl thiocyanate,35.,16,289.15,,,,"17,18,22",f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,"C2H3NS Methyl thiocyanate | e=35. | t=16 C | alpha=- | range=- | refs=17,18,22"
nbs514:p15:006,15,C. ORGANIC LIQUIDS,C2H4BrCl,1-Bromo-2-chloroethane,7.14,20,293.15,140.000,alpha,"10,90",110,,three_figures,candidate_near_room,,"C2H4BrCl 1-Bromo-2-chloroethane | e=7.14 | t=20 C | alpha=0.140(alpha) | range=10,90 | refs=110"
nbs514:p15:007,15,C. ORGANIC LIQUIDS,C2H4Br2,"1,2-Dibromoethane",4.78,25,298.15,600.00,a,"10,55","12,144,156,199,272 [41]",,three_figures,candidate_near_room,,"C2H4Br2 1,2-Dibromoethane | e=4.78 | t=25 C | alpha=0.60 | range=10,55 | refs=12,144,156,199,272 [41]"
nbs514:p15:008,15,C. ORGANIC LIQUIDS,C2H4Cl2,"1,1-Dichloroethane",10.0,18,291.15,,,,"1,27",,three_figures,candidate_near_room,,"C2H4Cl2 1,1-Dichloroethane | e=10.0 | t=18 C | alpha=- | range=- | refs=1,27"
nbs514:p15:009,15,C. ORGANIC LIQUIDS,C2H4Cl2,"1,2-Dichloroethane",10.65,20,293.15,,,,"138,170,263",,four_figures,candidate_near_room,,"C2H4Cl2 1,2-Dichloroethane | e=10.65 | t=20 C | alpha=- | range=- | refs=138,170,263"
nbs514:p15:010,15,C. ORGANIC LIQUIDS,C2H4Cl2,"1,2-Dichloroethane",10.36,25,298.15,,,,"138,170,263",,four_figures,candidate_near_room,,"C2H4Cl2 1,2-Dichloroethane | e=10.36 | t=25 C | alpha=- | range=- | refs=138,170,263"
nbs514:p15:011,15,C. ORGANIC LIQUIDS,C2H4Cl2,"1,2-Dichloroethane",10.36,25,298.15,235.000,alpha,"10,55","123,133,254,272",,three_figures,candidate_near_room,source marked dielectric as chosen to conform,"C2H4Cl2 1,2-Dichloroethane | e=10.36 | t=25 C | alpha=0.235(alpha) | range=10,55 | refs=123,133,254,272"
nbs514:p15:012,15,C. ORGANIC LIQUIDS,C2H4N2O6,Ethylene nitrate,28.3,20,293.15,,,,244,,three_figures,candidate_near_room,,C2H4N2O6 Ethylene nitrate | e=28.3 | t=20 C | alpha=- | range=- | refs=244
nbs514:p15:013,15,C. ORGANIC LIQUIDS,C2H4O,Acetaldehyde,21.1,21,294.15,,,,7 [4],f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C2H4O Acetaldehyde | e=21.1 | t=21 C | alpha=- | range=- | refs=7 [4]
nbs514:p15:014,15,C. ORGANIC LIQUIDS,C2H4OS,Ethanethiolic acid (Thioacetic acid),13.4,20,293.15,,,,17 [18],f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C2H4OS Ethanethiolic acid (Thioacetic acid) | e=13.4 | t=20 C | alpha=- | range=- | refs=17 [18]
nbs514:p15:015,15,C. ORGANIC LIQUIDS,C2H4O2,Acetic acid,6.15,20,293.15,,,,"96,207 [7,181]",,three_figures,candidate_near_room,,"C2H4O2 Acetic acid | e=6.15 | t=20 C | alpha=- | range=- | refs=96,207 [7,181]"
nbs514:p15:016,15,C. ORGANIC LIQUIDS,C2H4O2,Methyl formate,8.5,20,293.15,5000,a,"0,20","7,26",,two_or_less,candidate_near_room,,"C2H4O2 Methyl formate | e=8.5 | t=20 C | alpha=5. | range=0,20 | refs=7,26"
nbs514:p15:017,15,C. ORGANIC LIQUIDS,C2H5Br,Bromoethane,9.39,20,293.15,196.000,alpha,"-30,30","34,70,94,127,272 [207,228]",,three_figures,candidate_near_room,,"C2H5Br Bromoethane | e=9.39 | t=20 C | alpha=0.196(alpha) | range=-30,30 | refs=34,70,94,127,272 [207,228]"
nbs514:p15:018,15,C. ORGANIC LIQUIDS,C2H5ClO,2-Chloroethanol (Ethylene chlorohydrin),25.8,25,298.15,,,,41,,three_figures,candidate_near_room,,C2H5ClO 2-Chloroethanol (Ethylene chlorohydrin) | e=25.8 | t=25 C | alpha=- | range=- | refs=41
nbs514:p16:001,16,C. ORGANIC LIQUIDS,C2H5I,Iodoethane,7.82,20,293.15,150.000,alpha,"-20,70","81,207 [7,12,160]",,three_figures,candidate_near_room,,"C2H5I Iodoethane | e=7.82 | t=20 C | alpha=0.150(alpha) | range=-20,70 | refs=81,207 [7,12,160]"
nbs514:p16:002,16,C. ORGANIC LIQUIDS,C2H5NO,Acetaldehyde oxime,3.0,23,296.15,,,,"26 [17,27]",,two_or_less,candidate_near_room,,"C2H5NO Acetaldehyde oxime | e=3.0 | t=23 C | alpha=- | range=- | refs=26 [17,27]"
nbs514:p16:003,16,C. ORGANIC LIQUIDS,C2H5NO2,Nitroethane,28.04,30,303.15,11400.0,a,"30,35",295 [14],,three_figures,candidate_near_room,,"C2H5NO2 Nitroethane | e=28.04 | t=30 C | alpha=11.4 | range=30,35 | refs=295 [14]"
nbs514:p16:004,16,C. ORGANIC LIQUIDS,C2H5NO3,Ethyl nitrate,19.4,20,293.15,9000,a,"0,50","7,17,26 [4,14]",,three_figures,candidate_near_room,,"C2H5NO3 Ethyl nitrate | e=19.4 | t=20 C | alpha=9. | range=0,50 | refs=7,17,26 [4,14]"
nbs514:p16:005,16,C. ORGANIC LIQUIDS,C2H6N2O,N-Nitrosodimethylamine,53.4,20,293.15,,,,17,f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C2H6N2O N-Nitrosodimethylamine | e=53.4 | t=20 C | alpha=- | range=- | refs=17
nbs514:p16:006,16,C. ORGANIC LIQUIDS,C2H6O,Ethanol,24.30,25,298.15,,,,"111,174",,four_figures,candidate_near_room,,"C2H6O Ethanol | e=24.30 | t=25 C | alpha=- | range=- | refs=111,174"
nbs514:p16:007,16,C. ORGANIC LIQUIDS,C2H6O,Ethanol,24.3,25,298.15,270.000,alpha,"-5,70","111,112,207",,three_figures,candidate_near_room,source marked dielectric as chosen to conform,"C2H6O Ethanol | e=24.3 | t=25 C | alpha=0.270(alpha) | range=-5,70 | refs=111,112,207"
nbs514:p16:008,16,C. ORGANIC LIQUIDS,C2H6O,Methyl ether,5.02,25,298.15,2380.00,a,"25,100",161,,three_figures,candidate_near_room,,"C2H6O Methyl ether | e=5.02 | t=25 C | alpha=2.38 | range=25,100 | refs=161"
nbs514:p16:009,16,C. ORGANIC LIQUIDS,(C2H6OSi)n; n=4,Octamethylcyclotetrasiloxane,2.39,20,293.15,,,,266,,three_figures,candidate_near_room,,(C2H6OSi)n; n=4 Octamethylcyclotetrasiloxane | e=2.39 | t=20 C | alpha=- | range=- | refs=266
nbs514:p16:010,16,C. ORGANIC LIQUIDS,(C2H6OSi)n; n=5,Decamethylcyclopentasiloxane,2.50,20,293.15,,,,266,,three_figures,candidate_near_room,,(C2H6OSi)n; n=5 Decamethylcyclopentasiloxane | e=2.50 | t=20 C | alpha=- | range=- | refs=266
nbs514:p16:011,16,C. ORGANIC LIQUIDS,(C2H6OSi)n; n=6,Dodecamethylcyclohexasiloxane,2.59,20,293.15,,,,266,,three_figures,candidate_near_room,,(C2H6OSi)n; n=6 Dodecamethylcyclohexasiloxane | e=2.59 | t=20 C | alpha=- | range=- | refs=266
nbs514:p16:012,16,C. ORGANIC LIQUIDS,(C2H6OSi)n; n=7,Tetradecamethylcycloheptasiloxane,2.68,20,293.15,,,,266,,three_figures,candidate_near_room,,(C2H6OSi)n; n=7 Tetradecamethylcycloheptasiloxane | e=2.68 | t=20 C | alpha=- | range=- | refs=266
nbs514:p16:013,16,C. ORGANIC LIQUIDS,(C2H6OSi)n; n=8,Hexadecamethylcyclooctasiloxane,2.74,20,293.15,,,,266,,three_figures,candidate_near_room,,(C2H6OSi)n; n=8 Hexadecamethylcyclooctasiloxane | e=2.74 | t=20 C | alpha=- | range=- | refs=266
nbs514:p16:014,16,C. ORGANIC LIQUIDS,C2H6O2,Glycol,37.7,25,298.15,224.000,alpha,"20,100","112 [26,131,142,236]",,three_figures,candidate_near_room,,"C2H6O2 Glycol | e=37.7 | t=25 C | alpha=0.224(alpha) | range=20,100 | refs=112 [26,131,142,236]"
nbs514:p16:015,16,C. ORGANIC LIQUIDS,C2H6O4S,Methyl sulfate,42.6,20,293.15,,,,"122 [17,26,43]",,three_figures,candidate_near_room,,"C2H6O4S Methyl sulfate | e=42.6 | t=20 C | alpha=- | range=- | refs=122 [17,26,43]"
nbs514:p16:016,16,C. ORGANIC LIQUIDS,C2H6S,Ethanethiol,6.91,15,288.15,,,,236,,three_figures,candidate_near_room,,C2H6S Ethanethiol | e=6.91 | t=15 C | alpha=- | range=- | refs=236
nbs514:p16:017,16,C. ORGANIC LIQUIDS,C2H6S,Methyl sulfide,6.2,20,293.15,,,,17,f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C2H6S Methyl sulfide | e=6.2 | t=20 C | alpha=- | range=- | refs=17
nbs514:p16:018,16,C. ORGANIC LIQUIDS,C2H7N,Dimethylamine,5.26,25,298.15,,,,268,,three_figures,candidate_near_room,,C2H7N Dimethylamine | e=5.26 | t=25 C | alpha=- | range=- | refs=268
nbs514:p16:019,16,C. ORGANIC LIQUIDS,C2H8N2,"1,2-Ethanediamine",14.2,20,293.15,10000,a,"10,27",199,,three_figures,candidate_near_room,,"C2H8N2 1,2-Ethanediamine | e=14.2 | t=20 C | alpha=10. | range=10,27 | refs=199"
nbs514:p17:001,17,C. ORGANIC LIQUIDS,C3H4Cl2O,"1,1-Dichloro-2-propanone",14.68,20,293.15,,,,27,f=5x10^8 cycles/sec,three_figures,candidate_near_room,,"C3H4Cl2O 1,1-Dichloro-2-propanone | e=14.68 | t=20 C | alpha=- | range=- | refs=27"
nbs514:p17:002,17,C. ORGANIC LIQUIDS,C3H5Br,3-Bromo-1-propene,7.0,19,292.15,,,,26,,two_or_less,candidate_near_room,,C3H5Br 3-Bromo-1-propene | e=7.0 | t=19 C | alpha=- | range=- | refs=26
nbs514:p17:003,17,C. ORGANIC LIQUIDS,C3H5BrO2,alpha-Bromopropionic acid,11.0,21,294.15,,,,27,f=5x10^8 cycles/sec,three_figures,candidate_near_room,,C3H5BrO2 alpha-Bromopropionic acid | e=11.0 | t=21 C | alpha=- | range=- | refs=27
nbs514:p17:004,17,C. ORGANIC LIQUIDS,C3H5Br3,"1,2,3-Tribromopropane",6.45,20,293.15,,,,244,,three_figures,candidate_near_room,,"C3H5Br3 1,2,3-Tribromopropane | e=6.45 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p17:005,17,C. ORGANIC LIQUIDS,C3H5Cl,3-Chloro-1-propene,8.2,20,293.15,,,,26 [27],,two_or_less,candidate_near_room,,C3H5Cl 3-Chloro-1-propene | e=8.2 | t=20 C | alpha=- | range=- | refs=26 [27]
nbs514:p17:006,17,C. ORGANIC LIQUIDS,C3H5ClN2O6,"3-Chloro-1,2-propanediol dinitrate",17.5,20,293.15,,,,244,,three_figures,candidate_near_room,,"C3H5ClN2O6 3-Chloro-1,2-propanediol dinitrate | e=17.5 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p17:007,17,C. ORGANIC LIQUIDS,C3H5ClO,1-Chloro-2-propanone,30.,19,292.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H5ClO 1-Chloro-2-propanone | e=30. | t=19 C | alpha=- | range=- | refs=27
nbs514:p17:008,17,C. ORGANIC LIQUIDS,C3H5ClO,"3-Chloro-1,2-epoxypropane (Epichlorohydrin)",22.6,22,295.15,,,,26 [27],,three_figures,candidate_near_room,,"C3H5ClO 3-Chloro-1,2-epoxypropane (Epichlorohydrin) | e=22.6 | t=22 C | alpha=- | range=- | refs=26 [27]"
nbs514:p17:009,17,C. ORGANIC LIQUIDS,C3H5ClO2,Ethyl chloroformate,11.0,20,293.15,,,,17 [27],f=4x10^8 cycles/sec,three_figures,candidate_near_room,,C3H5ClO2 Ethyl chloroformate | e=11.0 | t=20 C | alpha=- | range=- | refs=17 [27]
nbs514:p17:010,17,C. ORGANIC LIQUIDS,C3H5ClO2,Methyl chloroacetate,12.9,21,294.15,,,,27,f=5x10^8 cycles/sec,three_figures,candidate_near_room,,C3H5ClO2 Methyl chloroacetate | e=12.9 | t=21 C | alpha=- | range=- | refs=27
nbs514:p17:011,17,C. ORGANIC LIQUIDS,C3H5Cl2NO3,"1,3-Dichloro-2-propanol nitrate",13.3,20,293.15,,,,244,,three_figures,candidate_near_room,,"C3H5Cl2NO3 1,3-Dichloro-2-propanol nitrate | e=13.3 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p17:012,17,C. ORGANIC LIQUIDS,C3H5Cl3,"1,2,3-Trichloropropane",7.5,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,"C3H5Cl3 1,2,3-Trichloropropane | e=7.5 | t=20 C | alpha=- | range=- | refs=27"
nbs514:p17:013,17,C. ORGANIC LIQUIDS,C3H5I,3-Iodo-1-propene,6.1,19,292.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H5I 3-Iodo-1-propene | e=6.1 | t=19 C | alpha=- | range=- | refs=27
nbs514:p17:014,17,C. ORGANIC LIQUIDS,C3H5N,Propionitrile,27.2,20,293.15,,,,"13,17,26",,three_figures,candidate_near_room,,"C3H5N Propionitrile | e=27.2 | t=20 C | alpha=- | range=- | refs=13,17,26"
nbs514:p17:015,17,C. ORGANIC LIQUIDS,C3H5NO,Lactonitrile,38.,20,293.15,,,,17,f=4x10^8 cycles/sec,two_or_less,candidate_near_room,,C3H5NO Lactonitrile | e=38. | t=20 C | alpha=- | range=- | refs=17
nbs514:p17:016,17,C. ORGANIC LIQUIDS,C3H5NS,Ethyl thiocyanate,29.3,21,294.15,,,,"26 [17,18,22]",,three_figures,candidate_near_room,,"C3H5NS Ethyl thiocyanate | e=29.3 | t=21 C | alpha=- | range=- | refs=26 [17,18,22]"
nbs514:p17:017,17,C. ORGANIC LIQUIDS,C3H5NS,Ethyl isothiocyanate,19.5,21,294.15,,,,"26 [17,18,22]",,three_figures,candidate_near_room,,"C3H5NS Ethyl isothiocyanate | e=19.5 | t=21 C | alpha=- | range=- | refs=26 [17,18,22]"
nbs514:p17:018,17,C. ORGANIC LIQUIDS,C3H5N3O9,"1,2,3-Propanetriol trinitrate (Nitroglycerin)",19.3,20,293.15,,,,244,,three_figures,candidate_near_room,,"C3H5N3O9 1,2,3-Propanetriol trinitrate (Nitroglycerin) | e=19.3 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p17:019,17,C. ORGANIC LIQUIDS,C3H6,Propene,1.875,20,293.15,,,,161,,three_figures,candidate_near_room,,C3H6 Propene | e=1.875 | t=20 C | alpha=- | range=- | refs=161
nbs514:p17:020,17,C. ORGANIC LIQUIDS,C3H6Br2,"1,2-Dibromopropane",4.3,20,293.15,,,,27,f=5x10^8 cycles/sec,two_or_less,candidate_near_room,,"C3H6Br2 1,2-Dibromopropane | e=4.3 | t=20 C | alpha=- | range=- | refs=27"
nbs514:p18:001,18,C. ORGANIC LIQUIDS,C3H6Cl2,"1,2-Dichloropropane",8.93,26,299.15,,,,107,,three_figures,candidate_near_room,,"C3H6Cl2 1,2-Dichloropropane | e=8.93 | t=26 C | alpha=- | range=- | refs=107"
nbs514:p18:002,18,C. ORGANIC LIQUIDS,C3H6Cl2,"2,2-Dichloropropane",10.19,20,293.15,247.000,alpha,"-33,20",234,,four_figures,candidate_near_room,,"C3H6Cl2 2,2-Dichloropropane | e=10.19 | t=20 C | alpha=0.247(alpha) | range=-33,20 | refs=234"
nbs514:p18:003,18,C. ORGANIC LIQUIDS,C3H6N2O6,"1,2-Propanediol dinitrate",26.8,20,293.15,,,,244,,three_figures,candidate_near_room,,"C3H6N2O6 1,2-Propanediol dinitrate | e=26.8 | t=20 C | alpha=- | range=- | refs=244"
nbs514:p18:004,18,C. ORGANIC LIQUIDS,C3H6N2O6,"1,3-Propanediol dinitrate",19.0,20,293.15,,,,244,,three_figures,candidate_near_room,,"C3H6N2O6 1,3-Propanediol dinitrate | e=19.0 | t=20 C | alpha=- | range=- | refs=244"
