doi,title,publication_year,venue,query_label,week11_disposition,week11_http_status,compound_names,inchikeys,smiles_list,compound_resolution,unresolved_names,target_class,target_families,target_reason,epsilon_clue,epsilon_clue_kind,epsilon_numbers_in_title_or_abstract,epsilon_evidence,temperature_window_covered,temperature_evidence_kind,temperature_evidence,temperature_skipped_non_absolute,abstract_source,abstract_read,abstract_chars,abstract_http_status,abstract_note,unpaywall_is_oa,unpaywall_oa_status,unpaywall_http_status,best_oa_url,best_oa_url_for_pdf,best_oa_host_type,best_oa_version,best_oa_license,oa_probe_method,oa_probe_http_status,oa_probe_final_url,oa_probe_content_type,oa_probe_bytes_read,oa_probe_bot_check,oa_probe_looks_like_landing_page,oa_fulltext_reachable,oa_note,score_target,score_epsilon,score_temperature,score_oa,priority_score,priority,disposition,rationale
10.1016/j.nocx.2022.100097,Deuteron nuclear magnetic resonance and dielectric studies of molecular reorientation and charge transport in succinonitrile-glutaronitrile plastic crystals,2022,Journal of Non-Crystalline Solids X,dinitriles,blocked_fetch_error,403,glutaronitrile;succinonitrile,ZTOMUSMDRMJOTH-UHFFFAOYSA-N;IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCCC#N;N#CCCC#N,partially_resolved,"plastic crystal=material class, no compound named",core,nitrile,resolved compound in a core target family: nitrile,yes,wording_only,,These dynamics agree with that inferred for partially deuterated SN-GN from dielectric spectroscopy which also reveal that a significant H/D isotope effect is absent.,unknown,none,,,openalex,true,924,200,,true,hybrid,200,https://www.sciencedirect.com/science/article/pii/S2590159122000176/pdf,https://www.sciencedirect.com/science/article/pii/S2590159122000176/pdf,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,,text/html; charset=UTF-8,8192,false,false,false,probe HTTP 403,3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
10.1002/eem2.12494,Solvation Effects on the Dielectric Constant of 1 M LiPF6 in Ethylene Carbonate: Ethyl Methyl Carbonate 3:7,2022,Energy & environment materials,modern_carbonates_and_esters,blocked_fetch_error,403,ethyl methyl carbonate;ethylene carbonate,JBTWLSYIZRCDFO-UHFFFAOYSA-N;KMTRUDSVKNLOMY-UHFFFAOYSA-N,CCOC(=O)OC;O=C1OCCO1,resolved,,adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,yes,value,18.5,"Using three Debye relaxations, the static permittivity value, or dielectric constant, is extrapolated to 18.5, which is compared to 18.7 for the neat solvent mixture.",unknown,none,,,openalex,true,883,200,,true,hybrid,200,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12494,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12494,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,,text/html; charset=UTF-8,5787,true,false,false,probe HTTP 403,1,3,0,0,4,P2,pending,target=adjacent; epsilon=value; temperature=unknown; oa=false; score=4
10.3390/nano11123216,"Hydrophilic and Hydrophobic Nanostructured Copper Surfaces for Efficient Pool Boiling Heat Transfer with Water, Water/Butanol Mixtures and Novec 649",2021,Nanomaterials,fluorinated_ethers,skipped_noise_prefilter,,decafluoropentane;1-butanol;water,RIQRGMUSBYGDBL-UHFFFAOYSA-N;LRHPLDYGYMQRHN-UHFFFAOYSA-N;XLYOFNOQVPJJNP-UHFFFAOYSA-N,FC(F)(F)C(F)(F)C(F)C(F)C(F)(F)F;CCCCO;O,partially_resolved,self-rewetting fluid=fluid not specified,off,alcohol;fluoroalkane;water,every resolved compound maps to a non-target family: alcohol;fluoroalkane;water,no,none,,,unknown,none,,,openalex,true,1454,200,,true,gold,200,https://www.mdpi.com/2079-4991/11/12/3216/pdf?version=1638350429,https://www.mdpi.com/2079-4991/11/12/3216/pdf?version=1638350429,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,,text/html,415,true,false,false,probe HTTP 403,0,0,0,0,0,P3,discard,target=off; epsilon=none; temperature=unknown; oa=false; score=0; noise veto (pool_boiling_heat_transfer)
10.1063/5.0046073,Effect of anion identity on ion association and dynamics of sodium ions in non-aqueous glyme based electrolytes—OTf vs TFSI,2021,The Journal of Chemical Physics,glymes,blocked_html_landing,200,"tetraglyme;1,2-dimethoxyethane;triglyme;diglyme",ZUHZGEOKBKGPSW-UHFFFAOYSA-N;XTHFKEDIFFGKHM-UHFFFAOYSA-N;YFNKIDBQEZZDLK-UHFFFAOYSA-N;SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOCCOCCOC;COCCOC;COCCOCCOCCOC;COCCOCCOC,partially_resolved,glyme=generic glyme without a chain-length prefix; oligomer length unnamed,core,glyme,resolved compound in a core target family: glyme,yes,wording_only,,"Despite their low dielectric constant, glyme-based electrolytes are particularly attractive for these sodium-based batteries due to their ability to chelate with the sodium ion and their high electrochemical stability.",unknown,none,,,openalex,true,1733,200,,true,green,200,https://digitalcommons.lsu.edu/chemistry_pubs/3452,,repository,submittedVersion,,ranged_get_0_8191,200,https://repository.lsu.edu/chemistry_pubs/3452/,text/html; charset=UTF-8,8192,true,false,false,bot-check page returned,3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
10.1149/1945-7111/ab6975,Enhancement of Bifunctional Effect for LiNO3/glyme Electrolyte by Using Dual Solvent System for Li-O2 Batteries,2020,Journal of The Electrochemical Society,glymes,blocked_html_landing,200,tetraglyme,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,COCCOCCOCCOCCOC,partially_resolved,glyme=generic glyme without a chain-length prefix; oligomer length unnamed,core,glyme,resolved compound in a core target family: glyme,yes,wording_only,,"Namely, acetonitrile and dimethyl sulfoxide (DMSO) with relatively high dielectric constant and low viscosity were mixed with G4 solvent to increase the number per volume and mobility of Li+ and NO3 − as carrier ions for reduction of the large overpotential during charge process and enhancement of the power density.",unknown,none,,,openalex,true,1342,200,,true,hybrid,200,https://iopscience.iop.org/article/10.1149/1945-7111/ab6975/pdf,https://iopscience.iop.org/article/10.1149/1945-7111/ab6975/pdf,publisher,publishedVersion,cc-by,ranged_get_0_8191,206,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=5e9e8448-187d-44dd-a791-9bd05e213f0c&ssb=43276251605&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F1945-7111%2Fab6975%2Fpdf&ssi=a32f5477-cnvj-4080-99e3-fe17e75ff873&ssk=botmanager_support@radware.com&ssm=71696463971270517108393571592556&ssn=2b4c90e6bea13c9dc6f1305cb3018943a84efcbae2da-ab02-475f-ae544d&sso=0434cfc6-456579e3714f59493a9968cf6c18250ae89008fc572761f5&ssp=30747290441790366313179031325124076&ssq=03711596055756352686660557749998415091570&ssr=MjIyLjIwLjE5My4yMzk=&sst=electrolyte-ml-research/1.0%20(AL%20round-3%20title/abstract%20triage;%20mailto:codex@local)&ssu=&ssv=&ssw=&ssx=eyJfX3V6bWYiOiI3ZjkwMDBmY2JhZTJkYS1hYjAyLTQ3NWYtYWZjNi00NTY1NzllMzcxNGYxLTE3OTAzNjA1NTc0ODkwLTAwNTcwMjEwNzBkM2U1ZWNlOGExMCIsInJkIjoiaW9wLm9yZyIsInV6bXgiOiI3ZmMwMDA3YWQ1YWU3Mi1jZDRmLTQ5OWItYmIzZC04NTNkMWRiNzk1YWYxLTE3OTAzNjA1NTc0ODkwLTAwNjFjNmY1NDM4YzZiZjZiMWUxMCJ9,text/html; charset=UTF-8,8192,false,false,true,2xx and not a bot-check page,3,1,0,2,6,P1,human_reading_list,target=core; epsilon=wording_only; temperature=unknown; oa=true; score=6
10.1021/acs.jpclett.0c00334,Ion Pairing and Redissociaton in Low-Permittivity Electrolytes for Multivalent Battery Applications,2020,The Journal of Physical Chemistry Letters,glymes,blocked_fetch_error,0,"1,2-dimethoxyethane;diglyme",XTHFKEDIFFGKHM-UHFFFAOYSA-N;SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOC;COCCOCCOC,partially_resolved,glyme=generic glyme without a chain-length prefix; oligomer length unnamed,core,glyme,resolved compound in a core target family: glyme,yes,wording_only,,Ion Pairing and Redissociaton in Low-Permittivity Electrolytes for Multivalent Battery Applications Detailed speciation of electrolytes as a function of chemical system and concentration provides the foundation for understanding bulk transport as well as possible decomposition mechanisms.,unknown,none,,,openalex,true,1476,200,,true,green,200,https://www.osti.gov/servlets/purl/1630283,https://www.osti.gov/servlets/purl/1630283,repository,submittedVersion,,ranged_get_0_8191,,,,0,false,false,false,"probe transport error: ConnectTimeout: HTTPSConnectionPool(host='www.osti.gov', port=443): Max retries exceeded with url: /servlets/purl/1630283 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.osti.gov', port=443) at 0x1faea395b80>, 'Connection to www.osti.gov timed out. (connect timeout=60)'))",3,1,0,0,4,P2,pending,target=core; epsilon=wording_only; temperature=unknown; oa=false; score=4
10.1016/j.applthermaleng.2020.115862,Immersion cooling effect of dielectric liquid and self-rewetting fluid on smooth and porous surface,2020,Applied Thermal Engineering,fluorinated_ethers,skipped_noise_prefilter,,,,,unresolved,self-rewetting fluid=fluid not specified;dielectric liquid=fluid not specified,off,,no target or adjacent solvent family detected in the title or abstract,no,none,,,unknown,none,,,not read,false,0,,abstract not read: OpenAlex HTTP 200: no abstract_inverted_index; Crossref HTTP 200: no abstract field,true,bronze,200,https://www.sciencedirect.com/science/article/am/pii/S1359431120333445,https://www.sciencedirect.com/science/article/am/pii/S1359431120333445,publisher,acceptedVersion,,ranged_get_0_8191,403,,text/html; charset=UTF-8,8192,false,false,false,probe HTTP 403,0,0,0,0,0,P3,discard,target=off; epsilon=none; temperature=unknown; oa=false; score=0; noise veto (pool_boiling_heat_transfer)
10.1049/hve.2019.0144,Effect of surface modification of electrodes on charge injection and dielectric characteristics of propylene carbonate,2019,High Voltage,modern_carbonates_and_esters,blocked_fetch_error,403,propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,CC1COC(=O)O1,resolved,,adjacent,carbonate_ester,resolved compound in an adjacent battery-solvent family: carbonate_ester,no,none,,,unknown,none,,,openalex,true,1322,200,,true,gold,200,https://doi.org/10.1049/hve.2019.0144,,publisher,publishedVersion,cc-by,ranged_get_0_8191,403,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/hve.2019.0144,text/html; charset=UTF-8,5799,true,false,false,probe HTTP 403,1,0,0,0,1,P3,discard,target=adjacent; epsilon=none; temperature=unknown; oa=false; score=1
10.1016/j.electacta.2019.02.110,Ion transport and association study of glyme-based electrolytes with lithium and sodium salts,2019,Electrochimica Acta,glymes,blocked_html_landing,200,,,,unresolved,glyme=generic glyme without a chain-length prefix; oligomer length unnamed,core_family_unresolved,glyme,"no single molecule resolved, but the text names the glyme family (“glyme”)",no,none,,,unknown,none,,,not read,false,0,,abstract not read: OpenAlex HTTP 200: no abstract_inverted_index; Crossref HTTP 200: no abstract field,true,bronze,200,https://doi.org/10.1016/j.electacta.2019.02.110,,publisher,acceptedVersion,,ranged_get_0_8191,200,https://linkinghub.elsevier.com/retrieve/pii/S0013468619303779,text/html;charset=UTF-8,2709,false,true,unknown,"2xx HTML body of only 2709 bytes (no Range support): looks like a landing page, not the article",2,0,0,1,3,P2,pending,target=core_family_unresolved; epsilon=none; temperature=unknown; oa=unknown; score=3
10.1149/2.0461816jes,Impact of Trifluoromethylation of Adiponitrile on Aluminum Dissolution Behavior in Dinitrile-Based Electrolytes,2018,Journal of The Electrochemical Society,dinitriles,blocked_html_landing,200,adiponitrile;propylene carbonate,BTGRAWJCKBQKAO-UHFFFAOYSA-N;RUOJZAUFBMNUDX-UHFFFAOYSA-N,N#CCCCCC#N;CC1COC(=O)O1,partially_resolved,trifluoromethylation=unnamed trifluoromethylated adiponitrile derivative,core,nitrile;carbonate_ester,resolved compound in a core target family: nitrile,yes,wording_only,,"In cases where neither electrolyte components nor decomposition products thereof enable the formation of protective surface layers on aluminum current collectors, both the viscosity and relative permittivity of the solvents could be identified as key parameters for reducing aluminum dissolution.",unknown,none,,,openalex,true,1555,200,,true,hybrid,200,https://iopscience.iop.org/article/10.1149/2.0461816jes/pdf,https://iopscience.iop.org/article/10.1149/2.0461816jes/pdf,publisher,publishedVersion,cc-by,ranged_get_0_8191,206,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=a60e8aef-1d89-4f57-b389-64aba028367e&ssb=70060257863&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F2.0461816jes%2Fpdf&ssi=c1d2938e-cnvj-4b24-b8b3-54226bb75fa2&ssk=botmanager_support@radware.com&ssm=80547660910990046103915152535209&ssn=54b7b267ad7847ef54114a628b8312ca3f152c8ebc05-9d6d-417b-85ed48&sso=bb9df23f-44843c6ae01afc48ff2d682be06d1b2cd02395e3539395a4&ssp=69097292011790369491179035326829954&ssq=56785386059536003712760595818943668099141&ssr=MjIyLjIwLjE5My4yMzk=&sst=electrolyte-ml-research/1.0%20(AL%20round-3%20title/abstract%20triage;%20mailto:codex@local)&ssu=&ssv=&ssw=&ssx=eyJ1em14IjoiN2ZjMDAwZjkwZDdjYWYtM2I3Yy00YTM3LTgwNjMtMDQyNjBjMjE0MjY5MS0xNzkwMzYwNTk1MjA3MC0wMDY1MWYwNjA2NDlmNTcxYjY3MTAiLCJfX3V6bWYiOiI3ZjkwMDAyYzhlYmMwNS05ZDZkLTQxN2ItODIzZi00NDg0M2M2YWUwMWExLTE3OTAzNjA1OTUyMDcwLTAwNTY1MGQyNTk5NWY2N2U4MzkxMCIsInJkIjoiaW9wLm9yZyJ9,text/html; charset=UTF-8,8192,false,false,true,2xx and not a bot-check page,3,1,0,2,6,P1,human_reading_list,target=core; epsilon=wording_only; temperature=unknown; oa=true; score=6
10.1088/1361-648x/aab466,"Structural, electrical properties and dielectric relaxations in Na + -ion-conducting solid polymer electrolyte",2018,Journal of Physics Condensed Matter,dinitriles,fulltext_no_value,200,succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,N#CCCC#N,partially_resolved,"polymer electrolyte=composite solid polymer electrolyte, not a pure solvent",core,nitrile,resolved compound in a core target family: nitrile,yes,wording_only,,"Structural, electrical properties and dielectric relaxations in Na + -ion-conducting solid polymer electrolyte + x wt. % succinonitrile.",unknown,none,,,openalex,true,1461,200,,true,green,200,https://arxiv.org/pdf/1807.03969,https://arxiv.org/pdf/1807.03969,repository,submittedVersion,,ranged_get_0_8191,206,,application/pdf,8192,false,false,true,2xx and not a bot-check page,3,1,0,2,6,P1,human_reading_list,target=core; epsilon=wording_only; temperature=unknown; oa=true; score=6
10.1016/j.bpj.2017.12.013,Structural Impact of Phosphorylation and Dielectric Constant Variation on Synaptotagmin’s IDR,2018,Biophysical Journal,fluorinated_alcohols,skipped_noise_prefilter,,,,,unresolved,"synaptotagmin=protein, not a solvent",off,,no target or adjacent solvent family detected in the title or abstract,yes,wording_only,,Structural Impact of Phosphorylation and Dielectric Constant Variation on Synaptotagmin’s IDR,unknown,none,,,not read,false,0,,abstract not read: OpenAlex HTTP 200: no abstract_inverted_index; Crossref HTTP 200: no abstract field,true,bronze,200,http://www.cell.com/article/S0006349517350932/pdf,http://www.cell.com/article/S0006349517350932/pdf,publisher,publishedVersion,,ranged_get_0_8191,403,https://www.cell.com/article/S0006349517350932/pdf,text/html; charset=UTF-8,5703,true,false,false,probe HTTP 403,0,1,0,0,1,P3,discard,target=off; epsilon=wording_only; temperature=unknown; oa=false; score=1; noise veto (biophysics_peptide_or_protein)
