substance,inchikey,cas,reaxys_registry_number,channel,reaxys_section,reaxys_category,value_raw,unit_raw,value_si,temperature_raw_C,temperature_K,location,reference,row_kind,access,reaxys_crosscheck_only,note
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,81,,,60,333.15,,"Seward, Vieira; Journal of Physical Chemistry 1958, 62, 127",numeric,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,dielectric,Physical Data,Static Dielectric Constant,77.3,,,70,343.15,,"Seward, Vieira; Journal of Physical Chemistry 1958, 62, 127",numeric,restricted_crosscheck_only,TRUE,"a clean eps(T) series, the only EC eps series Reaxys exposes"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,39.5,degC,,,,,"Segura-Ramirez, Sole-Daura, Gomez-Mingot, Fontecave, Sanchez-Sanchez; ChemSusChem 2026, 19(6), e202502570",numeric,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,36.4,degC,,,,supporting information,"Heng, Gu, Liu, Liang, Deng, Zhao, Wang, Xue, Hong-Yan, Wu; Angewandte Chemie International Edition 2025, 64(14), e202423044",numeric,restricted_crosscheck_only,TRUE,reproduces the 36.4 C the liquid-window gate already blocks on
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,34 - 37,degC,,,,,"Kasakado, Fukuyama, Nakagawa, Taguchi, Ryu; Beilstein Journal of Organic Chemistry 2022, 18, 152-158",range,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,41.3,degC,,,,,"Hofmann, Migeot, Hanemann; Journal of Chemical and Engineering Data 2016, 61(1), 114-123",numeric,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,36 - 37,degC,,,,supporting information,"Liu, Zhang, Song, Liu, Ma, He; Green Chemistry 2016, 18(9), 2871-2876",range,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,36 - 40,degC,,,,Paragraph 0025,"Current Patent Assignee: SUZHOU ERYE PHARMACEUTICALS; CN104387421, 2016, B, paragraph 0025",range,restricted_crosscheck_only,TRUE,patent paragraph
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,melting_point,Physical Data,Melting Point,36,degC,,,,,"Schroeder, Hubaud, Vaughey; Materials Research Bulletin 2014, 49(1), 614-617",numeric,restricted_crosscheck_only,TRUE,the same paper that carries the eps 89.78 at 25 C row
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,0.0193,P,1.93,40,313.15,,"Segura-Ramirez, Sole-Daura, Gomez-Mingot, Fontecave, Sanchez-Sanchez; ChemSusChem 2026, 19(6), e202502570",numeric,restricted_crosscheck_only,TRUE,"1.93 mPa*s, physically sensible for EC above its melting point"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,0.0477,P,4.77,25,298.15,supporting information,"Shen, Yuan, Fu, Fan, Zhou, Lu; Angewandte Chemie International Edition 2026, 65(31), e6110810",numeric,restricted_crosscheck_only,TRUE,"2.5x the Segura value at 25 C, a temperature at which pure EC is a solid"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,,,,80,353.15,,"Tachouaft, Damas, Naejus; Journal of Solution Chemistry 2023, 52(11), 1232-1254",temperature_only,restricted_crosscheck_only,TRUE,temperature row with the value field empty
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,,,,70,343.15,,"Tachouaft, Damas, Naejus; Journal of Solution Chemistry 2023, 52(11), 1232-1254",temperature_only,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,,,,60,333.15,,"Tachouaft, Damas, Naejus; Journal of Solution Chemistry 2023, 52(11), 1232-1254",temperature_only,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,,,,55,328.15,,"Tachouaft, Damas, Naejus; Journal of Solution Chemistry 2023, 52(11), 1232-1254",temperature_only,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,viscosity,Physical Data,Dynamic Viscosity,,,,50,323.15,,"Tachouaft, Damas, Naejus; Journal of Solution Chemistry 2023, 52(11), 1232-1254",temperature_only,restricted_crosscheck_only,TRUE,
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,supporting information,"Sreedeep, Lee, Aravindan; Journal of Materials Chemistry A 2025, 13(18), 13262-13275",reference_only,restricted_crosscheck_only,TRUE,"keyword 'Electronic energy levels, Molecular orbitals', method DFT"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,,"Xu, Zhang, Li, Chen, Zhou, Zhang, Wu; Chinese Chemical Letters 2026, 37(8), 111263",reference_only,restricted_crosscheck_only,TRUE,"keyword 'Electronic energy levels, Molecular orbitals', method DFT"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,supporting information,"Chen, Ding, Zeng, Dong, Yue, Si, Zhang, Qu, Liang, Hao; Chinese Chemical Letters 2026, 37(7), 111127",reference_only,restricted_crosscheck_only,TRUE,"keyword 'Density of states', method DFT"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,,"Wu, Huang, Wang, Tao, Yu, Zhang; Catalysis Letters 2023, 153(1), 62-73",reference_only,restricted_crosscheck_only,TRUE,"keyword 'Atom distances, angles', method DFT"
ethylene carbonate,KMTRUDSVKNLOMY-UHFFFAOYSA-N,96-49-1,106249,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,,"Wang, Yu, Zhao, Xue, Jiang, Wang, Wu; Spectrochimica Acta Part A 2022, 281, 121593",reference_only,restricted_crosscheck_only,TRUE,"keyword 'IR bands, intensities, transition moments, Raman bands'"
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,64.9,,,25,298.15,,"Segura-Ramirez, Sole-Daura, Gomez-Mingot, Fontecave, Sanchez-Sanchez; ChemSusChem 2026, 19(6), e202502570",numeric,restricted_crosscheck_only,TRUE,"the shipped Simeral & Amey value and temperature, attributed here to a different paper"
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,64.92,,,,,,"Xu, Zhang, Li, Chen, Zhou, Zhang, Wu; Chinese Chemical Letters 2026, 37(8), 111263",numeric,restricted_crosscheck_only,TRUE,
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,64,,,,,,"Segato, Baratta, Belanzoni, Belpassi, Del Zotto, Zuccaccia; Inorganica Chimica Acta 2021, 522, 120372",numeric,restricted_crosscheck_only,TRUE,the same paper that carries the shipped GVL 36.9 leg
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,69,,,25,298.15,,"Sun, Huang, Guo; Chemical Communications 2019, 55(92), 13876-13879",numeric,restricted_crosscheck_only,TRUE,an outlier against the 64.9 cluster
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,64.92,,,25,298.15,,"Schroeder, Hubaud, Vaughey; Materials Research Bulletin 2014, 49(1), 614-617",numeric,restricted_crosscheck_only,TRUE,
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,62.93,,,20,293.15,,"Laurence, Nicolet, Dalati, Abboud, Notario; Journal of Physical Chemistry 1994, 98(23), 5807-5816",numeric,restricted_crosscheck_only,TRUE,frequency 2E+06 Hz: a frequency-labelled eps sitting next to static eps with no flag to separate them
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,dielectric,Physical Data,Dielectric Constant,63.41,,,35,308.15,,"Ritzoulis, George; Canadian Journal of Chemistry 1989, 67, 1105-1108",numeric,restricted_crosscheck_only,TRUE,frequency 2E+06 Hz
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,0.0251,P,2.51,25,298.15,,"Segura-Ramirez, Sole-Daura, Gomez-Mingot, Fontecave, Sanchez-Sanchez; ChemSusChem 2026, 19(6), e202502570",numeric,restricted_crosscheck_only,TRUE,2.51 mPa*s
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,0.0549,P,5.49,25,298.15,supporting information,"Shen, Yuan, Fu, Fan, Zhou, Lu; Angewandte Chemie International Edition 2026, 65(31), e6110810",numeric,restricted_crosscheck_only,TRUE,"the same reference that overstates EC, here 2.2x the Segura value"
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,,,,25,298.15,supporting information,"Wang, Song, Wu, Yu, Feng, Armand, Huang, Zhou, Zhang; Angewandte Chemie International Edition 2022, 61(47), E202211623",temperature_only,restricted_crosscheck_only,TRUE,temperature row with the value field empty
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,0.0114,P,1.14,74.99,348.14,,"Liu, Ma, Wang, Ni, Fu, Wang, Zheng; Journal of Molecular Liquids 2021, 325, 114573",numeric,restricted_crosscheck_only,TRUE,
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,0.01213,P,1.213,69.99,343.14,,"Liu, Ma, Wang, Ni, Fu, Wang, Zheng; Journal of Molecular Liquids 2021, 325, 114573",numeric,restricted_crosscheck_only,TRUE,
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,0.01294,P,1.294,64.99,338.14,,"Liu, Ma, Wang, Ni, Fu, Wang, Zheng; Journal of Molecular Liquids 2021, 325, 114573",numeric,restricted_crosscheck_only,TRUE,
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Dynamic Viscosity,0.01385,P,1.385,59.99,333.14,,"Liu, Ma, Wang, Ni, Fu, Wang, Zheng; Journal of Molecular Liquids 2021, 325, 114573",numeric,restricted_crosscheck_only,TRUE,clean eta(T) series; note the 59.99 and 69.99 float noise rather than 60 and 70
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Kinematic Viscosity,0.0212,St,2.12,25,298.15,,"Ponomarenko, Mushtakova, Demakhin, Faifel, Kalmanovich; Russian Journal of General Chemistry 1995, 65(2.1), 160-167",numeric,restricted_crosscheck_only,TRUE,"2.12 cSt, consistent with eta/rho for PC"
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,viscosity,Physical Data,Kinematic Viscosity,1.36 - 2.39,St,,24.9 - 57.9,,,"Rosseinsky, Monk; Journal of the Chemical Society, Faraday Transactions 1990, 86(21), 3597-3601",range_with_temperature,restricted_crosscheck_only,TRUE,"a whole temperature series collapsed into one min-max cell, in a different unit from the other rows"
propylene carbonate,RUOJZAUFBMNUDX-UHFFFAOYSA-N,108-32-7,,redox,Physical Data,Electrochemical Characteristics,,,,,,supporting information,"Lu, Korf, Kambe, Tu, Archer; Angewandte Chemie International Edition 2014, 53(2), 488-492",reference_only,restricted_crosscheck_only,TRUE,"description 'cyclovoltammetry', comment 'potential diagram': no number"
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,108-29-2,80420,dielectric,Physical Data,Dielectric Constant,36.9,,,,,supporting information,"Segato, Baratta, Belanzoni, Belpassi, Del Zotto, Zuccaccia; Inorganica Chimica Acta 2021, 522, 120372",numeric,restricted_crosscheck_only,TRUE,"lesson A: the entire GVL dielectric series in Reaxys is this single row, and it is the shipped v0.4 main value"
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,108-29-2,80420,viscosity,Physical Data,Dynamic Viscosity,1.88,mPa*s,1.88,24.99,298.14,,"Devi, Rani, Kumar, Kataria; Journal of Molecular Liquids 2023, 390, 123056",value_in_comment,restricted_crosscheck_only,TRUE,"the numeric eta lives in the Comment free text, not in the value column"
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,108-29-2,80420,viscosity,Physical Data,Dynamic Viscosity,1.68,mPa*s,1.68,29.99,303.14,,"Devi, Rani, Kumar, Kataria; Journal of Molecular Liquids 2023, 390, 123056",value_in_comment,restricted_crosscheck_only,TRUE,value stored only inside the Comment free text
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,108-29-2,80420,viscosity,Physical Data,Dynamic Viscosity,1.56,mPa*s,1.56,34.99,308.14,,"Devi, Rani, Kumar, Kataria; Journal of Molecular Liquids 2023, 390, 123056",value_in_comment,restricted_crosscheck_only,TRUE,value stored only inside the Comment free text
gamma-valerolactone,GAEKPEKOJKCEMS-UHFFFAOYSA-N,108-29-2,80420,viscosity,Physical Data,Dynamic Viscosity,1.45,mPa*s,1.45,39.99,313.14,,"Devi, Rani, Kumar, Kataria; Journal of Molecular Liquids 2023, 390, 123056",value_in_comment,restricted_crosscheck_only,TRUE,value stored only inside the Comment free text
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Dielectric Constant,55,,,50,323.15,,No author recorded in the Reaxys reference column; Electrochimica Acta,numeric,restricted_crosscheck_only,TRUE,the only numeric dielectric value Reaxys exposes for succinonitrile
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Dielectric Constant,,,,,,,"Williams, Smyth; Journal of the American Chemical Society 1962, 84, 1808,1810",reference_only,restricted_crosscheck_only,TRUE,"reference indexed, no numeric value"
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Dielectric Constant,,,,,,,"Longueville et al.; Journal de Chimie Physique 1971, 68, 436,438,439",reference_only,restricted_crosscheck_only,TRUE,"reference indexed, no numeric value"
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Dielectric Constant,,,,-190 - 78.2,,,"White, Morgan; Journal of Chemical Physics 1937, 5, 661",temperature_only,restricted_crosscheck_only,TRUE,temperature span with the value field empty; comment 'Frequency:1-100 kHz.'
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Static Dielectric Constant,2.76 - 60.83,,,-151 - 60.5,,,"Lafontaine; Bulletin des Societes Chimiques Belges 1958, 67, 153,161",range_with_temperature,restricted_crosscheck_only,TRUE,a whole eps(T) series collapsed into one min-max value and one min-max temperature
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Static Dielectric Constant,,,,,,,"Walden; Zeitschrift fur Physikalische Chemie 1903, 46, 174 and 1906, 54, 163",reference_only,restricted_crosscheck_only,TRUE,
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,dielectric,Physical Data,Static Dielectric Constant,,,,,,,"Schlundt; Chemisches Zentralblatt 1902, 73(I), 3",reference_only,restricted_crosscheck_only,TRUE,
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,viscosity,Physical Data,Dynamic Viscosity,0.02591,P,2.591,60,333.15,,"Timmermans, Hennaut-Roland; Journal de Chimie Physique 1937, 34, 711",numeric,restricted_crosscheck_only,TRUE,
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,viscosity,Physical Data,Dynamic Viscosity,0.02008,P,2.008,75,348.15,,"Timmermans, Hennaut-Roland; Journal de Chimie Physique 1937, 34, 711",numeric,restricted_crosscheck_only,TRUE,
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,viscosity,Physical Data,Dynamic Viscosity,0.0276,P,2.76,58.7,331.85,,"Dunstan, Hilditch, Thole; Journal of the Chemical Society 1913, 103, 140",numeric,restricted_crosscheck_only,TRUE,"conflicts with 2.591 mPa*s at 60 C from Timmermans: reported side by side, never averaged"
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,viscosity,Physical Data,Dynamic Viscosity,0.0181,P,1.81,83,356.15,,"Dunstan, Hilditch, Thole; Journal of the Chemical Society 1913, 103, 140",numeric,restricted_crosscheck_only,TRUE,
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,viscosity,Physical Data,Dynamic Viscosity,0.0246,P,2.46,60,333.15,,"Walden; Zeitschrift fur Physikalische Chemie 1911, 75, 575",numeric,restricted_crosscheck_only,TRUE,a third independent source at 60 C: the 60 C cluster spans 2.46 to 2.76 mPa*s
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,,"Su, Qu, Hu, Wang, Song, Pei, Mao, Jian, Hu; Angewandte Chemie International Edition 2025, 64(7), e202418959",reference_only,restricted_crosscheck_only,TRUE,"keyword 'Electronic energy levels, Molecular orbitals', method DFT"
succinonitrile,IAHFWCOBPZCAEA-UHFFFAOYSA-N,110-61-2,,homo_lumo,Other Data,Quantum Chemical Calculations,,,,,,,"Zhang, Liu, Sun, Liu, Xu, Xi, Ji, Zhu, Liu; Angewandte Chemie International Edition 2023, 62(44), e202310006",reference_only,restricted_crosscheck_only,TRUE,"keyword 'Molecular orbitals, Electronic energy levels', method DFT"
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,dielectric,Physical Data,Dielectric Constant,3.11,,,25,298.15,,"Schroeder, Hubaud, Vaughey; Materials Research Bulletin 2014, 49(1), 614-617",numeric,restricted_crosscheck_only,TRUE,low against the shipped 3.134 and against the Rivas range
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,dielectric,Physical Data,Dielectric Constant,3.13 - 3.15,,,15 - 55,,,"Rivas, Pereira, Banerji, Iglesias; Journal of Chemical Thermodynamics 2004, 36(3), 183-191",range_with_temperature,restricted_crosscheck_only,TRUE,a range value and a range temperature in one cell
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,dielectric,Physical Data,Dielectric Constant,3.13 - 3.15,,,15 - 30,,,"Rivas, Pereira, Iglesias; Journal of Chemical Thermodynamics 2002, 34(11), 1897-1907",range_with_temperature,restricted_crosscheck_only,TRUE,
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,dielectric,Physical Data,Dielectric Constant,3.17,,,20,293.15,,"Laurence, Nicolet, Dalati, Abboud, Notario; Journal of Physical Chemistry 1994, 98(23), 5807-5816",numeric,restricted_crosscheck_only,TRUE,frequency 2E+06 Hz
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,0.00439 - 0.00669,P,,14.99 - 54.99,,,"Liu, Zhao, Zheng, Mou, Zhang; Journal of Chemical and Engineering Data 2018, 63(12), 4484-4496",range_with_temperature,restricted_crosscheck_only,TRUE,a range value with a range temperature
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,0.00401,P,0.401,59.99,333.14,,"Chen, Yang, Chen, Hu, Chen, Cai; Journal of Molecular Liquids 2015, 209, 683-692",numeric,restricted_crosscheck_only,TRUE,
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,0.0042,P,0.42,54.99,328.14,,"Chen, Yang, Chen, Hu, Chen, Cai; Journal of Molecular Liquids 2015, 209, 683-692",numeric,restricted_crosscheck_only,TRUE,
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,0.00442,P,0.442,49.99,323.14,,"Chen, Yang, Chen, Hu, Chen, Cai; Journal of Molecular Liquids 2015, 209, 683-692",numeric,restricted_crosscheck_only,TRUE,
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,0.00465,P,0.465,44.99,318.14,,"Chen, Yang, Chen, Hu, Chen, Cai; Journal of Molecular Liquids 2015, 209, 683-692",numeric,restricted_crosscheck_only,TRUE,
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,0.00491,P,0.491,39.99,313.14,,"Chen, Yang, Chen, Hu, Chen, Cai; Journal of Molecular Liquids 2015, 209, 683-692",numeric,restricted_crosscheck_only,TRUE,a clean eta(T) series for DMC
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,viscosity,Physical Data,Dynamic Viscosity,,,,19.99 - 49.99,,,"Gao, Hong, Zhang, Li; Journal of Solution Chemistry 2024, 53(2), 257-277",temperature_only,restricted_crosscheck_only,TRUE,kind of measurement: falling-ball capillary; value field empty
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,homo_lumo,Physical Data,Ionization Potential,,,,,,,"Meeks et al.; Chemical Physics Letters 1975, 30, 190",reference_only,restricted_crosscheck_only,TRUE,lesson C: the Ionization Potential table has a Reference column and NO value column
dimethyl carbonate,IEJIGPNLZYLLBP-UHFFFAOYSA-N,616-38-6,635821,homo_lumo,Physical Data,Ionization Potential,,,,,,,"Wittel et al.; Zeitschrift fur Naturforschung Teil B 1975, 30, 862,863,864",reference_only,restricted_crosscheck_only,TRUE,a second reference-only row in the same table
