shortlist,rank,cas,smiles,molwt,mp_k,bp_k,fp_k,source_figure,source_page,source_page_label,source_kind,redistributable,usage,notes
15,11,15074-49-4,,,221.2,509.7,374.7,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,12,4553-62-2,,,220.8,508.6,380.6,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,13,16525-39-6,,,228.7,519.4,383.2,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,14,6959-71-3,,,202.6,467.2,361.4,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
15,15,35633-50-2,,,221.6,490.1,368.1,Figure S20,32,SI31,compilation_from_published_si,false,cross_check_only,SI 图 S20 只画骨架式、不印 SMILES，故此格留空，未由本仓回填。
14,1,,O=COCC1COCO1,,229.2,458.3,360.6,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,2,,N#CCCCC1CCC1,,225.4,489.3,362.0,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,3,,N#CCCC1=CCCC1,,223.9,492.6,363.2,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,4,,N#CCCC1(CC1)C#N,,228.0,525.0,387.0,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,5,,CCC(CC#N)CC#N,,222.3,513.8,381.3,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,6,,CC(CCC#N)CC#N,,219.3,519.2,382.0,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,7,,CCC(CCC#N)C#N,,223.3,514.2,381.8,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,8,,C#CCCOCCCC#N,,224.7,477.2,361.9,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,9,,CC(COCC#N)C#N,,226.4,497.7,378.4,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,10,,CC(CCOC=O)C#N,,227.7,474.8,361.7,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,11,,CC(COC=O)CC#N,,221.4,476.7,363.8,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,12,,CC(CCC#N)C1CO1,,226.1,499.2,360.7,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,13,,N#CCCOC1CCC1,,226.4,476.5,365.8,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
14,14,,CC1COCC1CC#N,,228.7,492.9,361.0,Figure S21,33,SI32,compilation_from_published_si,false,cross_check_only,SI 图 S21 不印 CAS ID，故此格留空（论文正文与 SI 均称这一组 14 个不带 CAS）。
