pair_id,inchikey,T_K,T_alignment_rule,T_alignment_delta_K,epsilon_T_K_source,viscosity_T_K_source,epsilon,epsilon_unit,epsilon_dataset_id,epsilon_source_kind,epsilon_quality_layer,epsilon_source_file,epsilon_source_row_index,epsilon_source_doi,epsilon_row_id,epsilon_n_components,epsilon_pure_or_mixture,viscosity_Pa_s,viscosity_unit,viscosity_dataset_id,viscosity_source_kind,viscosity_quality_layer,viscosity_source_file,viscosity_source_row_index,viscosity_source_doi,viscosity_row_id,viscosity_n_components,viscosity_pure_or_mixture,walden_coupling_epsilon_times_eta,walden_ratio_eta_over_epsilon,pair_source_quadrant,pair_quality_layer,pair_redistributable,averaging_applied
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:1989,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.003404,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,1989,10.1021/je100594u,thermoml_viscosity:1989,1,pure,0.051550176,0.000224775488642,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2002,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.003504,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2002,10.1021/je100594u,thermoml_viscosity:2002,2,mixture,0.053064576,0.000231378763867,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2003,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0025046,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2003,10.1021/je100594u,thermoml_viscosity:2003,2,mixture,0.0379296624,0.000165385631273,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2004,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0018849,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2004,10.1021/je100594u,thermoml_viscosity:2004,2,mixture,0.0285449256,0.000124465134707,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2005,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0014396,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2005,10.1021/je100594u,thermoml_viscosity:2005,2,mixture,0.0218013024,9.50607501321e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2006,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0010627,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2006,10.1021/je100594u,thermoml_viscosity:2006,2,mixture,0.0160935288,7.01730058109e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2007,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0009063,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2007,10.1021/je100594u,thermoml_viscosity:2007,2,mixture,0.0137250072,5.98454833597e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2008,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.000756,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2008,10.1021/je100594u,thermoml_viscosity:2008,2,mixture,0.011448864,4.99207606973e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2009,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0006472,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2009,10.1021/je100594u,thermoml_viscosity:2009,2,mixture,0.0098011968,4.2736397253e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2010,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0005704,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2010,10.1021/je100594u,thermoml_viscosity:2010,2,mixture,0.0086381376,3.76650818806e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2011,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0005413,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2011,10.1021/je100594u,thermoml_viscosity:2011,2,mixture,0.0081974472,3.57435287903e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:6|thermoml_viscosity:2012,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.144,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,6,10.1016/j.tca.2012.05.036,epsilon_observations_v11plus:6,1,pure,0.0005894,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2012,10.1021/je100594u,thermoml_viscosity:2012,2,mixture,0.0089258736,3.89197041733e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:1988,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.003504,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,1988,10.1021/je100594u,thermoml_viscosity:1988,1,pure,0.053113632,0.000231165061354,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:1989,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.003404,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,1989,10.1021/je100594u,thermoml_viscosity:1989,1,pure,0.051597832,0.000224567884945,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:2002,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.003504,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2002,10.1021/je100594u,thermoml_viscosity:2002,2,mixture,0.053113632,0.000231165061354,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:2003,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.0025046,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2003,10.1021/je100594u,thermoml_viscosity:2003,2,mixture,0.0379647268,0.000165232880327,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:2004,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.0018849,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2004,10.1021/je100594u,thermoml_viscosity:2004,2,mixture,0.0285713142,0.000124350178124,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:2005,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.0014396,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2005,10.1021/je100594u,thermoml_viscosity:2005,2,mixture,0.0218214568,9.49729515767e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:2006,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.0010627,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2006,10.1021/je100594u,thermoml_viscosity:2006,2,mixture,0.0161084066,7.01081936931e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
AMQJEAYHLZJPGS-UHFFFAOYSA-N|298.15|epsilon_observations_v11plus:7|thermoml_viscosity:2007,AMQJEAYHLZJPGS-UHFFFAOYSA-N,298.15,abs_dT_le_1e-06_K,0,298.15,298.15,15.158,1,epsilon_observations_v11plus,primary_thermoml_measurement,publishable_core,data/processed/dielectric_observations_v11plus.csv,7,10.1016/j.tca.2012.10.024,epsilon_observations_v11plus:7,1,pure,0.0009063,Pa*s,thermoml_viscosity,primary_thermoml_measurement,publishable_core,data/processed/viscosity_observations_thermoml.csv,2007,10.1021/je100594u,thermoml_viscosity:2007,2,mixture,0.0137376954,5.97902097902e-05,epsilon_observations_v11plus x thermoml_viscosity,publishable_core,true,false
