inchikey,name,smiles,T_K,epsilon,epsilon_unit,uncertainty_expanded,uncertainty_standard,uncertainty_kind,confidence_level,phase,method,property_family,property_name,frequency_mhz,pressure_kpa,source_doi,source_file,source_file_sha256,source_row_index,dataset_number,component_count,in_roster,model_ready,temperature_band,roster_T_K,roster_dielectric,duplicate_observation_count,distinct_values_at_temperature,multiple_values_at_temperature
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,16.55,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,150000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6586,10,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,16.92,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,200000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6587,10,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,17.25,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,250000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6588,10,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,298.15,17.56,,0.04,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,300000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6589,10,1,true,true,room_temperature,298.15,15.736,1,9,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,303.15,14.565,,0.874,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.05.036,data/raw/thermoml/10.1016__j.tca.2012.05.036-7a79b7cbe9e4.xml,091505120540b46017ff02d6fa141167badef247be101460581dbd0dd10bab68,4795,2,1,true,true,room_temperature,298.15,15.736,1,2,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,303.15,14.579,,0.875,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.10.024,data/raw/thermoml/10.1016__j.tca.2012.10.024-875129d55c7d.xml,4ded1ead50f8e637824b9870578c5bf4896cf2e175d951b9b84ba3951bdd7426,5048,2,1,true,true,room_temperature,298.15,15.736,1,2,true
AMQJEAYHLZJPGS-UHFFFAOYSA-N,pentan-1-ol,CCCCCO,308.15,13.998,,0.84,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1016/j.tca.2012.05.036,data/raw/thermoml/10.1016__j.tca.2012.05.036-7a79b7cbe9e4.xml,091505120540b46017ff02d6fa141167badef247be101460581dbd0dd10bab68,4796,2,1,true,true,outside_declared_window,298.15,15.736,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,278.15,7.681,,0.038,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8212,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,280.65,7.603,,0.038,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8213,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,283.15,7.51,,0.038,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8214,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,285.65,7.437,,0.037,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8215,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,288.15,7.372,,0.037,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8216,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,290.65,7.271,,0.036,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8217,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,293.15,7.17,,0.036,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8218,6,1,true,true,room_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,295.65,7.098,,0.035,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8219,6,1,true,true,room_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,298.15,7.021,,0.035,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8220,6,1,true,true,room_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,300.65,6.949,,0.035,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8221,6,1,true,true,room_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,303.15,6.84,,0.034,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8222,6,1,true,true,room_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,305.65,6.739,,0.034,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8223,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,308.15,6.651,,0.033,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8224,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,310.65,6.57,,0.033,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8225,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,313.15,6.479,,0.032,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8226,6,1,true,true,extended_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,315.65,6.399,,0.032,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8227,6,1,true,true,extended_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,318.15,6.308,,0.032,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8228,6,1,true,true,extended_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,320.65,6.215,,0.031,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8229,6,1,true,true,extended_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,323.15,6.113,,0.031,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8230,6,1,true,true,extended_temperature,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,325.65,6.021,,0.03,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8231,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,328.15,5.933,,0.03,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8232,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,330.65,5.844,,0.029,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8233,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,333.15,5.759,,0.029,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8234,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,335.65,5.676,,0.028,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8235,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BAPJBEWLBFYGME-UHFFFAOYSA-N,methyl propenoate,C=CC(=O)OC,338.15,5.596,,0.028,,combined,95,Liquid,capacitive measurement method,zero_frequency,Relative permittivity at zero frequency,0,101.325,10.1021/je301333b,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,8236,6,1,true,true,outside_declared_window,298.15,7.021,1,1,false
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,11.41,,0.02,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,100,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6597,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,11.92,,0.02,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,50000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6598,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,12.32,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,100000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6599,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,12.65,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,150000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6600,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,12.95,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,200000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6601,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,13.21,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,250000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6602,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BBMCTIGTTCKYKF-UHFFFAOYSA-N,heptan-1-ol,CCCCCCCO,298.15,13.45,,0.03,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,300000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6603,14,1,true,true,room_temperature,298.15,12.65,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,288.15,21.87,,0.06,,combined,95,Liquid,OTHER::sMethod:dielectrometer,zero_frequency,Relative permittivity at zero frequency,0,101,10.1021/je800593p,data/raw/thermoml/10.1021__je800593p-d60e4d9358be.xml,e9f3dac230c9ffcd6d5546776eab6dd94af3495c65b63492855e9119e6dd22ce,10026,9,1,true,true,outside_declared_window,298.15,21.3,1,1,false
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,293.15,21.15,,0.06,,combined,95,Liquid,OTHER::sMethod:dielectrometer,zero_frequency,Relative permittivity at zero frequency,0,101,10.1021/je800593p,data/raw/thermoml/10.1021__je800593p-d60e4d9358be.xml,e9f3dac230c9ffcd6d5546776eab6dd94af3495c65b63492855e9119e6dd22ce,10027,9,1,true,true,room_temperature,298.15,21.3,1,1,false
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298,21.3,,2.3,,combined,95,Liquid,PNA-N5227A Microwave Network Analyzer,zero_frequency,Relative permittivity at zero frequency,0,101,10.1016/j.fluid.2013.12.014,data/raw/thermoml/10.1016__j.fluid.2013.12.014-a221979bacde.xml,c4c7a9f8b01fa908b86b9071d19cb60d43e8e3fbb64f5fee0ec358a6dd9a882f,514,4,1,true,true,room_temperature,298.15,21.3,1,1,false
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,20.45,,0.04,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,100,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6569,6,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,20.45,,0.06,,combined,95,Liquid,OTHER::sMethod:dielectrometer,zero_frequency,Relative permittivity at zero frequency,0,101,10.1021/je800593p,data/raw/thermoml/10.1021__je800593p-d60e4d9358be.xml,e9f3dac230c9ffcd6d5546776eab6dd94af3495c65b63492855e9119e6dd22ce,10028,9,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,21.3,,0.04,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,50000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6570,6,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,21.98,,0.04,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,100000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6571,6,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,22.55,,0.05,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,150000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6572,6,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,23.05,,0.05,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,200000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6573,6,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,23.5,,0.05,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,250000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6574,6,1,true,true,room_temperature,298.15,21.3,1,7,true
BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,CCCO,298.15,23.91,,0.05,,combined,95,Liquid,Parallel plate capacitor,zero_frequency,Relative permittivity at zero frequency,0,300000,10.1021/je060248p,data/raw/thermoml/10.1021__je060248p-7b920dacfe19.xml,3528b8f2fbac52cd3d6a4a1958ce7bc7a72f688bb499f26058058a095f2fc5a5,6575,6,1,true,true,room_temperature,298.15,21.3,1,7,true
