representation,repeat,fold,inchikey,name,T_K,hbd,hbond_donor_count,target,prediction,onsager_epsilon,applicability_domain
Physical,0,0,GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",303.15,0,0,9.18,14.4003734589,23.2671758909,inside_domain
Physical,0,0,JSRLURSZEMLAFO-UHFFFAOYSA-N,m-Dibromobenzene,293.15,0,0,4.8,3.98073530197,15.1734627111,inside_domain
Physical,0,0,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,298.15,1,1,4.95,11.243516922,12.2942625019,outside_associated_liquid
Physical,0,0,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,293.15,1,1,6.89,14.2057914734,7.45516883493,outside_associated_liquid
Physical,0,0,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,m-Chlorotoluene,293.15,0,0,5.55,3.44071054459,8.19037794732,inside_domain
Physical,0,0,NPDACUSDTOMAMK-UHFFFAOYSA-N,p-Chlorotoluene,293.15,0,0,6.08,3.44071054459,9.81647562753,inside_domain
Physical,0,0,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",298.15,0,0,2.22,1.78512179852,1.31910733263,inside_domain
Morgan+Physical,0,0,BTANRVKWQNVYAZ-UHFFFAOYSA-N,butan-2-ol,298.15,1,1,16.6,11.0097846985,8.35397764198,outside_associated_liquid
Morgan+Physical,0,0,CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,300.65,2,2,22.12,21.0932426453,10.6262172267,outside_associated_liquid
Morgan+Physical,0,0,DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,298.15,1,1,12.49,12.6373138428,6.90436439321,outside_associated_liquid
Morgan+Physical,0,0,DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,298.15,0,0,3.106,3.3587064743,2.81657790905,inside_domain
Morgan+Physical,0,0,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,298.15,0,0,16.9,19.0940189362,96.6466343683,inside_domain
Morgan+Physical,0,0,IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,298.15,0,0,3.134,19.6062850952,1.5899816096,inside_domain
Morgan+Physical,0,0,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",303.15,2,2,39.84,35.6369171143,15.3073129364,outside_associated_liquid
Morgan+Physical,0,0,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,303.15,3,3,41.17,30.8186988831,13.4501001088,outside_associated_liquid
Morgan+Physical,0,0,SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",298.15,0,0,7.3815,8.31080627441,14.0264717054,inside_domain
Morgan+Physical,0,0,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,298.2,0,0,2.01,6.19671201706,1.10998539605,inside_domain
Morgan+Physical,0,0,UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",303.15,1,1,17.18,24.7570953369,2.86613042866,outside_associated_liquid
Morgan+Physical,0,0,UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",298.15,0,0,12.5,14.6578903198,24.4937811978,inside_domain
Morgan+Physical,0,0,UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,298.15,4,4,31,51.5861129761,11.4536548979,outside_associated_liquid
Morgan+Physical,0,0,VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,298.15,0,0,35,18.032913208,45.7566800107,inside_domain
Morgan+Physical,0,0,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,297.575,0,1,78.87,29.3544120789,40.4474006258,outside_associated_liquid
Morgan+Physical,0,0,YEJRWHAVMIAJKC-UHFFFAOYSA-N,.gamma.-butyrolactone,295.65,0,0,41.99,22.603635788,50.6116986269,inside_domain
Morgan+Physical,0,0,YFMFNYKEUDLDTL-UHFFFAOYSA-N,"1,1,1,2,3,3,3-heptafluoropropane",302.85,0,0,4.1348,6.37960624695,7.17247104625,inside_domain
Morgan+Physical,0,0,YIWUKEYIRIRTPP-UHFFFAOYSA-N,2-ethyl-1-hexanol,298.2,1,1,7.353,13.2304372787,5.01442556827,outside_associated_liquid
Morgan+Physical,0,0,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,"2,5,8,11,14-pentaoxapentadecane",298.15,0,0,7.798,10.4072246552,10.2230813729,inside_domain
Morgan+Physical,0,0,HXDLWJWIAHWIKI-UHFFFAOYSA-N,beta-Hydroxyethyl acetate (Glycol monoacetate),303.15,1,1,13,30.0138053894,9.74097362491,outside_associated_liquid
Morgan+Physical,0,0,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,Diethyl malonate,298.15,0,0,8.03,12.6206045151,9.74006290335,inside_domain
Morgan+Physical,0,0,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methyl acetate,298.15,0,0,6.68,20.0614471436,11.7371732209,inside_domain
Morgan+Physical,0,0,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,298.15,0,0,6.02,9.56196022034,9.7831231174,inside_domain
Morgan+Physical,0,0,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Morpholine,298.15,1,1,7.33,12.2291927338,5.3942637877,outside_associated_liquid
Morgan+Physical,0,0,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,Crotononitrile (bp 108 C),293.15,0,0,36.1,35.9072761536,48.0153469112,inside_domain
Morgan+Physical,0,0,LFSAPCRASZRSKS-UHFFFAOYSA-N,2-Methylcyclohexanone,293.15,0,0,14,14.051486969,15.7212749253,inside_domain
Morgan+Physical,0,0,VGVHNLRUAMRIEW-UHFFFAOYSA-N,4-Methylcyclohexanone,293.15,0,0,12.4,14.6362075806,18.1666231408,inside_domain
Morgan+Physical,0,0,NDVWOBYBJYUSMF-UHFFFAOYSA-N,2-Methylcyclohexanol,293.15,1,1,13.3,11.1251850128,5.23202446322,outside_associated_liquid
Morgan+Physical,0,0,HTSABYAWKQAHBT-UHFFFAOYSA-N,3-Methylcyclohexanol,293.15,1,1,12.3,11.4274206161,4.10543593176,outside_associated_liquid
Morgan+Physical,0,0,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,293.15,0,0,2.1,2.70907354355,1.29861209178,inside_domain
Morgan+Physical,0,0,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,293.15,0,0,1.965,6.53008079529,1.10560773191,inside_domain
Morgan+Physical,0,0,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,298.15,0,0,2.22,5.88180017471,1.24380093714,inside_domain
Morgan+Physical,0,0,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,298.15,0,0,2.062,4.02631235123,1.19258064684,inside_domain
Morgan+Physical,0,0,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,293.15,0,0,1.89,4.28486442566,1.10385792273,inside_domain
Morgan+Physical,0,0,GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",303.15,0,0,9.18,11.0642976761,23.2671758909,inside_domain
Morgan+Physical,0,0,JSRLURSZEMLAFO-UHFFFAOYSA-N,m-Dibromobenzene,293.15,0,0,4.8,5.85447835922,15.1734627111,inside_domain
Morgan+Physical,0,0,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,298.15,1,1,4.95,8.72012710571,12.2942625019,outside_associated_liquid
Morgan+Physical,0,0,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,293.15,1,1,6.89,10.9670066833,7.45516883493,outside_associated_liquid
Morgan+Physical,0,0,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,m-Chlorotoluene,293.15,0,0,5.55,5.1184091568,8.19037794732,inside_domain
Morgan+Physical,0,0,NPDACUSDTOMAMK-UHFFFAOYSA-N,p-Chlorotoluene,293.15,0,0,6.08,5.1184091568,9.81647562753,inside_domain
Morgan+Physical,0,0,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",298.15,0,0,2.22,5.80922794342,1.31910733263,inside_domain
Morgan,0,1,BDERNNFJNOPAEC-UHFFFAOYSA-N,propan-1-ol,298.15,1,1,21.3,14.9324846268,10.28867817,outside_associated_liquid
Morgan,0,1,CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,303.15,2,2,20.59,19.7117385864,3.826071455,outside_associated_liquid
Morgan,0,1,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,298.15,0,0,12.9,19.8758010864,53.1539772418,inside_domain
Morgan,0,1,HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,298.15,1,1,15.71,12.7599611282,6.99300079031,outside_associated_liquid
Morgan,0,1,HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,298.15,0,0,44,14.7829284668,54.0253899274,inside_domain
Morgan,0,1,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,298,0,0,46.05,12.6106510162,39.3405912447,inside_domain
Morgan,0,1,IIRFCWANHMSDCG-UHFFFAOYSA-N,cyclooctanone,300.65,0,0,14.38,14.7829284668,13.5668987419,inside_domain
Morgan,0,1,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,298.15,0,0,30,19.92710495,153.401832604,inside_domain
Morgan,0,1,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,298.15,1,1,23.3,22.9880580902,82.1073071673,outside_associated_liquid
Morgan,0,1,LLEVMYXEJUDBTA-UHFFFAOYSA-N,heptanedinitrile,298.15,0,0,29.71,31.7756080627,22.0308625381,inside_domain
Morgan,0,1,LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,298.15,1,1,18.03,14.8032712936,8.39006069244,outside_associated_liquid
Morgan,0,1,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,303.15,1,1,178.47,9.71994304657,5.9744908461,outside_associated_liquid
Morgan,0,1,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",298.15,0,0,12,6.6251502037,90.2035313888,inside_domain
Morgan,0,1,UCCKRVYTJPMHRO-UHFFFAOYSA-N,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",298.15,0,0,14,13.9505825043,11.4813553141,inside_domain
Morgan,0,1,WYJOVVXUZNRJQY-UHFFFAOYSA-N,2-acetylthiophene,298.15,0,0,29.19,14.6126890182,26.4529603231,inside_domain
Morgan,0,1,WZLFPVPRZGTCKP-UHFFFAOYSA-N,"1,1,1,3,3-pentafluorobutane",298.115,0,0,11.8861,5.80384063721,6.83236100939,inside_domain
Morgan,0,1,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,298.15,0,0,2.02,8.41701507568,1.10684113993,inside_domain
Morgan,0,1,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,triethylene glycol,298.15,2,2,23.07,22.0422420502,12.1409402443,outside_associated_liquid
Morgan,0,1,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,hexan-1-ol,298.15,1,1,14.26,13.1963768005,5.23133673613,outside_associated_liquid
Morgan,0,1,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,298.15,1,1,17.96,18.4199314117,5.2814866108,outside_associated_liquid
Morgan,0,1,GJRQTCIYDGXPES-UHFFFAOYSA-N,Isobutyl acetate,293.15,0,0,5.29,9.15738105774,8.50004501778,inside_domain
Morgan,0,1,NTIZESTWPVYFNL-UHFFFAOYSA-N,4-Methyl-2-pentanone,293.15,0,0,13.11,14.3670854568,14.6513704727,inside_domain
Morgan,0,1,JFDZBHWFFUWGJE-UHFFFAOYSA-N,Benzonitrile,298.15,0,0,25.2,32.2842979431,29.6694423151,inside_domain
Morgan,0,1,DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,293.15,1,1,39.5,18.3738460541,28.7487569677,outside_associated_liquid
Morgan,0,1,FERIUCNNQQJTOY-UHFFFAOYSA-N,Butyric acid,293.15,1,1,2.97,12.5477809906,7.21717286495,outside_associated_liquid
Morgan,0,1,GWYFCOCPABKNJV-UHFFFAOYSA-N,Isovaleric acid,293.15,1,1,2.64,14.9814987183,5.90016995209,outside_associated_liquid
Morgan,0,1,ISPYQTSUDJAMAB-UHFFFAOYSA-N,o-Chlorophenol,298.15,1,1,6.31,10.7346925735,2.71741653544,outside_associated_liquid
Morgan,0,1,QJPJQTDYNZXKQF-UHFFFAOYSA-N,p-Bromoanisole,303.15,0,0,7.06,5.68243741989,27.3339480411,inside_domain
Morgan,0,1,MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-Methyl-2-butanol,298.15,1,1,5.82,8.12010574341,5.55405564062,outside_associated_liquid
Morgan,0,1,POLCUAVZOMRGSN-UHFFFAOYSA-N,Propyl ether,299.15,0,0,3.39,3.92425942421,3.4892418063,inside_domain
Morgan,0,1,WVDDGKGOMKODPV-UHFFFAOYSA-N,Benzyl alcohol,293.15,1,1,13.1,20.0490951538,5.77594569883,outside_associated_liquid
Morgan,0,1,QWVGKYWNOKOFNN-UHFFFAOYSA-N,o-Cresol,298.15,1,1,11.5,8.97327041626,6.74466929489,outside_associated_liquid
Morgan,0,1,UJBOOUHRTQVGRU-UHFFFAOYSA-N,3-Methylcyclohexanone,293.15,0,0,12.4,14.4109554291,17.8915575672,inside_domain
Morgan,0,1,MHNNAWXXUZQSNM-UHFFFAOYSA-N,2-Methyl-1-butene,293.15,0,0,2.197,7.73851394653,1.69384086029,inside_domain
Morgan,0,1,OFBQJSOFQDEBGM-UHFFFAOYSA-N,n-Pentane,293.15,0,0,1.844,3.8893198967,1.1048859414,inside_domain
Morgan,0,1,CYTYCFOTNPOANT-UHFFFAOYSA-N,Tetrachloroethylene,298.15,0,0,2.3,12.3287658691,1.12045182946,inside_domain
Morgan,0,1,UQEAIHBTYFGYIE-UHFFFAOYSA-N,Hexamethyldisiloxane,293.15,0,0,2.17,5.99678087234,1.21737241547,inside_domain
Morgan,0,1,JRGGUPZKKTVKOV-UHFFFAOYSA-N,1-Bromo-3-chlorobenzene,293.15,0,0,4.58,6.65383863449,13.6465698801,inside_domain
Morgan,0,1,WQONPSCCEXUXTQ-UHFFFAOYSA-N,o-Dibromobenzene,293.15,0,0,7.35,6.65383863449,35.3981532236,inside_domain
Morgan,0,1,ZPQOPVIELGIULI-UHFFFAOYSA-N,m-Dichlorobenzene,298.15,0,0,5.04,6.65383863449,4.80631156245,inside_domain
Morgan,0,1,SFPQFQUXAJOWNF-UHFFFAOYSA-N,m-Diiodobenzene,298.15,0,0,4.25,6.65383863449,13.6499299113,inside_domain
