doi,openalex_id,title,publication_year,type,host_venue,openalex_is_oa,unpaywall_is_oa,unpaywall_oa_status,oa_url,oa_host_type,oa_version,license,journal_is_oa,published_date,query_label,matched_known_names,is_new_lead
10.1149/1945-7111/ab6975,https://openalex.org/W3004113068,Enhancement of Bifunctional Effect for LiNO3/glyme Electrolyte by Using Dual Solvent System for Li-O2 Batteries,2020,article,Journal of The Electrochemical Society,True,True,hybrid,https://iopscience.iop.org/article/10.1149/1945-7111/ab6975/pdf,publisher,publishedVersion,cc-by,False,2020-01-29,glymes,,True
10.1021/acs.jpclett.0c00334,https://openalex.org/W3008455388,Ion Pairing and Redissociaton in Low-Permittivity Electrolytes for Multivalent Battery Applications,2020,article,The Journal of Physical Chemistry Letters,True,True,green,https://www.osti.gov/servlets/purl/1630283,repository,submittedVersion,,False,2020-02-20,glymes,,True
10.1016/j.applthermaleng.2020.115862,https://openalex.org/W3047873225,Immersion cooling effect of dielectric liquid and self-rewetting fluid on smooth and porous surface,2020,article,Applied Thermal Engineering,True,True,bronze,https://www.sciencedirect.com/science/article/am/pii/S1359431120333445,publisher,acceptedVersion,,False,2020-08-08,fluorinated_ethers,,True
10.1049/hve.2019.0144,https://openalex.org/W2980723913,Effect of surface modification of electrodes on charge injection and dielectric characteristics of propylene carbonate,2019,article,High Voltage,True,True,gold,https://doi.org/10.1049/hve.2019.0144,publisher,publishedVersion,cc-by,True,2019-10-15,modern_carbonates_and_esters,propylene carbonate,False
10.1016/j.electacta.2019.02.110,https://openalex.org/W2918560666,Ion transport and association study of glyme-based electrolytes with lithium and sodium salts,2019,article,Electrochimica Acta,True,True,bronze,https://doi.org/10.1016/j.electacta.2019.02.110,publisher,acceptedVersion,,False,2019-03-01,glymes,,True
10.1149/2.0461816jes,https://openalex.org/W2904530536,Impact of Trifluoromethylation of Adiponitrile on Aluminum Dissolution Behavior in Dinitrile-Based Electrolytes,2018,article,Journal of The Electrochemical Society,True,True,hybrid,https://iopscience.iop.org/article/10.1149/2.0461816jes/pdf,publisher,publishedVersion,cc-by,False,2018-01-01,dinitriles,,True
10.1088/1361-648x/aab466,https://openalex.org/W2794057705,"Structural, electrical properties and dielectric relaxations in Na + -ion-conducting solid polymer electrolyte",2018,article,Journal of Physics Condensed Matter,True,True,green,https://arxiv.org/pdf/1807.03969,repository,submittedVersion,,False,2018-03-06,dinitriles,,True
10.1016/j.bpj.2017.12.013,https://openalex.org/W2785615704,Structural Impact of Phosphorylation and Dielectric Constant Variation on Synaptotagmin’s IDR,2018,article,Biophysical Journal,True,True,bronze,http://www.cell.com/article/S0006349517350932/pdf,publisher,publishedVersion,,False,2018-02-01,fluorinated_alcohols,,True
10.1063/1.4944394,https://openalex.org/W2202463826,Nonlinear dielectric spectroscopy in a fragile plastic crystal,2016,article,The Journal of Chemical Physics,True,True,green,https://arxiv.org/pdf/1512.06020,repository,submittedVersion,,False,2016-03-21,dinitriles,,True
10.1063/1.4913320,https://openalex.org/W2056189120,Ionic conductivity and dielectric permittivity of PEO-LiClO4 solid polymer electrolyte plasticized with propylene carbonate,2015,article,AIP Advances,True,True,gold,https://aip.scitation.org/doi/pdf/10.1063/1.4913320,publisher,publishedVersion,cc-by,True,2015-02-01,modern_carbonates_and_esters,propylene carbonate,False
10.1021/acs.jpcc.5b09380,https://openalex.org/W2315980277,"Self-Diffusion, Phase Behavior, and Li+ Ion Conduction in Succinonitrile-Based Plastic Cocrystals",2015,article,The Journal of Physical Chemistry C,True,True,hybrid,https://doi.org/10.1021/acs.jpcc.5b09380,publisher,publishedVersion,other-oa,False,2015-11-11,dinitriles,succinonitrile,False
10.1021/acs.jpcb.5b09561,https://openalex.org/W2175349254,Dielectric Relaxation of Ethylene Carbonate and Propylene Carbonate from Molecular Dynamics Simulations,2015,article,The Journal of Physical Chemistry B,True,True,green,https://www.osti.gov/servlets/purl/1238653,repository,submittedVersion,,False,2015-11-24,modern_carbonates_and_esters,ethylene carbonate;propylene carbonate,False
10.1063/1.4867095,https://openalex.org/W2077158079,Supercooled-liquid and plastic-crystalline state in succinonitrile-glutaronitrile mixtures,2014,article,The Journal of Chemical Physics,True,True,bronze,https://aip.scitation.org/doi/pdf/10.1063/1.4867095,publisher,publishedVersion,,False,2014-03-04,dinitriles,glutaronitrile;succinonitrile,False
10.1002/2014wr015291,https://openalex.org/W2159867839,Electrical permittivity and resistivity time lapses of multiphase DNAPLs in a lab test,2014,article,Water Resources Research,True,True,bronze,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015291,publisher,publishedVersion,,False,2014-12-16,fluorinated_ethers,,True
10.1063/1.4794792,https://openalex.org/W2011551589,Interfaces of propylene carbonate,2013,article,The Journal of Chemical Physics,True,True,green,https://arxiv.org/pdf/1212.5304,repository,submittedVersion,,False,2013-03-20,modern_carbonates_and_esters,propylene carbonate,False
10.1063/1.4746022,https://openalex.org/W2017300682,Dielectric spectroscopy and ultrasonic study of propylene carbonate under ultra-high pressures,2012,article,The Journal of Chemical Physics,True,True,green,https://arxiv.org/pdf/1305.3840,repository,publishedVersion,,False,2012-08-23,modern_carbonates_and_esters,propylene carbonate,False
10.1063/1.4740236,https://openalex.org/W2147969853,"Shear and dielectric responses of propylene carbonate, tripropylene glycol, and a mixture of two secondary amides",2012,article,The Journal of Chemical Physics,True,True,bronze,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4740236/14080820/064508_1_online.pdf,publisher,publishedVersion,,False,2012-08-14,modern_carbonates_and_esters,propylene carbonate,False
10.1021/jp302790j,https://openalex.org/W2314021691,Hydrogen-Bonding Effects on the Formation and Lifetimes of Charge-Separated States in Molecular Triads,2012,article,The Journal of Physical Chemistry A,True,True,green,https://edoc.unibas.ch/48169/1/No%2037%20Hankache_JPhysChemA_2012_116_8159.pdf,repository,acceptedVersion,other-oa,False,2012-07-25,fluorinated_alcohols,,True
10.1063/1.2815764,https://openalex.org/W1985666193,"Solvation effect on conformations of 1,2:dimethoxyethane: Charge-dependent nonlinear response in implicit solvent models",2008,article,The Journal of Chemical Physics,True,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/2717614,repository,submittedVersion,,False,2008-01-15,glymes,"1,2-dimethoxyethane",False
10.1529/biophysj.106.098715,https://openalex.org/W2095004561,"2,2,2-Trifluoroethanol Changes the Transition Kinetics and Subunit Interactions in the Small Bacterial Mechanosensitive Channel MscS",2007,article,Biophysical Journal,True,True,bronze,https://doi.org/10.1529/biophysj.106.098715,publisher,publishedVersion,,False,2007-02-03,fluorinated_alcohols,,True
10.1023/b:ijot.0000034239.58332.be,https://openalex.org/W1969411268,"Dielectric Properties in Ternary Mixtures of Ethane-1,2-diol + 1,2-Dimethoxyethane + Water",2004,article,International Journal of Thermophysics,True,True,green,http://hdl.handle.net/11380/613299,repository,submittedVersion,cc-by,False,2004-05-01,glymes,"1,2-dimethoxyethane",False
10.1073/pnas.182199699,https://openalex.org/W2160171025,"Mechanism by which 2,2,2-trifluoroethanol/water mixtures stabilize secondary-structure formation in peptides: A molecular dynamics study",2002,article,Proceedings of the National Academy of Sciences,True,True,green,https://www.ncbi.nlm.nih.gov/pmc/articles/129418,repository,submittedVersion,,False,2002-08-26,fluorinated_alcohols,,True
10.1149/1.1403730,https://openalex.org/W2075070825,"Change of Conductivity with Salt Content, Solvent Composition, and Temperature for Electrolytes of LiPF[sub 6] in Ethylene Carbonate-Ethyl Methyl Carbonate",2001,article,Journal of The Electrochemical Society,True,True,bronze,https://iopscience.iop.org/article/10.1149/1.1403730/pdf,publisher,publishedVersion,,False,2001-01-01,modern_carbonates_and_esters,ethyl methyl carbonate;ethylene carbonate,False
