source_id,inchikey,compound_name,formula,T_K,temperature_c,dielectric_observed,alpha_1e5,alpha_kind,valid_range_C,range_low_c,range_high_c,target_in_valid_range,correctability,implied_dielectric_slope,implied_slope_is_physical,dielectric_at_298_15,delta_epsilon,relative_delta_epsilon,in_frozen_v03
nbs514:p14:003,CYTYCFOTNPOANT-UHFFFAOYSA-N,Tetrachloroethylene,C2Cl4,298.15,25,2.3,200,a,"25,90",25,90,true,already_at_target,-0.002,true,2.3,0,0,true
nbs514:p14:008,BNIXVQGCZULYKV-UHFFFAOYSA-N,Pentachloroethane,C2HCl5,293.15,20,3.73,,,,,,,no_coefficient,,,,,,false
nbs514:p14:009,DTQVDTLACAAQTR-UHFFFAOYSA-N,Trifluoroacetic acid,C2HF3O2,293.15,20,39.5,-50000,a,"0,28",0,28,true,range_covers_target,0.5,false,42,2.5,0.0632911392405,true
nbs514:p14:014,LSTRKXWIZZZYAS-UHFFFAOYSA-N,Bromoacetyl bromide,C2H2Br2O,293.15,20,12.45,,,,,,,no_coefficient,,,,,,false
nbs514:p14:017,KFUSEUYYWQURPO-UPHRSURJSA-N,"cis-1,2-Dichloroethylene",C2H2Cl2,298.15,25,9.2,,,,,,,no_coefficient,,,,,,true
nbs514:p14:018,KFUSEUYYWQURPO-OWOJBTEDSA-N,"trans-1,2-Dichloroethylene",C2H2Cl2,298.15,25,2.14,,,,,,,no_coefficient,,,,,,true
nbs514:p14:020,QPFMBZIOSGYJDE-UHFFFAOYSA-N,"1,1,2,2-Tetrachloroethane",C2H2Cl4,293.15,20,8.2,,,,,,,no_coefficient,,,,,,false
nbs514:p14:021,FXXACINHVKSMDR-UHFFFAOYSA-N,Acetyl bromide,C2H3BrO,293.15,20,16.2,,,,,,,no_coefficient,,,,,,false
nbs514:p15:001,WETWJCDKMRHUPV-UHFFFAOYSA-N,Acetyl chloride,C2H3ClO,295.15,22,15.8,,,,,,,no_coefficient,,,,,,false
nbs514:p15:003,WEVYAHXRMPXWCK-UHFFFAOYSA-N,Acetonitrile,C2H3N,293.15,20,37.5,16000,a,"15,25",15,25,true,range_covers_target,-0.16,true,36.7,-0.8,-0.0213333333333,true
nbs514:p15:006,IBYHHJPAARCAIE-UHFFFAOYSA-N,1-Bromo-2-chloroethane,C2H4BrCl,293.15,20,7.14,140,alpha,"10,90",10,90,true,range_covers_target,-0.0230166405896,true,7.02583929513,-0.114160704866,-0.0159888942389,false
nbs514:p15:007,PAAZPARNPHGIKF-UHFFFAOYSA-N,"1,2-Dibromoethane",C2H4Br2,298.15,25,4.78,600,a,"10,55",10,55,true,already_at_target,-0.006,true,4.78,0,0,false
nbs514:p15:010,WSLDOOZREJYCGB-UHFFFAOYSA-N,"1,2-Dichloroethane",C2H4Cl2,298.15,25,10.36,,,,,,,no_coefficient,,,,,,false
nbs514:p15:012,UQXKXGWGFRWILX-UHFFFAOYSA-N,Ethylene nitrate,C2H4N2O6,293.15,20,28.3,,,,,,,no_coefficient,,,,,,false
nbs514:p15:013,IKHGUXGNUITLKF-UHFFFAOYSA-N,Acetaldehyde,C2H4O,294.15,21,21.1,,,,,,,no_coefficient,,,,,,false
nbs514:p15:014,DUYAAUVXQSMXQP-UHFFFAOYSA-N,Ethanethiolic acid (Thioacetic acid),C2H4OS,293.15,20,13.4,,,,,,,no_coefficient,,,,,,false
nbs514:p15:017,RDHPKYGYEGBMSE-UHFFFAOYSA-N,Bromoethane,C2H5Br,293.15,20,9.39,196,alpha,"-30,30",-30,30,true,range_covers_target,-0.0423776970855,true,9.1804843007,-0.209515699296,-0.0223126410326,false
nbs514:p15:018,SZIFAVKTNFCBPC-UHFFFAOYSA-N,2-Chloroethanol (Ethylene chlorohydrin),C2H5ClO,298.15,25,25.8,,,,,,,no_coefficient,,,,,,false
nbs514:p16:001,HVTICUPFWKNHNG-UHFFFAOYSA-N,Iodoethane,C2H5I,293.15,20,7.82,150,alpha,"-20,70",-20,70,true,range_covers_target,-0.0270093231408,true,7.68611278686,-0.13388721314,-0.017121127,false
nbs514:p16:003,MCSAJNNLRCFZED-UHFFFAOYSA-N,Nitroethane,C2H5NO2,303.15,30,28.04,11400,a,"30,35",30,35,false,range_excludes_target,-0.114,true,28.61,0.57,0.0203281027104,false
nbs514:p16:004,IDNUEBSJWINEMI-UHFFFAOYSA-N,Ethyl nitrate,C2H5NO3,293.15,20,19.4,9000,a,"0,50",0,50,true,range_covers_target,-0.09,true,18.95,-0.45,-0.0231958762887,false
nbs514:p16:008,LCGLNKUTAGEVQW-UHFFFAOYSA-N,Methyl ether,C2H6O,298.15,25,5.02,2380,a,"25,100",25,100,true,already_at_target,-0.0238,true,5.02,0,0,true
nbs514:p16:018,ROSDSFDQCJNGOL-UHFFFAOYSA-N,Dimethylamine,C2H7N,298.15,25,5.26,,,,,,,no_coefficient,,,,,,true
nbs514:p16:019,PIICEJLVQHRZGT-UHFFFAOYSA-N,"1,2-Ethanediamine",C2H8N2,293.15,20,14.2,10000,a,"10,27",10,27,true,range_covers_target,-0.1,true,13.7,-0.5,-0.0352112676056,true
nbs514:p17:001,CSVFWMMPUJDVKH-UHFFFAOYSA-N,"1,1-Dichloro-2-propanone",C3H4Cl2O,293.15,20,14.68,,,,,,,no_coefficient,,,,,,false
nbs514:p17:003,MONMFXREYOKQTI-UHFFFAOYSA-N,alpha-Bromopropionic acid,C3H5BrO2,294.15,21,11,,,,,,,no_coefficient,,,,,,false
nbs514:p17:004,FHCLGDLYRUPKAM-UHFFFAOYSA-N,"1,2,3-Tribromopropane",C3H5Br3,293.15,20,6.45,,,,,,,no_coefficient,,,,,,false
nbs514:p17:006,SUAJWTBTMNHVBZ-UHFFFAOYSA-N,"3-Chloro-1,2-propanediol dinitrate",C3H5ClN2O6,293.15,20,17.5,,,,,,,no_coefficient,,,,,,false
nbs514:p17:008,BRLQWZUYTZBJKN-UHFFFAOYSA-N,"3-Chloro-1,2-epoxypropane (Epichlorohydrin)",C3H5ClO,295.15,22,22.6,,,,,,,no_coefficient,,,,,,false
nbs514:p17:009,RIFGWPKJUGCATF-UHFFFAOYSA-N,Ethyl chloroformate,C3H5ClO2,293.15,20,11,,,,,,,no_coefficient,,,,,,false
nbs514:p17:010,QABLOFMHHSOFRJ-UHFFFAOYSA-N,Methyl chloroacetate,C3H5ClO2,294.15,21,12.9,,,,,,,no_coefficient,,,,,,false
nbs514:p17:014,FVSKHRXBFJPNKK-UHFFFAOYSA-N,Propionitrile,C3H5N,293.15,20,27.2,,,,,,,no_coefficient,,,,,,true
nbs514:p17:016,WFCLYEAZTHWNEH-UHFFFAOYSA-N,Ethyl thiocyanate,C3H5NS,294.15,21,29.3,,,,,,,no_coefficient,,,,,,true
nbs514:p17:017,HBNYJWAFDZLWRS-UHFFFAOYSA-N,Ethyl isothiocyanate,C3H5NS,294.15,21,19.5,,,,,,,no_coefficient,,,,,,true
nbs514:p17:018,SNIOPGDIGTZGOP-UHFFFAOYSA-N,"1,2,3-Propanetriol trinitrate (Nitroglycerin)",C3H5N3O9,293.15,20,19.3,,,,,,,no_coefficient,,,,,,false
nbs514:p17:019,QQONPFPTGQHPMA-UHFFFAOYSA-N,Propene,C3H6,293.15,20,1.875,,,,,,,no_coefficient,,,,,,true
nbs514:p18:001,KNKRKFALVUDBJE-UHFFFAOYSA-N,"1,2-Dichloropropane",C3H6Cl2,299.15,26,8.93,,,,,,,no_coefficient,,,,,,false
nbs514:p18:002,ZEOVXNVKXIPWMS-UHFFFAOYSA-N,"2,2-Dichloropropane",C3H6Cl2,293.15,20,10.19,247,alpha,"-33,20",-33,20,false,range_excludes_target,-0.0579544549811,true,9.90430906304,-0.285690936956,-0.0280364020566,false
nbs514:p18:003,PSXCGTLGGVDWFU-UHFFFAOYSA-N,"1,2-Propanediol dinitrate",C3H6N2O6,293.15,20,26.8,,,,,,,no_coefficient,,,,,,false
nbs514:p18:004,KOSAMXZBGUIISK-UHFFFAOYSA-N,"1,3-Propanediol dinitrate",C3H6N2O6,293.15,20,19,,,,,,,no_coefficient,,,,,,false
nbs514:p18:006,CSCPPACGZOOCGX-UHFFFAOYSA-N,Acetone,C3H6O,298.15,25,20.7,205,alpha,"-60,40",-60,40,true,already_at_target,-0.0977101984212,true,20.7,0,0,true
nbs514:p18:009,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methyl acetate,C3H6O2,298.15,25,6.68,2200,a,"25,40",25,40,true,already_at_target,-0.022,true,6.68,0,0,true
nbs514:p18:011,CYNYIHKIEHGYOZ-UHFFFAOYSA-N,1-Bromopropane,C3H7Br,298.15,25,8.09,3350,a,"1,55",1,55,true,already_at_target,-0.0335,true,8.09,0,0,false
nbs514:p18:012,NAMYKGVDVNBCFQ-UHFFFAOYSA-N,2-Bromopropane,C3H7Br,298.15,25,9.46,4400,a,"1,55",1,55,true,already_at_target,-0.044,true,9.46,0,0,false
nbs514:p18:015,PVWOIHVRPOBWPI-UHFFFAOYSA-N,1-Iodopropane,C3H7I,293.15,20,7,,,,,,,no_coefficient,,,,,,false
nbs514:p18:016,FMKOJHQHASLBPH-UHFFFAOYSA-N,2-Iodopropane,C3H7I,293.15,20,8.19,,,,,,,no_coefficient,,,,,,false
nbs514:p18:017,JSZOAYXJRCEYSX-UHFFFAOYSA-N,1-Nitropropane,C3H7NO2,303.15,30,23.24,10100,a,"30,35",30,35,false,range_excludes_target,-0.101,true,23.745,0.505,0.0217297762478,false
nbs514:p18:018,FGLBSLMDCBOPQK-UHFFFAOYSA-N,2-Nitropropane,C3H7NO2,303.15,30,25.52,10900,a,"30,35",30,35,false,range_excludes_target,-0.109,true,26.065,0.545,0.021355799373,false
nbs514:p19:002,YPFDHNVEDLHUCE-UHFFFAOYSA-N,"1,3-Propanediol",C3H8O2,293.15,20,35,230,alpha,at 20,20,20,false,range_excludes_target,-0.185358099986,true,34.0853724865,-0.914627513498,-0.0261322146714,true
nbs514:p19:003,XNWFRZJHXBZDAG-UHFFFAOYSA-N,2-Methoxyethanol,C3H8O2,303.15,30,16,,,,,,,no_coefficient,,,,,,true
nbs514:p19:008,GETQZCLCWQTVFV-UHFFFAOYSA-N,Trimethylamine,C3H9N,298.15,25,2.44,520,a,"0,25",0,25,true,already_at_target,-0.0052,true,2.44,0,0,true
nbs514:p19:009,RWNKSTSCBHKHTB-UHFFFAOYSA-N,"Hexachloro-1,3-butadiene",C4Cl6,298.15,25,2.55,,,,,,,no_coefficient,,,,,,true
nbs514:p19:010,YLQBMQCUIZJEEH-UHFFFAOYSA-N,Furan,C4H4O,298.15,25,2.95,,,,,,,no_coefficient,,,,,,true
nbs514:p19:014,NKKMVIVFRUYPLQ-NSCUHMNNSA-N,Crotononitrile (bp 108 C),C4H5N,293.15,20,36.1,,,,,,,no_coefficient,,,,,,true
nbs514:p19:017,ANGDWNBGPBMQHW-UHFFFAOYSA-N,Methyl cyanoacetate,C4H5NO2,293.15,20,28.8,,,,,,,no_coefficient,,,,,,false
nbs514:p19:019,IWYBVQLPTCMVFO-UHFFFAOYSA-N,Ethyl dichloroacetate,C4H6Cl2O2,295.15,22,10.3,,,,,,,no_coefficient,,,,,,false
nbs514:p19:020,QYKIQEUNHZKYBP-UHFFFAOYSA-N,Vinyl ether,C4H6O,293.15,20,3.94,,,,,,,no_coefficient,,,,,,false
nbs514:p19:021,WMYNMYVRWWCRPS-UHFFFAOYSA-N,Ethoxyacetylene,C4H6O,298.15,25,8.05,,,,,,,no_coefficient,,,,,,false
nbs514:p20:006,QQKDTTWZXHEGAQ-UHFFFAOYSA-N,Propyl chloroformate,C4H7ClO2,293.15,20,11.2,,,,,,,no_coefficient,,,,,,false
nbs514:p20:007,VEUUMBGHMNQHGO-UHFFFAOYSA-N,Ethyl chloroacetate,C4H7ClO2,294.15,21,11.4,,,,,,,no_coefficient,,,,,,false
nbs514:p20:008,KVNRLNFWIYMESJ-UHFFFAOYSA-N,Butyronitrile,C4H7N,294.15,21,20.3,,,,,,,no_coefficient,,,,,,false
nbs514:p20:009,LRDFRRGEGBBSRN-UHFFFAOYSA-N,Isobutyronitrile,C4H7N,297.15,24,20.4,,,,,,,no_coefficient,,,,,,false
nbs514:p20:010,BXXWFOGWXLJPPA-ZXZARUISSA-N,"meso-2,3-Dibromobutane",C4H8Br2,298.15,25,6.245,,,,,,,no_coefficient,,,,,,false
nbs514:p20:011,BXXWFOGWXLJPPA-UHFFFAOYSA-N,"dl-2,3-Dibromobutane",C4H8Br2,298.15,25,5.758,,,,,,,no_coefficient,,,,,,false
nbs514:p20:013,KJDRSWPQXHESDQ-UHFFFAOYSA-N,"1,4-Dichlorobutane",C4H8Cl2,298.15,25,8.9,3070,a,"1,55",1,55,true,already_at_target,-0.0307,true,8.9,0,0,false
nbs514:p20:014,OQPNDCHKFIHPBY-UHFFFAOYSA-N,"1,2-Dichloro-2-methylpropane",C4H8Cl2,293.15,20,7.22,,,,,,,no_coefficient,,,,,,false
nbs514:p20:015,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,"beta,beta'-Dichlorodiethyl ether",C4H8Cl2O,293.15,20,21.2,,,,,,,no_coefficient,,,,,,false
nbs514:p20:018,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,2-Butanone,C4H8O,293.15,20,18.51,207,alpha,"-60,60",-60,60,true,range_covers_target,-0.0882251596476,true,18.0740890941,-0.435910905929,-0.0235500219302,true
nbs514:p20:019,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,Butyraldehyde,C4H8O,299.15,26,13.4,,,,,,,no_coefficient,,,,,,false
nbs514:p20:020,FERIUCNNQQJTOY-UHFFFAOYSA-N,Butyric acid,C4H8O2,293.15,20,2.97,-230,a,"10,70",10,70,true,range_covers_target,0.0023,false,2.9815,0.0115,0.00387205387205,true
nbs514:p20:022,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,C4H8O2,298.15,25,6.02,1500,a,at 25,25,25,true,already_at_target,-0.015,true,6.02,0,0,true
nbs514:p20:025,HXDLWJWIAHWIKI-UHFFFAOYSA-N,beta-Hydroxyethyl acetate (Glycol monoacetate),C4H8O3,303.15,30,13,,,,,,,no_coefficient,,,,,,true
nbs514:p21:001,MPPPKRYCTPRNTB-UHFFFAOYSA-N,1-Bromobutane,C4H9Br,293.15,20,7.07,150,alpha,"10,90",10,90,true,range_covers_target,-0.0244189149112,true,6.94895363211,-0.12104636789,-0.017121127,false
nbs514:p21:002,HLVFKOKELQSXIQ-UHFFFAOYSA-N,1-Bromo-2-methylpropane,C4H9Br,298.15,25,7.18,2800,a,"1,55",1,55,true,already_at_target,-0.028,true,7.18,0,0,false
nbs514:p21:003,UPSXAPQYNGXVBF-UHFFFAOYSA-N,2-Bromobutane,C4H9Br,298.15,25,8.64,3300,a,"1,55",1,55,true,already_at_target,-0.033,true,8.64,0,0,false
nbs514:p21:004,RKSOPLXZQNSWAS-UHFFFAOYSA-N,2-Bromo-2-methylpropane,C4H9Br,298.15,25,10.15,5200,a,"-15,55",-15,55,true,already_at_target,-0.052,true,10.15,0,0,false
nbs514:p21:005,VFWCMGCRMGJXDK-UHFFFAOYSA-N,1-Chlorobutane,C4H9Cl,293.15,20,7.39,173,alpha,"-10,70",-10,70,true,range_covers_target,-0.0294378596384,true,7.24426682957,-0.145733170426,-0.0197203207613,false
nbs514:p21:006,KMGBZBJJOKUPIA-UHFFFAOYSA-N,1-Iodobutane,C4H9I,293.15,20,6.22,135,alpha,"0,80",0,80,true,range_covers_target,-0.0193348070259,true,6.12407336337,-0.0959266366253,-0.0154222888465,false
nbs514:p21:007,BTUGGGLMQBJCBN-UHFFFAOYSA-N,1-Iodo-2-methylpropane,C4H9I,293.15,20,6.47,,,,,,,no_coefficient,,,,,,false
nbs514:p21:009,ANGGPYSFTXVERY-UHFFFAOYSA-N,2-Iodo-2-methylpropane,C4H9I,293.15,20,8.42,,,,,,,no_coefficient,,,,,,false
nbs514:p21:011,YNAVUWVOSKDBBP-UHFFFAOYSA-N,Morpholine,C4H9NO,298.15,25,7.33,,,,,,,no_coefficient,,,,,,true
nbs514:p21:012,QQHZPQUHCAKSOL-UHFFFAOYSA-N,Butyl nitrate,C4H9NO3,293.15,20,13.1,,,,,,,no_coefficient,,,,,,false
nbs514:p22:002,RTZKZFJDLAIYFH-UHFFFAOYSA-N,Ethyl ether,C4H10O,293.15,20,4.335,2000,a,at 20,20,20,false,range_excludes_target,-0.02,true,4.235,-0.1,-0.0230680507497,true
nbs514:p22:005,WERYXYBDKMZEQL-UHFFFAOYSA-N,"1,4-Butanediol",C4H10O2,303.15,30,30.2,,,,,,,no_coefficient,,,,,,true
nbs514:p22:006,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,"1,1-Dimethoxyethane",C4H10O2,293.15,20,3.49,,,,,,,no_coefficient,,,,,,true
nbs514:p22:007,NVJBFARDFTXOTO-UHFFFAOYSA-N,Ethyl sulfite,C4H10O3S,293.15,20,15.9,,,,,,,no_coefficient,,,,,,true
nbs514:p22:009,WQAQPCDUOCURKW-UHFFFAOYSA-N,1-Butanethiol,C4H10S,298.15,25,4.95,,,,,,,no_coefficient,,,,,,true
nbs514:p22:010,LJSQFQKUNVCTIA-UHFFFAOYSA-N,Ethyl sulfide,C4H10S,298.15,25,5.72,,,,,,,no_coefficient,,,,,,true
nbs514:p22:016,FYOFOKCECDGJBF-UHFFFAOYSA-N,Iron pentacarbonyl,C5FeO5,293.15,20,2.6,,,,,,,no_coefficient,,,,,,true
nbs514:p22:018,JUJWROOIHBZHMG-UHFFFAOYSA-N,Pyridine,C5H5N,298.15,25,12.3,,,,,,,no_coefficient,,,,,,true
nbs514:p23:001,PMJHHCWVYXUKFD-SNAWJCMRSA-N,"1,3-Pentadiene",C5H8,298.15,25,2.32,,,,,,,no_coefficient,,,,,,true
nbs514:p23:002,RRHGJUQNOFWUDK-UHFFFAOYSA-N,"2-Methyl-1,3-butadiene (Isoprene)",C5H8,298.15,25,2.1,240,a,-75 to 25,-75,25,true,already_at_target,-0.0024,true,2.1,0,0,true
nbs514:p23:004,BEPAFCGSDWSTEL-UHFFFAOYSA-N,Dimethyl malonate,C5H8O4,293.15,20,10.3,,,,,,,no_coefficient,,,,,,false
nbs514:p23:008,JEAVBVKAYUCPAQ-UHFFFAOYSA-N,Ethyl alpha-chloropropionate,C5H9ClO2,293.15,20,10.1,,,,,,,no_coefficient,,,,,,false
nbs514:p23:010,RFFFKMOABOFIDF-UHFFFAOYSA-N,Valeronitrile,C5H9N,294.15,21,17.4,,,,,,,no_coefficient,,,,,,false
nbs514:p23:011,QHDRKFYEGYYIIK-UHFFFAOYSA-N,Isovaleronitrile,C5H9N,295.15,22,18,,,,,,,no_coefficient,,,,,,false
nbs514:p23:012,YWAKXRMUMFPDSH-UHFFFAOYSA-N,1-Pentene,C5H10,293.15,20,2.1,,,,,,,no_coefficient,,,,,,true
nbs514:p23:013,MHNNAWXXUZQSNM-UHFFFAOYSA-N,2-Methyl-1-butene,C5H10,293.15,20,2.197,,,,,,,no_coefficient,,,,,,true
nbs514:p23:014,RGSFGYAAUTVSQA-UHFFFAOYSA-N,Cyclopentane,C5H10,293.15,20,1.965,,,,,,,no_coefficient,,,,,,true
nbs514:p23:015,FOTXAJDDGPYIFU-UHFFFAOYSA-N,Ethylcyclopropane,C5H10,293.15,20,1.933,,,,,,,no_coefficient,,,,,,true
nbs514:p23:016,CITMYAPULDSOHG-UHFFFAOYSA-N,"1,2-Dibromopentane",C5H10Br2,298.15,25,4.39,,,,,,,no_coefficient,,,,,,false
nbs514:p23:017,LWBRXRHBXMVUEX-UHFFFAOYSA-N,"dl-erythro-2,3-Dibromopentane",C5H10Br2,298.15,25,5.43,,,,,,,no_coefficient,,,,,,false
nbs514:p23:019,XCIXKGXIYUWCLL-UHFFFAOYSA-N,Cyclopentanol,C5H10O,293.15,20,18,380,alpha,20,20,20,false,range_excludes_target,-0.157496820361,true,17.2294932833,-0.770506716693,-0.0428059287052,true
nbs514:p23:020,XNLICIUVMPYHGG-UHFFFAOYSA-N,2-Pentanone,C5H10O,293.15,20,15.45,195,alpha,-40 to 80,-40,80,true,range_covers_target,-0.0693711323892,true,15.1070088546,-0.3429911454,-0.0222000741359,true
nbs514:p23:021,FDPIMTJIUBPUKL-UHFFFAOYSA-N,3-Pentanone,C5H10O,293.15,20,17,225,alpha,0 to 80,0,80,true,range_covers_target,-0.088073879807,true,16.5652853513,-0.434714648717,-0.0255714499245,true
nbs514:p23:023,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,Valeric acid,C5H10O2,293.15,20,2.66,,,,,,,no_coefficient,,,,,,true
nbs514:p23:024,GWYFCOCPABKNJV-UHFFFAOYSA-N,Isovaleric acid,C5H10O2,293.15,20,2.64,,,,,,,no_coefficient,,,,,,true
nbs514:p24:006,YZWKKMVJZFACSU-UHFFFAOYSA-N,1-Bromopentane,C5H11Br,298.15,25,6.32,152,alpha,-45 to 55,-45,55,true,already_at_target,-0.0221195534373,true,6.32,0,0,false
nbs514:p24:007,YXZFFTJAHVMMLF-UHFFFAOYSA-N,1-Bromo-3-methylbutane,C5H11Br,293.15,20,6.05,2300,a,-18 to 23,-18,23,false,range_excludes_target,-0.023,true,5.935,-0.115,-0.0190082644628,false
nbs514:p24:009,CZHLPWNZCJEPJB-UHFFFAOYSA-N,1-Chloro-3-methylbutane,C5H11Cl,293.15,20,6.05,160,alpha,-40 to 23,-40,23,false,range_excludes_target,-0.0222890237002,true,5.93957505527,-0.110424944729,-0.01825205698,false
nbs514:p24:011,OEPRBXUJOQLYID-UHFFFAOYSA-N,1-Fluoropentane,C5H11F,293.15,20,4.24,,,,,,,no_coefficient,,,,,,true
nbs514:p24:012,HLLCNVLEVVFTJB-UHFFFAOYSA-N,2-Fluoro-2-methylbutane,C5H11F,293.15,20,5.89,,,,,,,no_coefficient,,,,,,true
nbs514:p24:013,BLXSFCHWMBESKV-UHFFFAOYSA-N,1-Iodopentane,C5H11I,293.15,20,5.81,,,,,,,no_coefficient,,,,,,false
nbs514:p24:015,VRQDQJYBWZERBW-UHFFFAOYSA-N,3-Iodopentane,C5H11I,293.15,20,7.43,,,,,,,no_coefficient,,,,,,false
nbs514:p24:016,NWRZTQFWFPLHHX-UHFFFAOYSA-N,2-Iodo-2-methylbutane,C5H11I,293.15,20,8.19,,,,,,,no_coefficient,,,,,,false
nbs514:p24:020,OFBQJSOFQDEBGM-UHFFFAOYSA-N,n-Pentane,C5H12,293.15,20,1.844,160,a,-50 to 30,-50,30,true,range_covers_target,-0.0016,true,1.836,-0.008,-0.00433839479393,true
nbs514:p24:021,QWTDNUCVQCZILF-UHFFFAOYSA-N,2-Methylbutane,C5H12,293.15,20,1.843,,,,,,,no_coefficient,,,,,,true
nbs514:p25:002,PHTQWCKDNZKARW-UHFFFAOYSA-N,3-Methyl-1-butanol,C5H12O,298.15,25,14.7,,,,,,,no_coefficient,,,,,,true
nbs514:p25:003,MSXVEPNJUHWQHW-UHFFFAOYSA-N,2-Methyl-2-butanol,C5H12O,298.15,25,5.82,,,,,,,no_coefficient,,,,,,true
nbs514:p25:004,HEBKCHPVOIAQTA-NGQZWQHPSA-N,Xylitol,C5H12O5,293.15,20,40,,,,,,,no_coefficient,,,,,,true
nbs514:p25:005,ZRKMQKLGEQPLNS-UHFFFAOYSA-N,1-Pentanethiol,C5H12S,298.15,25,4.55,,,,,,,no_coefficient,,,,,,true
nbs514:p25:007,QBELEDRHMPMKHP-UHFFFAOYSA-N,1-Bromo-2-chlorobenzene,C6H4BrCl,293.15,20,6.8,,,,,,,no_coefficient,,,,,,true
nbs514:p25:008,JRGGUPZKKTVKOV-UHFFFAOYSA-N,1-Bromo-3-chlorobenzene,C6H4BrCl,293.15,20,4.58,,,,,,,no_coefficient,,,,,,true
nbs514:p25:009,WQONPSCCEXUXTQ-UHFFFAOYSA-N,o-Dibromobenzene,C6H4Br2,293.15,20,7.35,,,,,,,no_coefficient,,,,,,true
nbs514:p25:010,JSRLURSZEMLAFO-UHFFFAOYSA-N,m-Dibromobenzene,C6H4Br2,293.15,20,4.8,,,,,,,no_coefficient,,,,,,true
nbs514:p25:011,RFFLAFLAYFXFSW-UHFFFAOYSA-N,o-Dichlorobenzene,C6H4Cl2,298.15,25,9.93,194,alpha,0 to 50,0,50,true,already_at_target,-0.0443574597485,true,9.93,0,0,true
nbs514:p25:012,ZPQOPVIELGIULI-UHFFFAOYSA-N,m-Dichlorobenzene,C6H4Cl2,298.15,25,5.04,120,alpha,0 to 50,0,50,true,already_at_target,-0.0139260346424,true,5.04,0,0,true
nbs514:p25:014,SFPQFQUXAJOWNF-UHFFFAOYSA-N,m-Diiodobenzene,C6H4I2,298.15,25,4.25,,,,,,,no_coefficient,,,,,,true
nbs514:p25:015,QARVLSVVCXYDNA-UHFFFAOYSA-N,Bromobenzene,C6H5Br,298.15,25,5.4,115,alpha,0 to 70,0,70,true,already_at_target,-0.0142990534275,true,5.4,0,0,true
nbs514:p26:002,MVPPADPHJFYWMZ-UHFFFAOYSA-N,Chlorobenzene,C6H5Cl,298.15,25,5.621,,,,,,,no_coefficient,,,,,,true
