inchikey,smiles,name,T_K,dielectric,uncertainty_value,uncertainty_kind,confidence_level,source_doi,source_url,source_citation,source_table,source_quality,redistribution_status,source_license,license_url,redistribution_conditions,evidence_level,temperature_source,model_ready,conflict_status,notes
UUIQMZJEGPQKFD-UHFFFAOYSA-N,CCCC(=O)OC,methyl butyrate,298.15,5.48,,not_reported,,10.1002/smll.202504276,https://pmc.ncbi.nlm.nih.gov/articles/PMC12393036/,Senthil et al. (2025) Small 21 e202504276,Table 2,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
GOYDNIKZWGIXJT-UHFFFAOYSA-N,Fc1ccccc1F,"1,2-difluorobenzene",298.15,7.1,,not_reported,,10.1039/d5sc06221g,https://pmc.ncbi.nlm.nih.gov/articles/PMC12558406/,Karbak et al. (2025) Chemical Science 16 19398,Table 1,open_access_review_table,allowed,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
DLRJIFUOBPOJNS-UHFFFAOYSA-N,CCOc1ccccc1,ethoxybenzene,298.15,4.2,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
SECXISVLQFMRJM-UHFFFAOYSA-N,CN1CCCC1=O,N-methylpyrrolidone,298.15,32.2,,not_reported,,10.1016/j.isci.2026.115778,https://pmc.ncbi.nlm.nih.gov/articles/PMC13156642/,Sun et al. (2026) iScience 29 115778,Table 3,open_access_review_table,allowed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,allowed_noncommercial,open_access_review_table,review_table_standard_room_temperature,true,,
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,"1,2-dichloroethane",298.15,10.7,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
ZNSMNVMLTJELDZ-UHFFFAOYSA-N,ClCCOCCCl,"2,2'-dichlorodiethyl ether",298.15,20.79,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
KNKRKFALVUDBJE-UHFFFAOYSA-N,CC(Cl)CCl,"1,2-dichloropropane",298.15,9.0,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
YHRUOJUYPBUZOS-UHFFFAOYSA-N,ClCCCCl,"1,3-dichloropropane",298.15,9.5,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
KJDRSWPQXHESDQ-UHFFFAOYSA-N,ClCCCCCl,"1,4-dichlorobutane",298.15,9.65,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,dichloromethane,298.15,9.1,,not_reported,,10.1002/adma.73388,https://pmc.ncbi.nlm.nih.gov/articles/PMC13327153/,Cui et al. (2026) Advanced Materials e73388,Table 1,open_access_review_table,allowed,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,allowed_with_attribution,open_access_review_table,review_table_standard_room_temperature,true,,
DQWPFSLDHJDLRL-UHFFFAOYSA-N,CCOP(=O)(OCC)OCC,triethyl phosphate,298.15,13,,not_reported,,10.1016/j.isci.2026.115778,https://pmc.ncbi.nlm.nih.gov/articles/PMC13156642/,Sun et al. (2026) iScience 29 115778,Table 3,open_access_review_table,allowed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,allowed_noncommercial,open_access_review_table,review_table_standard_room_temperature,false,public_values_10_13,
WVLBCYQITXONBZ-UHFFFAOYSA-N,COP(=O)(OC)OC,trimethyl phosphate,298.15,21.6,,not_reported,,10.1016/j.isci.2026.115778,https://pmc.ncbi.nlm.nih.gov/articles/PMC13156642/,Sun et al. (2026) iScience 29 115778,Table 3,open_access_review_table,allowed,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,allowed_noncommercial,open_access_review_table,review_table_standard_room_temperature,false,public_values_10_21.6,
SBLRHMKNNHXPHG-UHFFFAOYSA-N,O=C1OCC(F)O1,fluoroethylene carbonate,296.15,78.4,,not_reported,,10.1016/S0022-1139(02)00317-2,https://doi.org/10.1016/S0022-1139(02)00317-2,Kobayashi et al. (2003) J. Fluorine Chem. 120(2) 105-110,Table 2,primary_experimental,allowed,,,,primary,reported,false,primary_78.4_landed_107_leg_read_in_ue2014_compilation_plus_40C_temp_conflict,"Dielectric constant 78.4 measured by the authors themselves at 23 C (296.15 K); Kobayashi, Inoguchi, Iida, Tanioka, Kumase & Fukai, J. Fluorine Chem. 2003, 120(2), 105-110, Table 2 third data row, marked 'Our data' with footnote e 'At 23 C.' T_K revised 298.15 -> 296.15 because the source states 23 C. The previously stored 102 was the flash point, not a permittivity. The competing 107 leg is now read at compilation level: Ue, Sasaki, Tanaka & Morita 2014, Chapter 2 of Electrolytes for Lithium and Lithium-Ion Batteries (Springer, DOI 10.1007/978-1-4939-0302-3_2), Table 2.3 on printed page 101 lists FEC with eps_r 107, and that chapter body text on printed page 105 attributes the FEC relative-permittivity data to its reference [25], Hagiyama et al. 2008, Chem. Lett. 37, 210-211. Table 2.3 is itself a compilation attributed on printed page 100 to two Sasaki reviews (refs [4] and [5]) and carries no per-row footnote for FEC, so 107 is a compilation value relaying the Hagiyama line rather than an independent primary measurement. Hagiyama 2008 remains unread (OUP 403 / J-STAGE 404), so the row stays model_ready=false and no average is taken. Temperature-attribution conflict (recorded, no re-assignment): Nanbu, Suzuki, Yagi, Sugahara, Takehara, Ue & Sasaki 2007, Electrochemistry 75(8) 607-610, printed page 608, restates this same Kobayashi measurement as 'the relative permittivity of FEC (78.4 at 40 C)' and restates the FEC viscosity as '4.1 mPa s at 40 C', citing its own reference 4, which is Kobayashi 2003; the primary Table 2 footnote carries the superscript 'e' on both the 4.1 and the 78.4 entries and reads 'At 23 C.', re-verified visually at 600 dpi on printed page 108 (PDF page 4), so the primary governs, T_K stays 296.15 K and the 40 C restatement is logged as a downstream citation conflict, not an independent measurement. Temperature of the competing leg (both sources open access, held locally): Nambu, Takahashi, Takehara, Ue & Sasaki 2013, Electrochemistry 81(10) 817-819, printed page 817, states 'The relative permittivity of FEC (about 107 at 25 C)'; Nambu, Kobayashi, Kobayashi, Takahashi & Sasaki 2013, Electrochemistry 81(10) 820-822, printed page 820, states 'was comparable with that of FEC (about 107 at 25 C)'; both attribute the number to the same item, Hagiyama et al. 2008, Chem. Lett. 37, 210-211. The two legs therefore sit at near-identical temperatures (23 C for 78.4 versus 25 C for the 107 claim) and remain an unreconciled value conflict rather than a temperature-resolvable pair. Still no average and still no promotion."
OOWFYDWAMOKVSF-UHFFFAOYSA-N,COCCC#N,3-methoxypropionitrile,298.15,36.0,,not_reported,,10.1016/j.electacta.2013.01.084,https://advanced.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2Fadfm.202212342&file=adfm202212342-sup-0001-SuppMat.pdf,"Perricone et al. (2013) Electrochim. Acta 93, 1",Table S3,secondary_compilation_publisher_si,allowed,,,,secondary_compilation_unverified,review_table_standard_room_temperature,false,awaiting_primary_confirmation,"Value 36.00 at 25 C was read from the ECW-308 battery-solvent compilation (Wang et al. 2023, Adv. Funct. Mater., DOI 10.1002/adfm.202212342, Table S3, rows 43 and 51), which cites Perricone et al. (2013) Electrochim. Acta 93, 1 (DOI 10.1016/j.electacta.2013.01.084). The cited primary paper is closed access and could not be retrieved, and no second independent source was found, so the value is recorded as a secondary compilation and the row is deliberately held out of the model-ready set pending primary confirmation. The publisher supplementary file itself is not redistributable; only the numeric fact is recorded."
