inchikey,name,smiles,T_K,dielectric,formal_charge,heavy_atom_count,hbd,hba,tpsa_A2,molecular_volume_A3,molar_volume_m3_mol,dipole_D,polarizability_au,polarizability_A3,mu_sq_over_Vm,alpha_over_Vm,total_energy_hartree,homo_lumo_gap_ev,xtb_seconds,xtb_version,status,error,density_kg_m3,density_temperature_K,density_delta_T_K,density_source_doi,density_source_file,experimental_molar_volume_m3_mol,molar_volume_source,mu_sq_over_Vm_experimental
BTGRAWJCKBQKAO-UHFFFAOYSA-N,hexanedinitrile,N#CCCCCC#N,298.15,32.12,0,8,0,2,47.58,114.6,6.9013733e-05,5.68,77.141752,11.431231,467477.97,0.099748959,-22.6900588211,5.6436,0.1926835,6.7.1pre,ok,,,,,,,,xtb_estimated,
BTNXBLUGMAMSSH-UHFFFAOYSA-N,octanedinitrile,N#CCCCCCCC#N,298.15,25.94,0,10,0,2,47.58,147.784,8.8997605e-05,4.417,100.41173,14.879487,219218.14,0.10068402,-29.0174417296,5.6162,0.3663875,6.7.1pre,ok,,,,,,,,xtb_estimated,
CBTVGIZVANVGBH-UHFFFAOYSA-N,2-amino-2-methylpropan-1-ol,CC(C)(N)CO,303.15,20.59,0,6,2,2,46.25,99.52,5.9932345e-05,1.391,65.323285,9.6799142,32284.42,0.097266019,-21.1468988854,10.3523,0.2005986,6.7.1pre,ok,,,,,,,,xtb_estimated,
CGZZMOTZOONQIA-UHFFFAOYSA-N,cycloheptanone,O=C1CCCCCC1,298.15,12.92,0,8,0,1,17.07,120.52,7.257884e-05,3.269,83.02488,12.303021,147237.97,0.10208281,-25.1717347899,3.657,0.2975245,6.7.1pre,ok,,,,,,,,xtb_estimated,
CQEYYJKEWSMYFG-UHFFFAOYSA-N,butyl 2-propenoate,C=CC(=O)OCCCC,298.15,5.31,0,9,0,2,26.3,134.36,8.0913483e-05,2.595,92.378126,13.689029,83225.004,0.10188322,-29.2160082782,3.5839,0.9383926,6.7.1pre,ok,,894.095,298.15,0,10.1021/je301333b,10.1021__je301333b-44cb9c59a180.xml,0.000143352775712,thermoml_experimental_density,46975.1978402
CRVGTESFCCXCTH-UHFFFAOYSA-N,N-methyldiethanolamine,CN(CCO)CCO,300.65,22.12,0,8,2,3,43.7,125.016,7.5286395e-05,2.783,82.31282,12.197504,102875.01,0.097567544,-28.3660574979,9.3236,0.5096059,6.7.1pre,ok,,1037.9,298.15,2.5,10.1016/j.tca.2012.10.004,10.1016__j.tca.2012.10.004-2df5b3cc585c.xml,0.00011481260237,thermoml_experimental_density,67458.5266784
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2-methylpropan-2-ol,CC(C)(C)O,298.15,12.49,0,5,1,1,20.23,86.928,5.2349265e-05,1.829,56.147722,8.3202358,63902.349,0.095714105,-17.7306293713,11.8654,0.1697672,6.7.1pre,ok,,,,,,,,xtb_estimated,
DNIAPMSPPWPWGF-UHFFFAOYSA-N,"1,2-propanediol",CC(O)CO,303.15,27.87,0,5,2,2,40.46,79.072,4.7618271e-05,2.758,49.395619,7.3196771,159740.45,0.092569773,-18.6176031987,11.1976,0.1994424,6.7.1pre,ok,,1028.87,303.15,0,10.1016/j.fluid.2017.07.006,10.1016__j.fluid.2017.07.006-e9ea848aa20b.xml,7.39597811191e-05,thermoml_experimental_density,102847.302749
DURPTKYDGMDSBL-UHFFFAOYSA-N,dibutyl ether,CCCCOCCCC,298.15,3.106,0,9,0,1,9.23,154.368,9.2962582e-05,1.392,103.4459,15.329104,20843.483,0.099302344,-30.3745368447,10.8532,0.4831621,6.7.1pre,ok,,764.11,298.15,0,10.1016/j.jct.2015.03.021,10.1016__j.jct.2015.03.021-baf780968794.xml,0.00017043488503,thermoml_experimental_density,11368.9401067
FRZPYEHDSAQGAS-UHFFFAOYSA-M,1-butyl-3-methylimidazolium trifluoromethanesulfonate,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,298.15,12.9,0,18,0,3,66.01,231.68,0.00013952096,8.625,162.3657,24.060119,533186.03,0.10385065,-58.9296744202,0.5544,3.8470754,6.7.1pre,ok,,,,,,,,xtb_estimated,
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylethanamide",CC(=O)N(C)C,303.15,37.72,0,6,0,1,20.31,92.984,5.5996274e-05,4.499,62.519057,9.2643704,361470.5,0.099634027,-20.1507869565,4.7588,0.2130059,6.7.1pre,ok,,936.274,298.15,5,10.1007/s10765-008-0395-z,10.1007__s10765-008-0395-z-6bf8687d669d.xml,9.30518203005e-05,thermoml_experimental_density,217523.966051
FYIRUPZTYPILDH-UHFFFAOYSA-N,"1,1,1,2,3,3-hexafluoropropane",FC(F)C(F)C(F)(F)F,302.85,5.3105,0,9,0,0,0,93.248,5.6155258e-05,2.818,46.909128,6.9512171,141413.72,0.074545482,-35.8249697442,11.1268,0.2580419,6.7.1pre,ok,,,,,,,,xtb_estimated,
GRYUVYIMDGRRLN-UHFFFAOYSA-N,"1-butyl-2,3,4,5-tetramethylimidazolium bis(trifluoromethylsulfonyl)imide",CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,15,0,28,0,4,91.19,361.016,0.00021740892,6.342,249.62067,36.989975,185001.45,0.10246076,-74.1852601657,0.4019,27.276121,6.7.1pre,ok,,,,,,,,xtb_estimated,
GSEJCLTVZPLZKY-UHFFFAOYSA-N,triethanolamine,OCCN(CCO)CCO,303.15,28.11,0,10,3,4,63.93,150.184,9.0442919e-05,2.717,98.596621,14.610515,81621.525,0.097284098,-35.5816749774,9.0242,0.6462152,6.7.1pre,ok,,,,,,,,xtb_estimated,
HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,OC1CCCCC1,298.15,15.71,0,7,1,1,20.23,109.376,6.5867767e-05,2.062,74.444378,11.031521,64551.209,0.1008587,-23.0481678004,11.708,0.1856477,6.7.1pre,ok,,,,,,,,xtb_estimated,
HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,298.15,16.9,0,17,0,4,67.4,237.128,0.00014280182,11.775,173.90873,25.770621,970930.38,0.1086781,-43.3771652125,0.0747,3.0808226,6.7.1pre,ok,,,,,,,,xtb_estimated,
HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,O=S1(=O)CCCC1,298.15,44,0,7,0,2,34.14,102.2,6.1546279e-05,5.763,75.973445,11.258105,539629.2,0.11015759,-24.0100145105,7.2639,0.2255591,6.7.1pre,ok,,1266.5,298.15,0,10.1016/j.tca.2012.10.004,10.1016__j.tca.2012.10.004-2df5b3cc585c.xml,9.48859060403e-05,thermoml_experimental_density,350022.151719
HZAXFHJVJLSVMW-UHFFFAOYSA-N,2-aminoethan-1-ol,NCCO,303.15,31.46,0,4,2,2,46.25,65.576,3.949079e-05,3.18,42.28692,6.2662764,256069.83,0.095557466,-14.8114862088,10.8365,0.1451141,6.7.1pre,ok,,,,,,,,xtb_estimated,
HZKDSQCZNUUQIF-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium hydrogen sulfate,CCn1cc[n+](C)c1.O=S(=O)([O-])O,298.15,18.4,0,13,1,3,86.24,173.192,0.00010429866,3.924,125.37712,18.578976,147631.58,0.10727387,-37.3368738497,1.7802,1.3625857,6.7.1pre,ok,,,,,,,,xtb_estimated,
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,CS(C)=O,298,46.05,0,4,0,1,17.07,72.008,4.3364231e-05,4.12,53.024297,7.8573918,391437.82,0.10911832,-14.6183927401,5.165,0.1536216,6.7.1pre,ok,,1095.271,298.15,0.15,10.1007/s10765-008-0395-z,10.1007__s10765-008-0395-z-6bf8687d669d.xml,7.1339421933e-05,thermoml_experimental_density,237938.569448
IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,COC(=O)OC,298.15,3.134,0,6,0,3,35.53,82.048,4.9410461e-05,0.579,51.511859,7.6332716,6784.8184,0.093034219,-21.6975917766,5.8967,0.1588516,6.7.1pre,ok,,1063.26,298.15,0,10.1016/j.jct.2003.11.007,10.1016__j.jct.2003.11.007-fabdd7df1992.xml,8.47186953332e-05,thermoml_experimental_density,3957.10768068
IIRFCWANHMSDCG-UHFFFAOYSA-N,cyclooctanone,O=C1CCCCCCC1,300.65,14.38,0,9,0,1,17.07,136.448,8.2170906e-05,3.302,94.611223,14.01994,132689.35,0.10274932,-28.3364908025,3.6889,0.2701397,6.7.1pre,ok,,,,,,,,xtb_estimated,
IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,CCCCCCC,298.15,1.93,0,7,0,0,0,128.656,7.7478454e-05,0.053,86.827902,12.86657,36.255241,0.10000754,-23.1529042749,13.1166,0.2637769,6.7.1pre,ok,,679.58,298.15,0,10.1016/j.jct.2010.09.008,10.1016__j.jct.2010.09.008-f6e26363bf46.xml,0.000147451367021,thermoml_experimental_density,19.0503489846
JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,O=C1CCCCC1,298.15,15.79,0,7,0,1,17.07,103.68,6.2437555e-05,3.477,71.278747,10.562423,193625.92,0.10187522,-22.0127385818,3.7295,0.198519,6.7.1pre,ok,,942.47,298.15,0,10.1021/acs.jced.8b00755,10.1021__acs.jced.8b00755-5753d3b1904a.xml,0.000104135940667,thermoml_experimental_density,116093.722519
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,ethyl propenoate,C=CC(=O)OCC,298.15,6.209,0,7,0,2,26.3,101.072,6.0866981e-05,2.856,69.046941,10.231703,134009.21,0.10123183,-22.8881412835,3.5889,0.2004727,6.7.1pre,ok,,916.121,298.15,0,10.1021/je301333b,10.1021__je301333b-44cb9c59a180.xml,0.000109283599001,thermoml_experimental_density,74638.2446643
JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,CCCCS(=O)(=O)[O-].CCn1cc[n+](C)c1,298.15,30,0,16,0,3,66.01,226.28,0.000136269,14.5,168.17643,24.921182,1542904.1,0.11013427,-43.5332766927,0.9844,2.4826561,6.7.1pre,ok,,,,,,,,xtb_estimated,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,octan-1-ol,CCCCCCCCO,298.15,10.66,0,9,1,1,20.23,153.672,9.2543441e-05,1.823,103.09964,15.277793,35911.016,0.099418196,-30.3763276427,12.1408,0.437251,6.7.1pre,ok,,821.694,298.15,0,10.1021/je050116g,10.1021__je050116g-fa71e9de8a9a.xml,0.000158490873732,thermoml_experimental_density,20968.5827439
KFZMGEQAYNKOFK-UHFFFAOYSA-N,propan-2-ol,CC(C)O,299.15,18.845,0,4,1,1,20.23,70.4,4.2395871e-05,2.02,44.591527,6.607784,96245.222,0.093860568,-14.5627291447,12.2812,0.1138484,6.7.1pre,ok,,780.804,298.15,1,10.1016/j.jct.2007.04.006,10.1016__j.jct.2007.04.006-eebe756c5ebc.xml,7.69668188175e-05,thermoml_experimental_density,53015.0532748
KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,298.15,23.3,0,14,1,1,29.04,173.68,0.00010459254,9.333,109.49675,16.225747,832802.11,0.093423234,-41.1818690542,1.5381,2.6236182,6.7.1pre,ok,,,,,,,,xtb_estimated,
LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,298.15,18,0,15,0,2,61.68,212.304,0.00012785246,12.233,151.48103,22.447177,1170460.8,0.1057313,-44.30943108,0.1609,2.4626455,6.7.1pre,ok,,,,,,,,xtb_estimated,
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,CCO,298.15,25.02,0,3,1,1,20.23,53.792,3.23943e-05,1.721,33.162154,4.9141253,91430.932,0.091354203,-11.391281591,12.2958,0.1106352,6.7.1pre,ok,,785.125,298.15,0,10.1016/j.jct.2007.04.006,10.1016__j.jct.2007.04.006-eebe756c5ebc.xml,5.86772806878e-05,thermoml_experimental_density,50476.7938337
LLEVMYXEJUDBTA-UHFFFAOYSA-N,heptanedinitrile,N#CCCCCCC#N,298.15,29.71,0,9,0,2,47.58,131.408,7.9135747e-05,4.154,88.787522,13.156956,218052.1,0.10012295,-25.8562862464,5.6338,0.2128856,6.7.1pre,ok,,,,,,,,xtb_estimated,
LRHPLDYGYMQRHN-UHFFFAOYSA-N,butan-1-ol,CCCCO,298.15,18.03,0,5,1,1,20.23,87.488,5.2686505e-05,2.043,56.391301,8.3563304,79220.457,0.095514018,-17.7209084112,12.0129,0.1703807,6.7.1pre,ok,,805.767,298.15,0,10.1021/je050116g,10.1021__je050116g-fa71e9de8a9a.xml,9.19906126709e-05,thermoml_experimental_density,45372.5535553
LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,298.15,13.9,0,15,0,0,8.81,199.16,0.00011993696,13.153,129.50687,19.190942,1442436.2,0.096359419,-42.2739715335,0.1646,3.6547231,6.7.1pre,ok,,1366.657,298.15,0,10.1007/s10765-008-0395-z,10.1007__s10765-008-0395-z-6bf8687d669d.xml,0.000165386047853,thermoml_experimental_density,1046045.9709
LVTYICIALWPMFW-UHFFFAOYSA-N,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,CC(O)CNCC(C)O,303.15,13.87,0,9,3,3,52.49,141.344,8.5119346e-05,4.309,93.613379,13.872075,218134.68,0.098144063,-31.5306282564,9.7796,0.5957905,6.7.1pre,ok,,,,,,,,xtb_estimated,
LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",OCCO,303.15,39.84,0,4,2,2,40.46,62.512,3.7645606e-05,2.402,37.814829,5.6035807,153261.02,0.089640081,-15.450834837,11.47,0.1251055,6.7.1pre,ok,,1106.54,303.15,0,10.1016/j.fluid.2007.09.009,10.1016__j.fluid.2007.09.009-26ff4749ff64.xml,5.6091962333e-05,thermoml_experimental_density,102859.728204
LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,O=[N+]([O-])[O-].[NH3+]CCO,298.15,60.9,0,8,2,4,114.07,106.416,6.4085213e-05,3.639,67.93685,10.067205,206636.14,0.094602359,-9.85899570109,0.1308,1.847682,6.7.1pre,ok,,,,,,,,xtb_estimated,
MCTWTZJPVLRJOU-UHFFFAOYSA-N,1-methylimidazole,Cn1ccnc1,298,39.78,0,6,0,1,17.82,81.08,4.8827517e-05,4.299,61.512716,9.115246,378503.8,0.11242287,-17.4680921135,4.671,0.1394107,6.7.1pre,ok,,,,,,,,xtb_estimated,
MTHSVFCYNBDYFN-UHFFFAOYSA-N,diethylene glycol,OCCOCCO,298.15,30.95,0,7,2,3,49.69,105.208,6.3357739e-05,2.69,66.113465,9.7970068,114210.2,0.09312036,-25.8271572701,10.5139,0.2374276,6.7.1pre,ok,,1113.03,298.15,0,10.1016/j.jct.2007.09.004,10.1016__j.jct.2007.09.004-506d4cdbace7.xml,9.53442404967e-05,thermoml_experimental_density,75894.4637065
MWKFXSUHUHTGQN-UHFFFAOYSA-N,decan-1-ol,CCCCCCCCCCO,298.15,7.74,0,11,1,1,20.23,187.488,0.00011290791,1.721,126.4458,18.737339,26232.36,0.099938869,-36.7017110998,11.8458,0.373323,6.7.1pre,ok,,826.421,298.15,0,10.1021/je050116g,10.1021__je050116g-fa71e9de8a9a.xml,0.000191530708924,thermoml_experimental_density,15464.0528228
NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,CC(O)C(=O)O.NCCO,298.15,85.6,0,10,4,4,103.78,145.24,8.7465572e-05,2.178,95.955067,14.219077,54234.871,0.097900557,-21.2135915835,0.2586,1.2583187,6.7.1pre,ok,,,,,,,,xtb_estimated,
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,CN=C(C)O,303.15,178.47,0,5,1,1,32.59,76.536,4.6091057e-05,1.593,50.974816,7.55369,55057.297,0.098694601,-16.9695927638,4.3411,0.1316647,6.7.1pre,ok,,,,,,,,xtb_estimated,
OIFBSDVPJOWBCH-UHFFFAOYSA-N,diethyl carbonate,CCOC(=O)OCC,298.15,2.834,0,8,0,3,35.53,115.504,6.9558135e-05,0.506,74.616901,11.057086,3680.8923,0.095729034,-28.0336820233,5.848,0.2079114,6.7.1pre,ok,,969.07,298.15,0,10.1016/j.jct.2003.11.007,10.1016__j.jct.2003.11.007-fabdd7df1992.xml,0.000121902442548,thermoml_experimental_density,2100.33527342
OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,CO,298.15,33.6,0,2,1,1,20.23,37.08,2.2330098e-05,1.915,21.569029,3.196201,164227.9,0.086197438,-8.22549560673,12.7591,0.115646,6.7.1pre,ok,,786.531,298.15,0,10.1007/s10765-008-0395-z,10.1007__s10765-008-0395-z-6bf8687d669d.xml,4.07383815768e-05,thermoml_experimental_density,90018.9172485
OOKUTCYPKPJYFV-UHFFFAOYSA-N,1-methylimidazolium bromide,Br.Cn1ccnc1,298.15,16.6,0,7,0,1,17.82,107.696,6.4856047e-05,4.3,81.013285,12.004933,285092.92,0.11147055,-21.1394700725,0.3672,0.5884754,6.7.1pre,ok,,,,,,,,xtb_estimated,
PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,OCC(O)CO,303.15,41.17,0,6,3,3,60.69,87.992,5.2990021e-05,2.662,54.091475,8.0155313,133727.9,0.091093864,-22.6742247282,10.6666,0.1635461,6.7.1pre,ok,,,,,,,,xtb_estimated,
QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",CCCCn1c(C)c(C)[n+](C)c1C.F[B-](F)(F)F,298.15,12,0,18,0,0,8.81,248.912,0.00014989831,11.695,164.99053,24.449079,912438.74,0.098223785,-24.1148123804,0.0453,3.182615,6.7.1pre,ok,,,,,,,,xtb_estimated,
QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,CC(=O)O,293.15,6.15,0,4,1,1,37.3,56.672,3.4128676e-05,2.031,34.589921,5.1256986,120864.96,0.090444991,-14.4581710998,5.038,0.129048,6.7.1pre,ok,,1055,293.15,0,10.1016/j.jct.2012.08.009,10.1016__j.jct.2012.08.009-8b0014258bbe.xml,5.69213270142e-05,thermoml_experimental_density,72467.758859
RJQQOKKINHMXIM-UHFFFAOYSA-N,triethanolamine lactate,CC(O)C(=O)O.OCCN(CCO)CCO,298.15,59.7,0,16,5,6,121.46,234.864,0.00014143841,6.202,154.8128,22.940895,271954.45,0.097677356,-20.9324699279,0.1506,6.3206685,6.7.1pre,ok,,,,,,,,xtb_estimated,
RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",C1COCCO1,298.2,2.228,0,6,0,2,18.46,85.6,5.1549525e-05,0,56.583632,8.384831,0,0.097953633,-20.7583295932,10.2355,0.1415673,6.7.1pre,ok,,1027.9,298.2,0,10.1016/j.jct.2011.07.021,10.1016__j.jct.2011.07.021-b960d527f398.xml,8.57145636735e-05,thermoml_experimental_density,0
SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",COCCOCCOC,298.15,7.3815,0,9,0,3,27.69,139.28,8.3876377e-05,3.389,90.331287,13.385719,136931.54,0.096106538,-32.1487977125,10.1332,0.5512595,6.7.1pre,ok,,938.83,298.15,0,10.1016/j.jct.2008.09.006,10.1016__j.jct.2008.09.006-26d32d668650.xml,0.000142917248064,thermoml_experimental_density,80363.4351737
SHQSVMDWKBRBGB-UHFFFAOYSA-N,cyclobutanone,O=C1CCC1,298.15,14.96,0,5,0,1,17.07,72.344,4.3566575e-05,3.227,47.92023,7.101047,239025.65,0.098156682,-15.6566117489,3.7748,0.1841556,6.7.1pre,ok,,,,,,,,xtb_estimated,
SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,CCCCn1cc[n+](C)c1.N#C[S-],298.15,13.7,0,13,0,2,32.6,190.6,0.000114782,5.564,143.45084,21.257226,269712.11,0.11152795,-37.3493692212,1.0212,2.1474693,6.7.1pre,ok,,,,,,,,xtb_estimated,
STCBHSHARMAIOM-UHFFFAOYSA-N,1-methylimidazolium chloride,Cl.Cn1ccnc1,298.15,13.8,0,7,0,1,17.82,107.512,6.474524e-05,4.532,78.82591,11.680797,317228.33,0.10864645,-22.4137941076,4.0506,0.4666947,6.7.1pre,ok,,,,,,,,xtb_estimated,
TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,CCCCCCCC,298.15,1.961,0,8,0,0,0,145.28,8.7489661e-05,0.07,98.492959,14.595154,56.006618,0.10046224,-26.3163195898,12.9993,0.3924454,6.7.1pre,ok,,698.81,298.15,0,10.1016/j.jct.2014.09.015,10.1016__j.jct.2014.09.015-91ff54987832.xml,0.000163466464418,thermoml_experimental_density,29.9755672666
UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,CC1CCCCC1,298.2,2.01,0,7,0,0,0,117.096,7.0516859e-05,0.056,81.684149,12.104345,44.471635,0.10337112,-22.1434754117,12.7853,0.2395157,6.7.1pre,ok,,764.92,298.15,0.05,10.1016/j.jct.2012.04.011,10.1016__j.jct.2012.04.011-8d41d80e769b.xml,0.000128365057784,thermoml_experimental_density,24.4303243744
UCCKRVYTJPMHRO-UHFFFAOYSA-N,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",CCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,14,0,26,0,4,91.19,317.36,0.00019111866,4.59,222.80397,33.016148,110235.7,0.10403374,-19.7277626704,0.1048,5.2496366,6.7.1pre,ok,,,,,,,,xtb_estimated,
UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",CN(C)CCO,303.15,17.18,0,6,1,2,23.47,99.648,6.0009428e-05,1.143,66.052929,9.7880363,21770.729,0.098226119,-21.1437238336,9.8383,0.1984039,6.7.1pre,ok,,,,,,,,xtb_estimated,
UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,298.15,12.5,0,26,0,4,82.38,341.92,0.00020590904,7.072,234.02761,34.679321,242889.7,0.10142525,-86.865146683,0.3743,9.2646987,6.7.1pre,ok,,,,,,,,xtb_estimated,
UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,CC(=O)O.OCCN(CCO)CCO,298.15,31,0,14,4,5,101.23,213.656,0.00012866665,3.772,139.05221,20.605416,110580.2,0.09644202,-37.6985150059,1.3328,4.8498875,6.7.1pre,ok,,,,,,,,xtb_estimated,
