doi,title,publication_year,query_label,oa_url,oa_host_type,oa_version,license,disposition,value_status,epsilon_values_read,value_not_read_reason,noise_rules,title_compounds,unresolved_names,n_compounds_resolved,roster_status,compounds_new,in_roster,in_observations_v11,fetch_attempted,fetch_skip_reason,http_status,content_type,final_url,bytes_fetched,byte_cap_hit,text_extractor,text_chars,permittivity_context_lines,pubchem_crosscheck,epsilon_evidence,fetch_error
10.1016/j.nocx.2022.100097,Deuteron nuclear magnetic resonance and dielectric studies of molecular reorientation and charge transport in succinonitrile-glutaronitrile plastic crystals,2022,dinitriles,https://www.sciencedirect.com/science/article/pii/S2590159122000176/pdf,publisher,publishedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,glutaronitrile=ZTOMUSMDRMJOTH-UHFFFAOYSA-N;succinonitrile=IAHFWCOBPZCAEA-UHFFFAOYSA-N,"plastic crystal:material class, no compound named",2,some_new,succinonitrile,False,True,True,,403,text/html; charset=UTF-8,https://www.sciencedirect.com/science/article/pii/S2590159122000176/pdf,0,False,,0,0,ZTOMUSMDRMJOTH-UHFFFAOYSA-N=cid10994:formula_match;IAHFWCOBPZCAEA-UHFFFAOYSA-N=cid8062:formula_match,,"HTTP 403: <!DOCTYPE html>
<html lang='en-us'>
<head>
  <meta content=""text/html; charset=UTF-8"" http-equiv=""Content-Type"" >
  <meta content=""IE=edge"" http-equiv=""X-UA-Compatible"" >
  <meta content=""1"" name=""tdm-reservation"" >
  <meta content=""https://www.elsevier.com/tdm/tdmrep-policy.json"" name=""tdm-policy"" "
10.1002/eem2.12494,Solvation Effects on the Dielectric Constant of 1 M LiPF6 in Ethylene Carbonate: Ethyl Methyl Carbonate 3:7,2022,modern_carbonates_and_esters,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12494,publisher,publishedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,ethyl methyl carbonate=JBTWLSYIZRCDFO-UHFFFAOYSA-N;ethylene carbonate=KMTRUDSVKNLOMY-UHFFFAOYSA-N,,2,all_in_roster,,True,False,True,,403,text/html; charset=UTF-8,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eem2.12494,0,False,,0,0,JBTWLSYIZRCDFO-UHFFFAOYSA-N=cid522046:formula_match;KMTRUDSVKNLOMY-UHFFFAOYSA-N=cid7303:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.3390/nano11123216,"Hydrophilic and Hydrophobic Nanostructured Copper Surfaces for Efficient Pool Boiling Heat Transfer with Water, Water/Butanol Mixtures and Novec 649",2021,fluorinated_ethers,https://www.mdpi.com/2079-4991/11/12/3216/pdf?version=1638350429,publisher,publishedVersion,cc-by,skipped_noise_prefilter,not_attempted,0,,pool_boiling_heat_transfer,decafluoropentane=RIQRGMUSBYGDBL-UHFFFAOYSA-N;1-butanol=LRHPLDYGYMQRHN-UHFFFAOYSA-N;water=XLYOFNOQVPJJNP-UHFFFAOYSA-N,,3,some_new,decafluoropentane,False,True,False,noise_prefilter,,,,,,,0,0,RIQRGMUSBYGDBL-UHFFFAOYSA-N=cid86240:formula_match;LRHPLDYGYMQRHN-UHFFFAOYSA-N=cid263:formula_match;XLYOFNOQVPJJNP-UHFFFAOYSA-N=cid962:formula_match,,
10.1063/5.0046073,Effect of anion identity on ion association and dynamics of sodium ions in non-aqueous glyme based electrolytes—OTf vs TFSI,2021,glymes,https://digitalcommons.lsu.edu/chemistry_pubs/3452,repository,submittedVersion,,blocked_html_landing,not_attempted,0,,,,glyme:generic glyme without a chain-length prefix; oligomer length unnamed,0,unresolved,,False,False,True,,200,text/html; charset=UTF-8,https://repository.lsu.edu/chemistry_pubs/3452/,37530,False,,0,0,,,
10.1149/1945-7111/ab6975,Enhancement of Bifunctional Effect for LiNO3/glyme Electrolyte by Using Dual Solvent System for Li-O2 Batteries,2020,glymes,https://iopscience.iop.org/article/10.1149/1945-7111/ab6975/pdf,publisher,publishedVersion,cc-by,blocked_html_landing,not_attempted,0,,,,glyme:generic glyme without a chain-length prefix; oligomer length unnamed,0,unresolved,,False,False,True,,200,text/html; charset=UTF-8,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=856d9e99-98ce-4427-bd3e-78f72b9f8f8e&ssb=78243271553&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F1945-7111%2Fab6975%2Fpdf&ssi=35036f2b-cnvj-4986-81e0-a0c12e83be0f&ssk=botmanager_support@radware.com&ssm=70168550704422235106805804505362&ssn=a70d60ff413eb9bab92c0561cea0457c2addaa97cdd6-d7c8-4853-9d9265&sso=d00caad3-ddde5f48b6b45cc4d9146c0eed429b328b8cf47b067f5415&ssp=57875733561790366106179036700850932&ssq=83870474094150534290840941437586928503001&ssr=MjIyLjIwLjE5My4yMzk=&sst=electrolyte-ml-research/1.0%20(AL%20round-3%20acquisition%20list;%20mailto:codex@local)&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJfX3V6bWYiOiI3ZjkwMDBhYTk3Y2RkNi1kN2M4LTQ4NTMtOWFkMy1kZGRlNWY0OGI2YjQxLTE3OTAzNDA5NDE2ODcwLTAwNWFiN2IwMDgyZGFjYTM5NGYxMCIsInV6bXgiOiI3ZmMwMDBlNWZmZmVmZi0zM2JmLTQxMWYtOTBmNC02OGMwNTFiMTk3MTIxLTE3OTAzNDA5NDE2ODcwLTAwNjZlMjA1ZTVmMmU2MTFjZGExMCJ9,14371,False,,0,0,,,
10.1021/acs.jpclett.0c00334,Ion Pairing and Redissociaton in Low-Permittivity Electrolytes for Multivalent Battery Applications,2020,glymes,https://www.osti.gov/servlets/purl/1630283,repository,submittedVersion,,blocked_fetch_error,not_attempted,0,,,,,0,unresolved,,False,False,True,,0,,,0,False,,0,0,,,"ConnectTimeout: HTTPSConnectionPool(host='www.osti.gov', port=443): Max retries exceeded with url: /servlets/purl/1630283 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.osti.gov', port=443) at 0x1d42edbef90>, 'Connection to www.osti.gov timed out. (connect timeout=60)'))"
10.1016/j.applthermaleng.2020.115862,Immersion cooling effect of dielectric liquid and self-rewetting fluid on smooth and porous surface,2020,fluorinated_ethers,https://www.sciencedirect.com/science/article/am/pii/S1359431120333445,publisher,acceptedVersion,,skipped_noise_prefilter,not_attempted,0,,pool_boiling_heat_transfer,,self-rewetting fluid:fluid not specified;dielectric liquid:fluid not specified,0,unresolved,,False,False,False,noise_prefilter,,,,,,,0,0,,,
10.1049/hve.2019.0144,Effect of surface modification of electrodes on charge injection and dielectric characteristics of propylene carbonate,2019,modern_carbonates_and_esters,https://doi.org/10.1049/hve.2019.0144,publisher,publishedVersion,cc-by,blocked_fetch_error,not_attempted,0,,,propylene carbonate=RUOJZAUFBMNUDX-UHFFFAOYSA-N,,1,all_in_roster,,True,False,True,,403,text/html; charset=UTF-8,https://ietresearch.onlinelibrary.wiley.com/doi/10.1049/hve.2019.0144,0,False,,0,0,RUOJZAUFBMNUDX-UHFFFAOYSA-N=cid7924:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1016/j.electacta.2019.02.110,Ion transport and association study of glyme-based electrolytes with lithium and sodium salts,2019,glymes,https://doi.org/10.1016/j.electacta.2019.02.110,publisher,acceptedVersion,,blocked_html_landing,not_attempted,0,,,,glyme:generic glyme without a chain-length prefix; oligomer length unnamed,0,unresolved,,False,False,True,,200,text/html;charset=UTF-8,https://linkinghub.elsevier.com/retrieve/pii/S0013468619303779,2709,False,,0,0,,,
10.1149/2.0461816jes,Impact of Trifluoromethylation of Adiponitrile on Aluminum Dissolution Behavior in Dinitrile-Based Electrolytes,2018,dinitriles,https://iopscience.iop.org/article/10.1149/2.0461816jes/pdf,publisher,publishedVersion,cc-by,blocked_html_landing,not_attempted,0,,,adiponitrile=BTGRAWJCKBQKAO-UHFFFAOYSA-N,trifluoromethylation:unnamed trifluoromethylated adiponitrile derivative,1,all_in_roster,,True,True,True,,200,text/html; charset=UTF-8,https://validate.perfdrive.com/fb803c746e9148689b3984a31fccd902/?ssa=8f915626-a9b6-42ff-929b-7a566300e662&ssb=92359285186&ssc=https%3A%2F%2Fiopscience.iop.org%2Farticle%2F10.1149%2F2.0461816jes%2Fpdf&ssi=84e82d45-cnvj-4633-acdd-2f8430c13845&ssk=botmanager_support@radware.com&ssm=06527534319765332107688190317836&ssn=94d26c4e3f00117cfe76257a843fd552d9fa615ce59b-be6f-42df-a6d964&sso=1d3072c8-630825c1a41575d06f84a2118fb24df4bf0cc8bb2d60084b&ssp=12060094221790387612179032393903875&ssq=55077564097184584215540971214903833563497&ssr=MjIyLjIwLjE5My4yMzk=&sst=electrolyte-ml-research/1.0%20(AL%20round-3%20acquisition%20list;%20mailto:codex@local)&ssu=&ssv=&ssw=&ssx=eyJyZCI6ImlvcC5vcmciLCJ1em14IjoiN2ZjMDAwMGFkZWEwZjgtMTc1MS00ZmQwLWI3OWMtODFkM2MzZmJhYzdlMS0xNzkwMzQwOTcxNzQ1MC0wMDZiZjYzNjAxMmI3YzEyOWNkMTAiLCJfX3V6bWYiOiI3ZjkwMDA2MTVjZTU5Yi1iZTZmLTQyZGYtYTJjOC02MzA4MjVjMWE0MTUxLTE3OTAzNDA5NzE3NDUwLTAwNWFiYTk4ZDMxMTdjYzc2M2MxMCJ9,14371,False,,0,0,BTGRAWJCKBQKAO-UHFFFAOYSA-N=cid8128:formula_match,,
10.1088/1361-648x/aab466,"Structural, electrical properties and dielectric relaxations in Na + -ion-conducting solid polymer electrolyte",2018,dinitriles,https://arxiv.org/pdf/1807.03969,repository,submittedVersion,,fulltext_no_value,value_not_read,0,permittivity_wording_present_but_no_explicit_temperature_with_unit,,,"polymer electrolyte:composite solid polymer electrolyte, not a pure solvent",0,unresolved,,False,False,True,,200,application/pdf,https://arxiv.org/pdf/1807.03969,3928453,False,pypdf,91366,62,,,
10.1016/j.bpj.2017.12.013,Structural Impact of Phosphorylation and Dielectric Constant Variation on Synaptotagmin’s IDR,2018,fluorinated_alcohols,http://www.cell.com/article/S0006349517350932/pdf,publisher,publishedVersion,,skipped_noise_prefilter,not_attempted,0,,biophysics_peptide_or_protein,,"synaptotagmin:protein, not a solvent",0,unresolved,,False,False,False,noise_prefilter,,,,,,,0,0,,,
10.1063/1.4944394,Nonlinear dielectric spectroscopy in a fragile plastic crystal,2016,dinitriles,https://arxiv.org/pdf/1512.06020,repository,submittedVersion,,table_candidate_needs_review,table_candidate,0,table_like_block_with_no_inline_value,,,"plastic crystal:material class, no compound named",0,unresolved,,False,False,True,,200,application/pdf,https://arxiv.org/pdf/1512.06020,204932,False,pypdf,35224,40,,"p2L98[table] quantity  ln ε"" = ln ε""(Eh) - ln ε""(El). To avoid // overcrowding of the figure, in Fig. 2(a) the results at // T  141 K are shown while those at T  141 K are plotted in // 10 || p4L34[table] minimum,  ln ε' and  ln ε"" finally approach zero. This // minimum seems to occur in the region of the  relaxation, // which leads to the shallow power law showing up, e.g., in the // region around 1 Hz for the 133 K curve in Fig. 1(b). At low",
10.1063/1.4913320,Ionic conductivity and dielectric permittivity of PEO-LiClO4 solid polymer electrolyte plasticized with propylene carbonate,2015,modern_carbonates_and_esters,https://aip.scitation.org/doi/pdf/10.1063/1.4913320,publisher,publishedVersion,cc-by,blocked_html_landing,not_attempted,0,,,propylene carbonate=RUOJZAUFBMNUDX-UHFFFAOYSA-N,"polymer electrolyte:composite solid polymer electrolyte, not a pure solvent",1,all_in_roster,,True,False,True,,200,text/html,https://aip.scitation.org/doi/pdf/10.1063/1.4913320,1390,False,,0,0,RUOJZAUFBMNUDX-UHFFFAOYSA-N=cid7924:formula_match,,
10.1021/acs.jpcc.5b09380,"Self-Diffusion, Phase Behavior, and Li+ Ion Conduction in Succinonitrile-Based Plastic Cocrystals",2015,dinitriles,https://doi.org/10.1021/acs.jpcc.5b09380,publisher,publishedVersion,other-oa,blocked_fetch_error,not_attempted,0,,,succinonitrile=IAHFWCOBPZCAEA-UHFFFAOYSA-N,,1,all_new,succinonitrile,False,True,True,,403,text/html; charset=UTF-8,https://pubs.acs.org/jpccck/article/119/49/27298/851666/Self-Diffusion-Phase-Behavior-and-Li-Ion,0,False,,0,0,IAHFWCOBPZCAEA-UHFFFAOYSA-N=cid8062:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1021/acs.jpcb.5b09561,Dielectric Relaxation of Ethylene Carbonate and Propylene Carbonate from Molecular Dynamics Simulations,2015,modern_carbonates_and_esters,https://www.osti.gov/servlets/purl/1238653,repository,submittedVersion,,blocked_fetch_error,not_attempted,0,,,propylene carbonate=RUOJZAUFBMNUDX-UHFFFAOYSA-N;ethylene carbonate=KMTRUDSVKNLOMY-UHFFFAOYSA-N,,2,all_in_roster,,True,False,True,,0,,,0,False,,0,0,RUOJZAUFBMNUDX-UHFFFAOYSA-N=cid7924:formula_match;KMTRUDSVKNLOMY-UHFFFAOYSA-N=cid7303:formula_match,,"ConnectTimeout: HTTPSConnectionPool(host='www.osti.gov', port=443): Max retries exceeded with url: /servlets/purl/1238653 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.osti.gov', port=443) at 0x1d43112ac30>, 'Connection to www.osti.gov timed out. (connect timeout=60)'))"
10.1063/1.4867095,Supercooled-liquid and plastic-crystalline state in succinonitrile-glutaronitrile mixtures,2014,dinitriles,https://aip.scitation.org/doi/pdf/10.1063/1.4867095,publisher,publishedVersion,,blocked_html_landing,not_attempted,0,,,glutaronitrile=ZTOMUSMDRMJOTH-UHFFFAOYSA-N;succinonitrile=IAHFWCOBPZCAEA-UHFFFAOYSA-N,,2,some_new,succinonitrile,False,True,True,,200,text/html,https://aip.scitation.org/doi/pdf/10.1063/1.4867095,1414,False,,0,0,ZTOMUSMDRMJOTH-UHFFFAOYSA-N=cid10994:formula_match;IAHFWCOBPZCAEA-UHFFFAOYSA-N=cid8062:formula_match,,
10.1002/2014wr015291,Electrical permittivity and resistivity time lapses of multiphase DNAPLs in a lab test,2014,fluorinated_ethers,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/2014WR015291,publisher,publishedVersion,,skipped_noise_prefilter,not_attempted,0,,geophysics_dnapl,,dnapl:non-specific chlorinated-solvent mixture; no single compound named,0,unresolved,,False,False,False,noise_prefilter,,,,,,,0,0,,,
10.1063/1.4794792,Interfaces of propylene carbonate,2013,modern_carbonates_and_esters,https://arxiv.org/pdf/1212.5304,repository,submittedVersion,,table_candidate_needs_review,table_candidate,0,table_like_block_with_no_inline_value,,propylene carbonate=RUOJZAUFBMNUDX-UHFFFAOYSA-N,,1,all_in_roster,,True,False,True,,200,application/pdf,https://arxiv.org/pdf/1212.5304,1247897,False,pypdf,32740,34,RUOJZAUFBMNUDX-UHFFFAOYSA-N=cid7924:formula_match,"p5L65[table] ln P (δε/σ ) // −4 −2 0 2 4 // δε/σ // T = 300K || p5L67[table] δε/σ // T = 300K // ρ = 7.28/nm 3 // −12 || p5L76[table] ln P (δε/σ ) // −4 −2 0 2 4 // δε/σ // T = 600K || p5L78[table] δε/σ // T = 600K // ρ = 5.54/nm 3 // FIG. 12. Binding energies, centered ( δε = ε − ⟨ε⟩) and || p7L9[table] T (K) ρ (nm−3) ⟨ε⟩ ⟨ε⟩ + β // 2 // ⟨ // δε2⟩",
10.1063/1.4746022,Dielectric spectroscopy and ultrasonic study of propylene carbonate under ultra-high pressures,2012,modern_carbonates_and_esters,https://arxiv.org/pdf/1305.3840,repository,publishedVersion,,table_candidate_needs_review,table_candidate,0,table_like_block_with_no_inline_value,,propylene carbonate=RUOJZAUFBMNUDX-UHFFFAOYSA-N,,1,all_in_roster,,True,False,True,,200,application/pdf,https://arxiv.org/pdf/1305.3840,535816,False,pypdf,55907,34,RUOJZAUFBMNUDX-UHFFFAOYSA-N=cid7924:formula_match,"p4L11[table] were used as delivered. High-pressure dielectric spectroscopy ex periments were carried out // in Toroid type anvils44 in the P-T region P < 4.1 GPa and 210 K < T < 410 K. As a sensor // we used the plane capacitor made of copper plates separated by ﬁxed size Teﬂon spacers with // 1.5 mm diameter holes (having typical empty capacitance about 10 pF ) immersed into PC || p7L17[table] FIG. 1. Imaginary (upper panel) and real (lower panel) parts of dielectric permittivity measured // along three isobars at diﬀerent temperatures: • - 0.1 MPa (T=166.7, 173.8, 179.9, 185.4 K); ▲ - // 2.3 GPa (T=326.0, 345.4, 358.5, 370.4 K); ×-3.3 GPa (T=384.3, 396.3, 406.1 K). In all cases, the // temperature rise at ﬁxed pressure shifts the dispersion fea ture toward higher frequencies. The color || p8L16[table] FIG. 2. Imaginary (upper panel) and real (lower panel) part o f dielectric permittivity measured // along three isotherms at diﬀerent pressures: • - T=291.1 K (P=0.97, 1.38, 1.51, 1.65 GPa); ▼ - // 372.9 K (P=2.55, 2.86, 3.05 GPa ); ◆ -410 K (P=3.41, 3.76, 4.1 GPa). In all cases, the pressure ris e // at ﬁxed temperature shifts the dispersion feature toward lo wer frequencies. The color key encoding || p9L12[table] FIG. 3. Cole-Cole plot of complex permittivity data taken in a single experiment in the range // P=1.1 – 4.1 GPa and T=292 – 410 K. The PC molecule is shown schem atically in the inset. // 9",
10.1063/1.4740236,"Shear and dielectric responses of propylene carbonate, tripropylene glycol, and a mixture of two secondary amides",2012,modern_carbonates_and_esters,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4740236/14080820/064508_1_online.pdf,publisher,publishedVersion,,blocked_fetch_error,not_attempted,0,,,propylene carbonate=RUOJZAUFBMNUDX-UHFFFAOYSA-N;tripropylene glycol=LEQCJROTXBYLEU-UHFFFAOYSA-N,,2,some_new,tripropylene glycol,False,False,True,,403,text/html; charset=UTF-8,https://pubs.aip.org/aip/jcp/article-pdf/doi/10.1063/1.4740236/14080820/064508_1_online.pdf,0,False,,0,0,RUOJZAUFBMNUDX-UHFFFAOYSA-N=cid7924:formula_match;LEQCJROTXBYLEU-UHFFFAOYSA-N=cid92896:formula_match,,"HTTP 403: <!DOCTYPE html><html lang=""en-US""><head><title>Just a moment...</title><meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""><meta http-equiv=""X-UA-Compatible"" content=""IE=Edge""><meta name=""robots"" content=""noindex,nofollow""><meta name=""viewport"" content=""width=device-width,initial-scal"
10.1021/jp302790j,Hydrogen-Bonding Effects on the Formation and Lifetimes of Charge-Separated States in Molecular Triads,2012,fluorinated_alcohols,https://edoc.unibas.ch/48169/1/No%2037%20Hankache_JPhysChemA_2012_116_8159.pdf,repository,acceptedVersion,other-oa,blocked_html_landing,not_attempted,0,,,,molecular triad:not a solvent,0,unresolved,,False,False,True,,200,text/html; charset=utf-8,https://edoc.unibas.ch/entities/publication/92abb649-c46b-4e19-a6b9-6ca89d039e48,502021,False,,0,0,,,
