exclusion_id,dataset_id,source_property,property,inchikey,source_file,source_row_index,segment_index,source_file_sha256,reason_code,reason,raw_value
thermoml_viscosity:100:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,100,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.994e-06
thermoml_viscosity:101:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,101,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.897e-06
thermoml_viscosity:102:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,102,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.807e-06
thermoml_viscosity:103:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,103,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.724e-06
thermoml_viscosity:104:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,104,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.648e-06
thermoml_viscosity:105:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,105,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.578e-06
thermoml_viscosity:106:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,106,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.512e-06
thermoml_viscosity:107:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,107,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.451e-06
thermoml_viscosity:108:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,108,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.394e-06
thermoml_viscosity:109:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,109,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.341e-06
thermoml_viscosity:110:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,110,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.291e-06
thermoml_viscosity:111:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,111,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.245e-06
thermoml_viscosity:112:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,112,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.201e-06
thermoml_viscosity:113:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,113,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.16e-06
thermoml_viscosity:114:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,WYJOVVXUZNRJQY-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,114,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",1.121e-06
thermoml_viscosity:1592:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1592,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.586e-07
thermoml_viscosity:1593:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1593,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.483e-07
thermoml_viscosity:1594:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1594,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.39e-07
thermoml_viscosity:1595:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1595,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.298e-07
thermoml_viscosity:1596:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1596,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.196e-07
thermoml_viscosity:1597:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1597,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.091e-07
thermoml_viscosity:1598:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1598,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.988e-07
thermoml_viscosity:1599:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1599,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.889e-07
thermoml_viscosity:1600:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1600,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.793e-07
thermoml_viscosity:1601:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1601,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.699e-07
thermoml_viscosity:1602:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,YLQBMQCUIZJEEH-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1602,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.606e-07
thermoml_viscosity:1603:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1603,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",5.393e-07
thermoml_viscosity:1604:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1604,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",5.234e-07
thermoml_viscosity:1605:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1605,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",5.075e-07
thermoml_viscosity:1606:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1606,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.925e-07
thermoml_viscosity:1607:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1607,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.79e-07
thermoml_viscosity:1608:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1608,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.66e-07
thermoml_viscosity:1609:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1609,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.551e-07
thermoml_viscosity:1610:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1610,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.46e-07
thermoml_viscosity:1611:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1611,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.377e-07
thermoml_viscosity:1612:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1612,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.293e-07
thermoml_viscosity:1613:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1613,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.201e-07
thermoml_viscosity:1614:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1614,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.107e-07
thermoml_viscosity:1615:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1615,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",4.013e-07
thermoml_viscosity:1616:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1616,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.922e-07
thermoml_viscosity:1617:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1617,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.831e-07
thermoml_viscosity:1618:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1618,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.743e-07
thermoml_viscosity:1619:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1619,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.659e-07
thermoml_viscosity:1620:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1620,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.578e-07
thermoml_viscosity:1621:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1621,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.498e-07
thermoml_viscosity:1622:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1622,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.424e-07
thermoml_viscosity:1623:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1623,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.358e-07
thermoml_viscosity:1624:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1624,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.277e-07
thermoml_viscosity:1625:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1625,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.199e-07
thermoml_viscosity:1626:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1626,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.13e-07
thermoml_viscosity:1627:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,VQKFNUFAXTZWDK-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1627,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",3.069e-07
thermoml_viscosity:1628:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,GSNUFIFRDBKVIE-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1628,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",6.698e-07
thermoml_viscosity:1629:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,GSNUFIFRDBKVIE-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1629,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",6.497e-07
thermoml_viscosity:1630:0,thermoml_viscosity,"Kinematic viscosity, m2/s",,GSNUFIFRDBKVIE-UHFFFAOYSA-N,data/processed/viscosity_observations_thermoml.csv,1630,0,e0d647d6eadc0adc61ed05b222b9b4fc26ac13c9c84de63a1282e58823ccbf83,kinematic_viscosity_not_dynamic,"kinematic viscosity (mm2/s, cSt, Saybolt) is not dynamic viscosity and carries no density in this harvest to convert it",6.337e-07
