queue_id,candidate_name,book_doi,chapter_doi,chapter_title,source_title,source_access,manual_value_status,required_fields_missing,decision_status
lb2015:0011,benzene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_109,Static dielectric constant of benzene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0012,formamide,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_11,Static dielectric constant of formamide,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0013,2-chloroaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_110,Static dielectric constant of 2-chloroaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0014,3-chloroaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_111,Static dielectric constant of 3-chloroaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0015,2-fluoroaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_112,Static dielectric constant of 2-fluoroaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0016,4-fluoroaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_113,Static dielectric constant of 4-fluoroaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0017,phenol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_114,Static dielectric constant of phenol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0018,aniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_115,Static dielectric constant of aniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0019,hexanedinitrile,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_116,Static dielectric constant of hexanedinitrile,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0020,"N,N-diethyl-1,1,2,2,2-pentafluoro-ethanesulfonamide",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_117,"Static dielectric constant of N,N-diethyl-1,1,2,2,2-pentafluoro-ethanesulfonamide",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0021,cyclohexanone,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_118,Static dielectric constant of cyclohexanone,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0022,ethyl methacrylate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_119,Static dielectric constant of ethyl methacrylate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0023,nitromethane,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_12,Static dielectric constant of nitromethane,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0024,methyl levulinate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_120,Static dielectric constant of methyl levulinate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0025,cyclohexane,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_121,Static dielectric constant of cyclohexane,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0026,hexan-2-one,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_122,Static dielectric constant of hexan-2-one,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0027,butyl acetate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_123,Static dielectric constant of butyl acetate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0028,ethyl butanoate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_124,Static dielectric constant of ethyl butanoate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0029,hexane,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_125,Static dielectric constant of hexane,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0030,diisopropyl ether,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_126,Static dielectric constant of diisopropyl ether,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0031,hexan-1-ol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_127,Static dielectric constant of hexan-1-ol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0032,dipropylsulfoxide,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_128,Static dielectric constant of dipropylsulfoxide,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0033,2-butoxyethanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_129,Static dielectric constant of 2-butoxyethanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0034,methanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_13,Static dielectric constant of methanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0035,"hexane-2,5-diol",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_130,"Static dielectric constant of hexane-2,5-diol",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0036,2-isobutoxyethanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_131,Static dielectric constant of 2-isobutoxyethanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0037,2-tert-butoxyethanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_132,Static dielectric constant of 2-tert-butoxyethanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0038,1-propoxypropan-2-ol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_133,Static dielectric constant of 1-propoxypropan-2-ol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0039,dipropylene glycol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_134,Static dielectric constant of dipropylene glycol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0040,2-(2-ethoxyethoxy)ethanol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_135,Static dielectric constant of 2-(2-ethoxyethoxy)ethanol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0041,"hexane-1,2,6-triol",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_136,"Static dielectric constant of hexane-1,2,6-triol",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0042,"2,5,8-trioxanonane",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_137,"Static dielectric constant of 2,5,8-trioxanonane",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0043,triethylene glycol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_138,Static dielectric constant of triethylene glycol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0044,triethylamine,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_139,Static dielectric constant of triethylamine,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0045,methylamine,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_14,Static dielectric constant of methylamine,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0046,diisopropanolamine,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_140,Static dielectric constant of diisopropanolamine,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0047,tris-(2-hydroxyethyl)-amine,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_141,Static dielectric constant of tris-(2-hydroxyethyl)-amine,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0048,benzonitrile,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_142,Static dielectric constant of benzonitrile,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0049,methyl isonicotinate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_143,Static dielectric constant of methyl isonicotinate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0050,toluene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_144,Static dielectric constant of toluene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0051,"N-ethyl-N-methyl-1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonamide",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_145,"Static dielectric constant of N-ethyl-N-methyl-1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonamide",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0052,methoxybenzene,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_146,Static dielectric constant of methoxybenzene,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0053,2-methylphenol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_147,Static dielectric constant of 2-methylphenol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0054,2-methylaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_148,Static dielectric constant of 2-methylaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0055,3-methylaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_149,Static dielectric constant of 3-methylaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0056,"1,1,1-trifluoroethane",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_15,"Static dielectric constant of 1,1,1-trifluoroethane",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0057,N-methylaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_150,Static dielectric constant of N-methylaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0058,2-methoxyaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_151,Static dielectric constant of 2-methoxyaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0059,3-methoxyaniline,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_152,Static dielectric constant of 3-methoxyaniline,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0060,heptanedinitrile,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_153,Static dielectric constant of heptanedinitrile,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0061,cycloheptanone,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_154,Static dielectric constant of cycloheptanone,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0062,butyl acrylate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_155,Static dielectric constant of butyl acrylate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0063,ethyl levulinate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_156,Static dielectric constant of ethyl levulinate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0064,"N,N-bis(2-methoxyethyl)-1,1,1-trifluoro-methanesulfonamide",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_157,"Static dielectric constant of N,N-bis(2-methoxyethyl)-1,1,1-trifluoro-methanesulfonamide",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0065,isopentyl acetate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_158,Static dielectric constant of isopentyl acetate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0066,pentyl acetate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_159,Static dielectric constant of pentyl acetate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0067,"2,2,2-trifluoroethanol",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_16,"Static dielectric constant of 2,2,2-trifluoroethanol",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0068,heptane,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_160,Static dielectric constant of heptane,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0069,heptan-1-ol,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_161,Static dielectric constant of heptan-1-ol,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0070,methyl benzoate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_162,Static dielectric constant of methyl benzoate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0071,phenyl acetate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_163,Static dielectric constant of phenyl acetate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0072,ethyl isonicotinate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_164,Static dielectric constant of ethyl isonicotinate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0073,ethyl nicotinate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_165,Static dielectric constant of ethyl nicotinate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0074,methyl anthranilate,10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_166,Static dielectric constant of methyl anthranilate,Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0075,"1,2-dimethylbenzene",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_167,"Static dielectric constant of 1,2-dimethylbenzene",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0076,"1,3-dimethylbenzene",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_168,"Static dielectric constant of 1,3-dimethylbenzene",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
lb2015:0077,"1,4-dimethylbenzene",10.1007/978-3-662-48168-4,10.1007/978-3-662-48168-4_169,"Static dielectric constant of 1,4-dimethylbenzene",Static Dielectric Constants of Pure Liquids and Binary Liquid Mixtures,closed_subscription,not_reviewed,smiles;inchikey;T_K;phase;frequency_MHz;dielectric;uncertainty;source_page_or_table;redistribution_status,awaiting_manual_review
