inchikey,smiles,name,p1_n,chodera_n,p1_median,chodera_median,median_difference,nearest_p1_T_K,nearest_chodera_T_K,pair_delta_T_K,pair_p1_value,pair_chodera_value,pair_value_delta,relative_delta_percent,p1_temps_K,chodera_temps_K,p1_source_doi,chodera_source_doi,driver_note
DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",1,6,27.87,26.095,-1.775,303.15,303.2,0.05,27.87,27.87,0,0,303.15,303.2|308.2|313.2|318.2|323.2|328.2,10.1021/je600515j,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,dibutyl ether,3,5,3.106,3.106,0,293.15,293.2,0.05,3.145,3.145,0,0,293.15|298.15|303.15,288.2|293.2|298.2|303.2|308.2,10.1016/j.tca.2012.05.036,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylethanamide",3,3,37.72,36.551,-1.169,303.15,303.2,0.05,37.72,38.03666666666667,0.31666666666667,0.8395192647578738069989395546,303.15|303.15|303.15,303.2|313.2|323.2,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9002515,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
GSEJCLTVZPLZKY-UHFFFAOYSA-N,OCCN(CCO)CCO,triethanolamine,1,5,28.11,26.73,-1.38,303.15,303.2,0.05,28.11,28.11,0,0,303.15,303.2|308.2|313.2|318.2|323.2,10.1021/je600515j,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
HXJUTPCZVOIRIF-UHFFFAOYSA-N,O=S1(=O)CCCC1,sulfolane,3,8,44,42.5,-1.5,293.15,293.2,0.05,44.5,44.5,0,0,293.15|298.15|303.15,293.2|298.2|303.2|308.2|313.2|318.2|323.2|328.2,10.1016/j.tca.2012.10.004,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,2-aminoethan-1-ol,1,1,31.46,31.46,0,303.15,303.2,0.05,31.46,31.46,0,0,303.15,303.2,10.1016/j.fluid.2008.01.024,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,dimethyl sulfoxide,35,4,46.05,45.29,-0.76,293.15,293.2,0.05,47.09,47.09,0,0,298|298.15|293.15|293.15|295.15|297.15|299.15|301.15|303.15|297.85|297.85|297.86|297.86|297.86|297.86|297.86|297.86|297.86|297.86|297.86|297.86|297.86|302.6|302.61|302.62|302.62|302.63|302.77|302.78|302.82|302.83|302.84|302.84|302.84|302.85,293.2|303.2|313.2|323.2,10.1016/j.fluid.2013.12.014;10.1016/j.tca.2017.03.018;10.1021/je400149j;10.1021/je9010773,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,dimethyl carbonate,1,5,3.134,3.141,0.007,298.15,298.2,0.05,3.134,3.134,0,0,298.15,288.2|298.2|308.2|318.2|328.2,10.1016/j.jct.2008.02.015,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,heptane,1,3,1.93,1.93,0,298.15,298.2,0.05,1.93,1.93,0,0,298.15,288.2|298.2|308.2,10.1016/j.jct.2010.09.008,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,cyclohexanone,6,6,15.79,15.615,-0.175,293.15,293.2,0.05,16.08,16.08,0,0,298.15|293.15|295.65|298.15|300.65|303.15,288.2|293.2|298.2|303.2|308.2|313.2,10.1021/acs.jced.8b00755;10.1021/je200682t,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,ethyl propenoate,5,21,6.209,6.043,-0.166,293.15,293.2,0.05,6.34,6.34,0,0,293.15|295.65|298.15|300.65|303.15,278.2|280.6|283.2|285.6|288.2|290.6|293.2|295.6|298.2|300.6|303.2|305.6|308.2|310.6|313.2|315.6|318.2|320.6|323.2|325.6|328.2,10.1021/je301333b,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,propan-2-ol,6,7,18.845,19.1,0.255,298,298,0,19.1,19.1,0,0,298|300.15|303|293.15|298.15|303.15,288.2|293.2|298|298.2|300.2|303.2|308.2,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je800593p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,ethanol,15,6,25.02,24.0425,-0.9775,298,298,0,22.8,22.8,0,0,303.15|298|293.15|303|298.15|298.15|298.15|298.15|298.15|298.15|298.15|298.15|293.15|298.15|303.15,288.2|293.2|298|298.2|303.2|308.2,10.1016/j.fluid.2009.07.009;10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je800593p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,butan-1-ol,18,7,18.03,17.56,-0.47,298,298,0,17.8,17.8,0,0,298|298.15|298.15|298.15|298.15|298.15|298.15|298.15|298.15|293.15|298.15|303.15|293.15|298.15|303.15|293.15|298.15|303.15,288.2|293.2|298|298.2|303.2|308.2|313.2,10.1016/j.fluid.2013.12.014;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
LVTYICIALWPMFW-UHFFFAOYSA-N,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,1,2,13.87,13.49,-0.38,303.15,313.2,10.05,13.87,13.62,-0.25,-1.802451333813987022350396539,303.15,313.2|323.2,10.1021/je600515j,arXiv:1506.00262,temperature_gap_ge_1K_possible_but_not_proven
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"1,2-ethanediol",1,1,39.84,39.84,0,303.15,303.2,0.05,39.84,39.84,0,0,303.15,303.2,10.1016/j.fluid.2009.07.009,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,3,3,30.95,30.95,0,293.15,293.2,0.05,31.81,31.81,0,0,293.15|298.15|303.15,293.2|298.2|303.2,10.1016/j.jct.2007.09.004,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,CN=C(C)O,N-methylacetamide,1,2,178.47,171.129,-7.341,303.15,303.2,0.05,178.47,178.47,0,0,303.15,303.2|313.2,10.1021/je9002515,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,diethyl carbonate,1,5,2.834,2.837,0.003,298.15,298.2,0.05,2.834,2.834,0,0,298.15,288.2|298.2|308.2|318.2|328.2,10.1016/j.jct.2008.02.015,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,methanol,13,6,33.6,32.85,-0.75,298,298,0,33.1,33.1,0,0,298|293.15|303|298.15|298.15|298.15|298.15|298.15|298.15|298.15|293.15|298.15|303.15,288.2|293.2|298|298.2|303.2|308.2,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/je060248p;10.1021/je800593p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
PEDCQBHIVMGVHV-UHFFFAOYSA-N,OCC(O)CO,glycerol,2,1,41.17,41.17,0,303.15,303.2,0.05,41.17,41.17,0,0,303.15|303.15,303.2,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",1,3,2.228,2.21,-0.018,298.2,298.2,0,2.228,2.228,0,0,298.2,298.2|308.2|318.2,10.1016/j.jct.2011.07.021,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",2,5,7.3815,7.118,-0.2635,298.15,298.2,0.05,7.4,7.381500000000001,-0.018499999999999,-0.2499999999999864864864864865,298.15|298.15,288.2|298.2|308.2|318.2|328.2,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,octane,6,5,1.961,1.961,0,293.15,293.2,0.05,1.968,1.968,0,0,293.15|298.15|303.15|293.15|298.15|303.15,288.2|293.2|298.2|303.2|308.2,10.1016/j.tca.2012.05.036;10.1016/j.tca.2012.10.024,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
UEEJHVSXFDXPFK-UHFFFAOYSA-N,CN(C)CCO,"2-(N,N-dimethylamino)ethanol",2,1,17.18,17.18,0,303.15,303.2,0.05,17.18,17.18,0,0,303.15|303.15,303.2,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,water,8,11,78.87,79.98,1.11,293.15,293.2,0.05,79.98,79.98,0,0,298|293.15|293.15|295.15|297.15|299.15|301.15|303.15,275.2|277.2|279.2|281.2|283.2|293.2|303.2|305.2|313.2|315.2|323.2,10.1016/j.fluid.2014.05.006;10.1016/j.jct.2012.08.009;10.1021/je400149j,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",2,5,7.0695,6.7535,-0.316,298.15,298.2,0.05,7.07,7.0695,-0.0005,-0.007072135785007072135785007072,298.15|298.15,288.2|298.2|308.2|318.2|328.2,10.1016/j.jct.2008.09.006;10.1016/j.jct.2010.09.008,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,4,4,41.99,41.37,-0.62,298.15,298.2,0.05,41.64,41.64,0,0,293.15|293.15|298.15|303.15,293.2|298.2|303.2|313.2,10.1021/je900503p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,3,3,11.5,11.5,0,293.15,293.2,0.05,11.76,11.76,0,0,293.15|298.15|303.15,293.2|298.2|303.2,10.1016/j.jct.2007.09.004,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,2-ethyl-1-hexanol,1,3,7.353,6.361,-0.992,298.2,298.2,0,7.353,7.353,0,0,298.2,298.2|308.2|318.2,10.1016/j.jct.2011.07.021,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
ZBCBWPMODOFKDW-UHFFFAOYSA-N,OCCNCCO,diethanolamine,1,6,24.69,23.57,-1.12,303.15,303.2,0.05,24.69,24.69,0,0,303.15,303.2|308.2|313.2|318.2|323.2|328.2,10.1021/je600515j,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
ZHNUHDYFZUAESO-UHFFFAOYSA-N,N=CO,formamide,2,1,106.14,106.14,0,303.15,303.2,0.05,106.14,106.14,0,0,303.15|303.15,303.2,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,3,3,23.07,23.07,0,293.15,293.2,0.05,23.69,23.69,0,0,293.15|298.15|303.15,293.2|298.2|303.2,10.1016/j.jct.2007.09.004,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,dimethylformamide,26,1,36.55,36.55,0,303.15,303.2,0.05,36.55,36.55,0,0,303.15|303.15|297.68|297.68|297.69|297.69|297.69|297.71|297.71|297.71|297.72|297.72|297.72|302.73|302.73|302.73|303.11|303.11|303.11|303.12|303.12|303.12|303.12|303.13|303.13|303.13,303.2,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9010773,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,CC(C)CO,2-methyl-1-propanol,6,5,17.96,17.96,0,293.15,293.2,0.05,18.71,18.71,0,0,293.15|298.15|303.15|293.15|298.15|303.15,288.2|293.2|298.2|303.2|308.2,10.1021/je3007666;10.1021/je800593p,arXiv:1506.00262,near_isothermal_pair_not_temperature_explained
