inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc
CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,303.15,20.59,0.41,0.41,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.41""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
CGZZMOTZOONQIA-UHFFFAOYSA-N,O=C1CCCCCC1,cycloheptanone,298.15,12.92,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""}]",10.1021/je200682t,10.1021/je200682t;arXiv:1506.00262,5,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
CQEYYJKEWSMYFG-UHFFFAOYSA-N,C=CC(=O)OCCCC,butyl 2-propenoate,298.15,5.31,0.027,0.027,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.026""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.027""}]",10.1021/je301333b,10.1021/je301333b;arXiv:1506.00262,5,21,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
CRVGTESFCCXCTH-UHFFFAOYSA-N,CN(CCO)CCO,N-methyldiethanolamine,300.65,22.12,0.9,0.9,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.44""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.9""}]",10.1016/j.tca.2012.10.004;10.1021/je600515j,10.1016/j.tca.2012.10.004;10.1021/je600515j;arXiv:1506.00262,4,8,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,2-methylpropan-2-ol,298.15,12.49,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""}]",10.1021/je3007666,10.1021/je3007666,3,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",303.15,27.87,0.56,0.56,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.56""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,dibutyl ether,298.15,3.106,0.186,0.186,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.184""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.186""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.189""}]",10.1016/j.tca.2012.05.036,10.1016/j.tca.2012.05.036;arXiv:1506.00262,3,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
FRZPYEHDSAQGAS-UHFFFAOYSA-M,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,298.15,12.9,1,1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylethanamide",303.15,37.72,0.23,0.23,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.23""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.387""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9002515,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9002515;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
FYIRUPZTYPILDH-UHFFFAOYSA-N,FC(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoropropane",302.85,5.3105,0.011,0.011,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.011""}]",10.1021/je700343t,10.1021/je700343t,29,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
GRYUVYIMDGRRLN-UHFFFAOYSA-N,CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-butyl-2,3,4,5-tetramethylimidazolium bis(trifluoromethylsulfonyl)imide",298.15,15,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
GSEJCLTVZPLZKY-UHFFFAOYSA-N,OCCN(CCO)CCO,triethanolamine,303.15,28.11,0.56,0.56,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.56""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
GSGLHYXFTXGIAQ-UHFFFAOYSA-M,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethylphosphate",298.15,29.6,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,cyclohexanol,298.15,15.71,0.68,0.68,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.68""}]",10.1021/acs.jced.8b00755,10.1021/acs.jced.8b00755,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
HQWOEDCLDNFWEV-UHFFFAOYSA-M,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,298.15,16.9,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
HXJUTPCZVOIRIF-UHFFFAOYSA-N,O=S1(=O)CCCC1,sulfolane,298.15,44,1.8,1.8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.7""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.8""}]",10.1016/j.tca.2012.10.004,10.1016/j.tca.2012.10.004;arXiv:1506.00262,3,8,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,2-aminoethan-1-ol,303.15,31.46,0.19,0.19,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.19""}]",10.1016/j.fluid.2008.01.024,10.1016/j.fluid.2008.01.024;arXiv:1506.00262,1,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
HZKDSQCZNUUQIF-UHFFFAOYSA-M,CCn1cc[n+](C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,298.15,18.4,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,dimethyl sulfoxide,298,46.05,0.026,0.026,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.023""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.024""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.025""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.026""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.95""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.96""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""5.2""}]",10.1016/j.fluid.2013.12.014;10.1016/j.tca.2017.03.018;10.1021/je400149j;10.1021/je9010773,10.1016/j.fluid.2013.12.014;10.1016/j.tca.2017.03.018;10.1021/je400149j;10.1021/je9010773;arXiv:1506.00262,35,4,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,dimethyl carbonate,298.15,3.134,0.063,0.063,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.063""}]",10.1016/j.jct.2008.02.015,10.1016/j.jct.2008.02.015;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
IIRFCWANHMSDCG-UHFFFAOYSA-N,O=C1CCCCCCC1,cyclooctanone,300.65,14.38,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1021/je200682t,10.1021/je200682t,2,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,heptane,298.15,1.93,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2010.09.008,10.1016/j.jct.2010.09.008;arXiv:1506.00262,1,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
IXQYBUDWDLYNMA-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,298.15,14,1.4,1.4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,cyclohexanone,298.15,15.79,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.68""}]",10.1021/acs.jced.8b00755;10.1021/je200682t,10.1021/acs.jced.8b00755;10.1021/je200682t;arXiv:1506.00262,6,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,ethyl propenoate,298.15,6.209,0.031,0.031,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.03""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.031""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.032""}]",10.1021/je301333b,10.1021/je301333b;arXiv:1506.00262,5,21,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
JWFPQAXAGSAKRF-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate",298.15,9.4,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
JYPJLAPMBJKRDG-UHFFFAOYSA-M,CCCCS(=O)(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium butylsulfonate,298.15,30,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,octan-1-ol,298.15,10.66,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.55""}]",10.1021/acs.jced.8b00755;10.1021/je060248p,10.1021/acs.jced.8b00755;10.1021/je060248p,6,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,propan-2-ol,299.15,18.845,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.95""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.3""}]",10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je800593p,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je800593p;arXiv:1506.00262,6,7,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
KLTUZFZUYLXTFF-UHFFFAOYSA-N,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,298.15,23.3,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
LBHLGZNUPKUZJC-UHFFFAOYSA-N,CCCC[N+]1(C)CCCC1.N#C[N-]C#N,1-butyl-1-methylpyrrolidinium dicyanamide,298.15,18,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,ethanol,298.15,25.02,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.05""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.08""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.14""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.84""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.97""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""2.4""}]",10.1016/j.fluid.2009.07.009;10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je800593p,10.1016/j.fluid.2009.07.009;10.1016/j.fluid.2013.12.014;10.1016/j.jct.2012.08.009;10.1016/j.tca.2013.05.022;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je800593p;arXiv:1506.00262,15,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
LLEVMYXEJUDBTA-UHFFFAOYSA-N,N#CCCCCCC#N,heptanedinitrile,298.15,29.71,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1021/je300958c,10.1021/je300958c,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,butan-1-ol,298.15,18.03,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.71""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.9""}]",10.1016/j.fluid.2013.12.014;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p,10.1016/j.fluid.2013.12.014;10.1021/acs.jced.8b00755;10.1021/je060248p;10.1021/je3007666;10.1021/je800593p;10.1021/je900503p;arXiv:1506.00262,18,7,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
LSBXQLQATZTAPE-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,298.15,13.9,0.8,0.8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.8""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
LVTYICIALWPMFW-UHFFFAOYSA-N,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,303.15,13.87,0.28,0.28,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.28""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,2,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
LYCAIKOWRPUZTN-UHFFFAOYSA-N,OCCO,"1,2-ethanediol",303.15,39.84,0.24,0.24,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.24""}]",10.1016/j.fluid.2009.07.009,10.1016/j.fluid.2009.07.009;arXiv:1506.00262,1,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,
LZJIBRSVPKKOSI-UHFFFAOYSA-O,O=[N+]([O-])[O-].[NH3+]CCO,ethanolammonium nitrate,298.15,60.9,4,4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
MCTWTZJPVLRJOU-UHFFFAOYSA-N,Cn1ccnc1,1-methylimidazole,298,39.78,4.22,4.22,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""4.22""}]",10.1016/j.fluid.2014.05.006,10.1016/j.fluid.2014.05.006,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,
