inchikey,smiles,name,T_K,dielectric,frequency_MHz,property_family,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_text,uncertainty_relative_percent_max,source_doi,source_type,source_file,sha256,n_observations,gate_flags
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,dimethyl sulfoxide,317.75,43.483,0,zero_frequency,,,combined,95,,,10.1021/je400149j;10.1021/je9010773,thermoml,data/raw/thermoml/10.1021__je400149j-7fb8965a0320.xml;data/raw/thermoml/10.1021__je9010773-d1b15ee811d3.xml,83e4c7604dc2b1f232c08f06cfe93e217f8873991697683c0613e62d7c5927a5;a6402daf95d6a9021704c1bb1081c4e1b9ed718f1619828e476850713e74a5bb,19,high_temperature_extension|zero_frequency|pure_component|experimental
IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,dimethyl carbonate,318.15,3.147,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2008.02.015,thermoml,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,1,high_temperature_extension|zero_frequency|pure_component|experimental
IIRFCWANHMSDCG-UHFFFAOYSA-N,O=C1CCCCCCC1,cyclooctanone,318.15,13.27,0,zero_frequency,,,combined,95,,,10.1021/je200682t,thermoml,data/raw/thermoml/10.1021__je200682t-e9b4b9282142.xml,c9f6e7b79f129e0ce35e5a8129edc13deb60795f2a5beb1c142f2b4bdf83d1f1,5,high_temperature_extension|zero_frequency|pure_component|experimental
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,cyclohexanone,313.15,14.89,0,zero_frequency,,,combined,95,,,10.1021/je200682t,thermoml,data/raw/thermoml/10.1021__je200682t-e9b4b9282142.xml,c9f6e7b79f129e0ce35e5a8129edc13deb60795f2a5beb1c142f2b4bdf83d1f1,1,high_temperature_extension|zero_frequency|pure_component|experimental
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,ethyl propenoate,318.15,5.587,0,zero_frequency,,,combined,95,,,10.1021/je301333b,thermoml,data/raw/thermoml/10.1021__je301333b-44cb9c59a180.xml,b9a217f64cadefcd0dd8da8bb047bc20bc02d06186c34d402b46298101823033,5,high_temperature_extension|zero_frequency|pure_component|experimental
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,propan-2-ol,323,16.57,0,zero_frequency,,,combined,95,,,10.1016/j.tca.2013.05.022,thermoml,data/raw/thermoml/10.1016__j.tca.2013.05.022-25c5c6642852.xml,f0f23f385a1d041d566575e26937a5efa0c3d758ea80f9b248f7a7c57c6f2dec,1,high_temperature_extension|zero_frequency|pure_component|experimental
LCGLNKUTAGEVQW-UHFFFAOYSA-N,COC,dimethyl ether,323,5.025,0,zero_frequency,,,combined,95,,,10.1021/je060283w,thermoml,data/raw/thermoml/10.1021__je060283w-00fe51efffa4.xml,c67752268fca691b9e0f72ec3839f6c9ccf921846bf6ddf2dc1b1e37c91dcf3d,46,high_temperature_extension|zero_frequency|pure_component|experimental
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,ethanol,323,23.25,0,zero_frequency,,,combined,95,,,10.1016/j.tca.2013.05.022,thermoml,data/raw/thermoml/10.1016__j.tca.2013.05.022-25c5c6642852.xml,f0f23f385a1d041d566575e26937a5efa0c3d758ea80f9b248f7a7c57c6f2dec,1,high_temperature_extension|zero_frequency|pure_component|experimental
LLEVMYXEJUDBTA-UHFFFAOYSA-N,N#CCCCCCC#N,heptanedinitrile,318.15,27.68,0,zero_frequency,,,combined,95,,,10.1021/je300958c,thermoml,data/raw/thermoml/10.1021__je300958c-3ec2399ba91a.xml,9c3a2f8c4017b916a6e7eb2a5957de40bbfa4556eb7d6bcbba3fa33aa3d06080,5,high_temperature_extension|zero_frequency|pure_component|experimental
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,butan-1-ol,313.15,15.45,0,zero_frequency,,,combined,95,,,10.1021/je900503p,thermoml,data/raw/thermoml/10.1021__je900503p-c4927a582b2b.xml,bf9680cc2c3bfba58e1c4dd17ea6a0329e835375459beccbe561851b5f878ff7,1,high_temperature_extension|zero_frequency|pure_component|experimental
LVTYICIALWPMFW-UHFFFAOYSA-N,CC(O)CNCC(C)O,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,318.15,13.49,0,zero_frequency,,,combined,95,,,10.1021/je600515j,thermoml,data/raw/thermoml/10.1021__je600515j-bd3a82860207.xml,901354ec9c34eada3ff170f489ed27f108f2b6f7fa42d9fd2533454306a96bd0,3,high_temperature_extension|zero_frequency|pure_component|experimental
OHLUUHNLEMFGTQ-UHFFFAOYSA-N,CN=C(C)O,N-methylacetamide,318.15,157.027,0,zero_frequency,,,combined,95,,,10.1021/je9002515,thermoml,data/raw/thermoml/10.1021__je9002515-0028635372ce.xml,e3b7b25d5181fd5311a011898c9629362f31e309f35e43aa6b9c42b0a0abad6d,2,high_temperature_extension|zero_frequency|pure_component|experimental
OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,diethyl carbonate,318.15,2.837,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2008.02.015,thermoml,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,1,high_temperature_extension|zero_frequency|pure_component|experimental
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,methanol,323,31.98,0,zero_frequency,,,combined,95,,,10.1016/j.tca.2013.05.022,thermoml,data/raw/thermoml/10.1016__j.tca.2013.05.022-25c5c6642852.xml,f0f23f385a1d041d566575e26937a5efa0c3d758ea80f9b248f7a7c57c6f2dec,1,high_temperature_extension|zero_frequency|pure_component|experimental
RYHBNJHYFVUHQT-UHFFFAOYSA-N,C1COCCO1,"1,4-dioxane",318.2,2.187,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2011.07.021,thermoml,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,1,high_temperature_extension|zero_frequency|pure_component|experimental
SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",318.15,6.886,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2008.09.006,thermoml,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,1,high_temperature_extension|zero_frequency|pure_component|experimental
SHQSVMDWKBRBGB-UHFFFAOYSA-N,O=C1CCC1,cyclobutanone,313.15,14.25,0,zero_frequency,,,combined,95,,,10.1021/je200682t,thermoml,data/raw/thermoml/10.1021__je200682t-e9b4b9282142.xml,c9f6e7b79f129e0ce35e5a8129edc13deb60795f2a5beb1c142f2b4bdf83d1f1,1,high_temperature_extension|zero_frequency|pure_component|experimental
VFTFKUDGYRBSAL-UHFFFAOYSA-N,C1COCCOCCOCCOCCO1,"1,4,7,10,13-pentaoxacyclopentadecane",318.15,13.96,0,zero_frequency,,,combined,95,,,10.1021/je300234g,thermoml,data/raw/thermoml/10.1021__je300234g-6ca2bf760d6c.xml,aa85b41304f6fbabcfdb979932b08c3fb4ba8bfb4b2ecab5df8a743765d05742,5,high_temperature_extension|zero_frequency|pure_component|experimental
WYJOVVXUZNRJQY-UHFFFAOYSA-N,CC(=O)c1cccs1,2-acetylthiophene,318.15,26.32,0,zero_frequency,,,combined,95,,,10.1016/j.fluid.2016.10.026,thermoml,data/raw/thermoml/10.1016__j.fluid.2016.10.026-4f9936028fc6.xml,f5785805d0e0599622843af70d65c823c650772223ef17e5131a708a8f8809b1,5,high_temperature_extension|zero_frequency|pure_component|experimental
XEZNGIUYQVAUSS-UHFFFAOYSA-N,C1COCCOCCOCCOCCOCCO1,"1,4,7,10,13,16-hexaoxacyclooctadecane",319.4,8.84,0,zero_frequency,,,combined,95,,,10.1021/je300234g,thermoml,data/raw/thermoml/10.1021__je300234g-6ca2bf760d6c.xml,aa85b41304f6fbabcfdb979932b08c3fb4ba8bfb4b2ecab5df8a743765d05742,4,high_temperature_extension|zero_frequency|pure_component|experimental
XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,water,318.15,71.765,0,zero_frequency,,,combined,95,,,10.1021/je400149j,thermoml,data/raw/thermoml/10.1021__je400149j-7fb8965a0320.xml,a6402daf95d6a9021704c1bb1081c4e1b9ed718f1619828e476850713e74a5bb,6,high_temperature_extension|zero_frequency|pure_component|experimental
XQQZRZQVBFHBHL-UHFFFAOYSA-N,C1COCCOCCOCCO1,"1,4,7,10-tetraoxacyclododecane",318.15,9.9,0,zero_frequency,,,combined,95,,,10.1021/je300234g,thermoml,data/raw/thermoml/10.1021__je300234g-6ca2bf760d6c.xml,aa85b41304f6fbabcfdb979932b08c3fb4ba8bfb4b2ecab5df8a743765d05742,5,high_temperature_extension|zero_frequency|pure_component|experimental
XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",318.15,6.456,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2008.09.006,thermoml,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,1,high_temperature_extension|zero_frequency|pure_component|experimental
YEJRWHAVMIAJKC-UHFFFAOYSA-N,O=C1CCCO1,.gamma.-butyrolactone,313.15,39.92,0,zero_frequency,,,combined,95,,,10.1021/je900503p,thermoml,data/raw/thermoml/10.1021__je900503p-c4927a582b2b.xml,bf9680cc2c3bfba58e1c4dd17ea6a0329e835375459beccbe561851b5f878ff7,1,high_temperature_extension|zero_frequency|pure_component|experimental
YFNKIDBQEZZDLK-UHFFFAOYSA-N,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",318.15,7.093,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2008.02.015,thermoml,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,1,high_temperature_extension|zero_frequency|pure_component|experimental
YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,2-ethyl-1-hexanol,318.2,5.522,0,zero_frequency,,,combined,95,,,10.1016/j.jct.2011.07.021,thermoml,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,1,high_temperature_extension|zero_frequency|pure_component|experimental
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,toluene,315.79,2.34637,0,zero_frequency,,,combined,95,,,10.1021/je7006692,thermoml,data/raw/thermoml/10.1021__je7006692-c10406949a75.xml,00280a3883bad4ad2252b3a9c8443e4eb40a176f70e8f1b532e40fdfdd1a313f,14,high_temperature_extension|zero_frequency|pure_component|experimental
ZBCBWPMODOFKDW-UHFFFAOYSA-N,OCCNCCO,diethanolamine,318.15,23.28,0,zero_frequency,,,combined,95,,,10.1021/je600515j,thermoml,data/raw/thermoml/10.1021__je600515j-bd3a82860207.xml,901354ec9c34eada3ff170f489ed27f108f2b6f7fa42d9fd2533454306a96bd0,3,high_temperature_extension|zero_frequency|pure_component|experimental
ZMXDDKWLCZADIW-UHFFFAOYSA-N,CN(C)C=O,dimethylformamide,318.12,34.022,0,zero_frequency,,,combined,95,,,10.1021/je9010773,thermoml,data/raw/thermoml/10.1021__je9010773-d1b15ee811d3.xml,83e4c7604dc2b1f232c08f06cfe93e217f8873991697683c0613e62d7c5927a5,13,high_temperature_extension|zero_frequency|pure_component|experimental
ZTOMUSMDRMJOTH-UHFFFAOYSA-N,N#CCCCC#N,pentanedinitrile,318.15,32.67,0,zero_frequency,,,combined,95,,,10.1021/je300958c,thermoml,data/raw/thermoml/10.1021__je300958c-3ec2399ba91a.xml,9c3a2f8c4017b916a6e7eb2a5957de40bbfa4556eb7d6bcbba3fa33aa3d06080,5,high_temperature_extension|zero_frequency|pure_component|experimental
KMTRUDSVKNLOMY-UHFFFAOYSA-N,O=C1OCC1,ethylene carbonate,313.15,90.5,1,frequency_dependent,,,relative_upper_bound,,<1.5% relative,1.5,10.1021/je050341y,literature_manual_entry,"Chernyak, J. Chem. Eng. Data 2006, 51(2), 416-418, Table 1, p416",,1,high_temperature_extension|literature_manual_entry|single_source|frequency_1mhz
