inchikey,smiles,name,T_K,dielectric,uncertainty,uncertainty_value,uncertainty_kind,confidence_level,uncertainty_json,source_doi,source_dois_all,n_observations,n_historical_observations,source_scope,crosscheck_available,gate_flags,source_record_id,source_page,source_quality,selection_rank,structure_resolution_source,al_round1_hit,max_tanimoto_solvfunc,dataset_origin,temperature_band,evidence_level,temperature_source,model_ready,conflict_status,source_url,source_citation,source_table,redistribution_status,source_license,license_url,redistribution_conditions,notes
BTGRAWJCKBQKAO-UHFFFAOYSA-N,N#CCCCCC#N,hexanedinitrile,298.15,32.12,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1021/je300958c,10.1021/je300958c;10.1002/adfm.202212342;10.1149/2.088306jes,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,primary,reported,true,primary_vs_duncan2013_reported_value_differs,,,,,,,,"Primary ThermoML observation confirmed at 298.15 K: eps=32.12 +/- 0.1, pure component, zero frequency, dataset 3, DOI 10.1021/je300958c. ECW-308 Table S3 lists this compound with a value of 30.00 at 25 C citing Duncan, Salem & Abu-Lebdeh, J. Electrochem. Soc. 2013, 160, A838 (DOI 10.1149/2.088306jes). That cited table was retrieved on 2026-09-24 from the NRC Publications Archive accepted manuscript (record 431ad01c-3fb7-4610-923b-99d08c6a4c16): Table I on p. A840 reports the compound as eps=30, not 30.00, so the two decimals in ECW-308 are unsupported precision rather than a second measurement. The paper records that dielectric constants were measured with a Brookhaven BI-870 meter, but Table I carries no per-row provenance, temperature, frequency or uncertainty, so the value cannot be promoted to a same-condition primary cross-check. It sits about 6.6% below the retained primary observation and is recorded as a source disagreement rather than an error. The values were not averaged."
BTNXBLUGMAMSSH-UHFFFAOYSA-N,N#CCCCCCCC#N,octanedinitrile,298.15,25.94,0.1,0.1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""}]",10.1021/je300958c,10.1021/je300958c,5,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
CBTVGIZVANVGBH-UHFFFAOYSA-N,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,303.15,20.59,0.41,0.41,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.41""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
CGZZMOTZOONQIA-UHFFFAOYSA-N,O=C1CCCCCC1,cycloheptanone,298.15,12.92,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""}]",10.1021/je200682t,10.1021/je200682t;arXiv:1506.00262,5,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
CQEYYJKEWSMYFG-UHFFFAOYSA-N,C=CC(=O)OCCCC,butyl 2-propenoate,298.15,5.31,0.027,0.027,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.026""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.027""}]",10.1021/je301333b,10.1021/je301333b;arXiv:1506.00262,5,21,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
CRVGTESFCCXCTH-UHFFFAOYSA-N,CN(CCO)CCO,N-methyldiethanolamine,300.65,22.12,0.9,0.9,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.44""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.9""}]",10.1016/j.tca.2012.10.004;10.1021/je600515j,10.1016/j.tca.2012.10.004;10.1021/je600515j;arXiv:1506.00262,4,8,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,2-methylpropan-2-ol,298.15,12.49,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""}]",10.1021/je3007666,10.1021/je3007666,3,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
DNIAPMSPPWPWGF-UHFFFAOYSA-N,CC(O)CO,"1,2-propanediol",303.15,27.87,0.56,0.56,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.56""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC,dibutyl ether,298.15,3.106,0.186,0.186,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.184""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.186""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.189""}]",10.1016/j.tca.2012.05.036,10.1016/j.tca.2012.05.036;arXiv:1506.00262,3,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
FRZPYEHDSAQGAS-UHFFFAOYSA-M,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,298.15,12.9,1,1,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
FXHOOIRPVKKKFG-UHFFFAOYSA-N,CC(=O)N(C)C,"N,N-dimethylethanamide",303.15,37.72,0.23,0.23,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.23""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.387""}]",10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9002515,10.1016/j.fluid.2008.01.024;10.1016/j.fluid.2009.07.009;10.1021/je9002515;arXiv:1506.00262,3,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
FYIRUPZTYPILDH-UHFFFAOYSA-N,FC(F)C(F)C(F)(F)F,"1,1,1,2,3,3-hexafluoropropane",302.85,5.3105,0.011,0.011,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.011""}]",10.1021/je700343t,10.1021/je700343t,29,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
GRYUVYIMDGRRLN-UHFFFAOYSA-N,CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1-butyl-2,3,4,5-tetramethylimidazolium bis(trifluoromethylsulfonyl)imide",298.15,15,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
GSEJCLTVZPLZKY-UHFFFAOYSA-N,OCCN(CCO)CCO,triethanolamine,303.15,28.11,0.56,0.56,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.56""}]",10.1021/je600515j,10.1021/je600515j;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
GSGLHYXFTXGIAQ-UHFFFAOYSA-M,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethylphosphate",298.15,29.6,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
HPXRVTGHNJAIIH-UHFFFAOYSA-N,OC1CCCCC1,cyclohexanol,298.15,15.71,0.68,0.68,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.68""}]",10.1021/acs.jced.8b00755,10.1021/acs.jced.8b00755,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
HQWOEDCLDNFWEV-UHFFFAOYSA-M,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium diethyl phosphate,298.15,16.9,1.6,1.6,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.6""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
HXJUTPCZVOIRIF-UHFFFAOYSA-N,O=S1(=O)CCCC1,sulfolane,298.15,44,1.8,1.8,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.7""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.8""}]",10.1016/j.tca.2012.10.004,10.1016/j.tca.2012.10.004;arXiv:1506.00262,3,8,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,"PubChem tier-1 cross-check, 2026-09-24 (probes/g1plus_pubchem_probe.py, CID 31347): the PubChem record states a dielectric constant of 43.3 with no temperature, citing Kirk-Othmer Encyclopedia of Chemical Technology 4th ed. Vol. 23 p. 135 (1995), PEER REVIEWED, rather than Riddick. The retained 44 at 298.15 K and the Perricone 2011 thesis's 43 at 30 C bracket it. Recorded as corroboration of the 43-44 neighbourhood, not as a replacement, and no average was formed."
HZAXFHJVJLSVMW-UHFFFAOYSA-N,NCCO,2-aminoethan-1-ol,303.15,31.46,0.19,0.19,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.19""}]",10.1016/j.fluid.2008.01.024,10.1016/j.fluid.2008.01.024;arXiv:1506.00262,1,1,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
HZKDSQCZNUUQIF-UHFFFAOYSA-M,CCn1cc[n+](C)c1.O=S(=O)([O-])O,1-ethyl-3-methylimidazolium hydrogen sulfate,298.15,18.4,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,dimethyl sulfoxide,298,46.05,0.026,0.026,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.023""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.024""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.025""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.026""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.1""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.95""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.96""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""5.2""}]",10.1016/j.fluid.2013.12.014;10.1016/j.tca.2017.03.018;10.1021/je400149j;10.1021/je9010773,10.1016/j.fluid.2013.12.014;10.1016/j.tca.2017.03.018;10.1021/je400149j;10.1021/je9010773;arXiv:1506.00262,35,4,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,dimethyl carbonate,298.15,3.134,0.063,0.063,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.063""}]",10.1016/j.jct.2008.02.015,10.1016/j.jct.2008.02.015;arXiv:1506.00262,1,5,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
IIRFCWANHMSDCG-UHFFFAOYSA-N,O=C1CCCCCCC1,cyclooctanone,300.65,14.38,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1021/je200682t,10.1021/je200682t,2,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,heptane,298.15,1.93,0.04,0.04,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.04""}]",10.1016/j.jct.2010.09.008,10.1016/j.jct.2010.09.008;arXiv:1506.00262,1,3,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
IXQYBUDWDLYNMA-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,298.15,14,1.4,1.4,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.4""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
JHIVVAPYMSGYDF-UHFFFAOYSA-N,O=C1CCCCC1,cyclohexanone,298.15,15.79,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.68""}]",10.1021/acs.jced.8b00755;10.1021/je200682t,10.1021/acs.jced.8b00755;10.1021/je200682t;arXiv:1506.00262,6,6,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
JIGUQPWFLRLWPJ-UHFFFAOYSA-N,C=CC(=O)OCC,ethyl propenoate,298.15,6.209,0.031,0.031,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.03""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.031""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.032""}]",10.1021/je301333b,10.1021/je301333b;arXiv:1506.00262,5,21,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
JWFPQAXAGSAKRF-UHFFFAOYSA-N,CCCCn1cc[n+](C)c1C.F[P-](F)(F)(F)(F)F,"1-butyl-2,3-dimethylimidazolium hexafluorophosphate",298.15,9.4,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
JYPJLAPMBJKRDG-UHFFFAOYSA-M,CCCCS(=O)(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium butylsulfonate,298.15,30,3,3,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""3""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
KBPLFHHGFOOTCA-UHFFFAOYSA-N,CCCCCCCCO,octan-1-ol,298.15,10.66,0.02,0.02,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.02""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.55""}]",10.1021/acs.jced.8b00755;10.1021/je060248p,10.1021/acs.jced.8b00755;10.1021/je060248p,6,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
KFZMGEQAYNKOFK-UHFFFAOYSA-N,CC(C)O,propan-2-ol,299.15,18.845,0.06,0.06,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.001""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.06""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""0.95""},{""confidence_level"":""95"",""kind"":""combined"",""value"":""1.3""}]",10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je800593p,10.1016/j.fluid.2013.12.014;10.1016/j.jct.2011.10.028;10.1016/j.tca.2013.05.022;10.1021/je800593p;arXiv:1506.00262,6,7,p1_thermoml_zero_frequency_pure_293.15_303.15K;chodera_2015_historical_dielectric_crosscheck,true,zero_frequency|pure_component|experimental|historical_fallback_target,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
KLTUZFZUYLXTFF-UHFFFAOYSA-N,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,298.15,23.3,2,2,combined,95,"[{""confidence_level"":""95"",""kind"":""combined"",""value"":""2""}]",10.1021/je101184s,10.1021/je101184s,1,0,p1_thermoml_zero_frequency_pure_293.15_303.15K,false,zero_frequency|pure_component|experimental,,,,,,,,v0.2,room_temperature,v0.2_primary_or_critical_compilation,reported,true,,,,,,,,,
